,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-06-30,2013-09-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2017-03-31
AdjustmentForAmortization,,,,83000.000,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,,,32000.000,,,,,,,,,,,,,,
AmortizationOfDebtDiscountPremium,,,,,,,,,,,,,,,,,37000.000
AmortizationOfFinancingCostsAndDiscounts,,,,222000.000,0.000,0.000,,,,,,,,,,,
AmortizationOfIntangibleAssets,,,,49000.000,,,117000.000,183000.000,177000.000,184000.000,150000.000,150000.000,55000.000,-128000.000,57000.000,57000.000,42000.000
AssetImpairmentCharges,,,,,,,,,,,,,,,,,287000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-362000.000,,,,-1422000.000,,,,-75000.000,,,,,,-11000.000
ComprehensiveIncomeNetOfTax,,,-431000.000,-886000.000,-6670000.000,-2886000.000,-1292000.000,,,,,,-1930000.000,,-907000.000,-5236000.000,-5825000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,-175000.000,-112000.000,0.000,0.000,0.000,,,,,,,,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,-606000.000,-998000.000,-6670000.000,-2886000.000,-1292000.000,,,,,,,,,,
CostOfGoodsAndServicesSold,96000.000,5000.000,36000.000,,,,,,,,,,,,,,
CostOfRevenue,,,,53000.000,20000.000,118000.000,49000.000,167000.000,168000.000,226000.000,90000.000,96000.000,5000.000,-186000.000,,,201000.000
DebtInstrumentConvertibleBeneficialConversionFeature,,,,,,,,,,,,,,,,,279000.000
DebtInstrumentConvertibleEffectiveInterestRate,,,,0.027,,,,,,,,,,,,,
DebtInstrumentConvertibleInterestExpense,,,,70000.000,,,,,,,,,,,,,
Depreciation,,,7000.000,,,,11000.000,,,,10000.000,,,,6000.000,,99000.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,,,,,,,,,-229000.000,,,,
