,2011-06-30,2011-09-30
CostOfGoodsAndServicesSold,45637000.000,46479000.000
GeneralAndAdministrativeExpense,7200000.000,7118000.000
GrossProfit,46166000.000,47844000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,19540000.000,21223000.000
IncomeTaxExpenseBenefit,6512000.000,6324000.000
LicenseCosts,1700000.000,1714000.000
LicensesRevenue,4982000.000,5786000.000
MaintenanceCosts,8801000.000,8729000.000
MaintenanceRevenue,19418000.000,19594000.000
NetIncomeLoss,13028000.000,14899000.000
OperatingExpenses,23271000.000,23754000.000
OperatingIncomeLoss,22895000.000,24090000.000
OtherNonoperatingIncomeExpense,119000.000,348000.000
ResearchAndDevelopmentExpense,9053000.000,9328000.000
Revenues,91803000.000,94323000.000
SalesRevenueNet,91803000.000,94323000.000
SellingAndMarketingExpense,7018000.000,7308000.000
