,2011-06-30,2011-09-30,2012-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-634000.000
CostOfRevenue,21264000.000,20553000.000,20801000.000
DepreciationDepletionAndAmortization,,,776000.000
EarningsPerShareBasic,-0.130,-0.080,-0.080
EarningsPerShareDiluted,-0.130,-0.080,-0.080
GrossProfit,5517000.000,5877000.000,6264000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-795000.000,-537000.000,-481000.000
IncomeTaxExpenseBenefit,15000.000,-3000.000,21000.000
IncomeTaxesPaid,,,18000.000
IncreaseDecreaseInAccountsPayable,,,-104000.000
IncreaseDecreaseInAccountsReceivable,,,75000.000
IncreaseDecreaseInEmployeeRelatedLiabilities,,,-80000.000
IncreaseDecreaseInInventories,,,751000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,103000.000
InterestExpense,165000.000,178000.000,182000.000
InterestPaid,,,173000.000
InventoryWriteDown,,,21000.000
NetCashProvidedByUsedInFinancingActivities,,,153000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,153000.000
NetCashProvidedByUsedInInvestingActivities,,,-1805000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-1805000.000
NetCashProvidedByUsedInOperatingActivities,,,1018000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,1018000.000
NetIncomeLoss,-810000.000,-534000.000,-502000.000
OperatingIncomeLoss,-720000.000,-450000.000,-389000.000
OtherDepreciationAndAmortization,,,1333000.000
OtherNonoperatingIncome,90000.000,91000.000,90000.000
PaymentsToAcquireOtherProductiveAssets,,,1503000.000
PaymentsToAcquirePropertyPlantAndEquipment,,,302000.000
ProceedsFromNotesPayable,,,30281000.000
ProvisionForDoubtfulAccounts,,,9000.000
RepaymentsOfLongTermDebt,,,53000.000
RepaymentsOfNotesPayable,,,30075000.000
Revenues,26781000.000,26430000.000,27065000.000
SalesRevenueNet,26781000.000,26430000.000,27065000.000
SellingGeneralAndAdministrativeExpense,4117000.000,4164000.000,4290000.000
ShareBasedCompensation,,,126000.000
ShippingHandlingAndTransportationCosts,2120000.000,2163000.000,2363000.000
WeightedAverageNumberOfDilutedSharesOutstanding,6478000.000,6478000.000,6488000.000
WeightedAverageNumberOfSharesOutstandingBasic,6478000.000,6478000.000,6488000.000
