,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsAndNotesReceivableNet,,,,,,,,,,80000.000,80000.000,80000.000,,,,,,,,,,
AccountsPayableAndAccruedLiabilitiesCurrent,9080.000,24518.000,27843.000,29437.000,33197.000,30905.000,22415.000,4493.000,83361.000,11221.000,37430.000,15641.000,6182.000,62759.000,14062.000,84041.000,71563.000,88664.000,80676.000,,,
AccountsPayableCurrent,,,,,,,,,,,,,,,,12000.000,6000.000,18750.000,18750.000,28156.000,,20248.000
AccountsPayableCurrentAndNoncurrent,,,,,,,,,,,,,,,,,,,,,50000.000,
AccountsPayableRelatedPartiesCurrent,3688.000,8488.000,45850.000,4200.000,25179.000,9638.000,40661.000,33733.000,74562.000,44219.000,25645.000,45978.000,7255.000,19615.000,41925.000,13800.000,30095.000,56730.000,25935.000,39592.000,33290.000,76598.000
AccountsPayableRelatedPartiesCurrentAndNoncurrent,,,,,,,,,,,25645.000,13400.000,,,,,,,,,,
AccountsReceivableNetCurrent,14885.000,16091.000,14514.000,7762.000,,800.000,,,,,,,,,,,,,,,,
AccruedLiabilitiesCurrentAndNoncurrent,,,,,,,,,,,,,,,,,,56730.000,25935.000,30080.000,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,,,,,,,,,,,,,53.000,132.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-8010.000,-38582.000,-4104.000,-4873.000,-5008.000,-4104.000,-4104.000,-4104.000,-4104.000,,,,,,,,,,,,,
AdditionalPaidInCapital,5462236.000,5462236.000,5462236.000,5462236.000,5462236.000,5462236.000,5462236.000,5463065.000,5526526.000,7220612.000,7354227.000,8116001.000,8128860.000,8139804.000,9159513.000,9178390.000,9197970.000,10471067.000,10472236.000,11185186.000,11290209.000,11736443.000
AssetRetirementObligation,,,,,57532.000,57532.000,,,,57532.000,,,,,,,,,,,,
AssetRetirementObligationsNoncurrent,53886.000,54596.000,55316.000,56045.000,57532.000,57532.000,0.000,,,,,,,,,,,,,,,
Assets,1687211.000,1488352.000,1340727.000,1217378.000,1126995.000,1065834.000,1009800.000,911921.000,910207.000,1752927.000,1626155.000,1151943.000,853400.000,558709.000,1344736.000,1093063.000,560736.000,1031323.000,456981.000,852631.000,603318.000,683022.000
AssetsCurrent,1147634.000,984409.000,802285.000,679267.000,587326.000,521957.000,490050.000,392171.000,237603.000,1510073.000,1383301.000,909089.000,690546.000,405855.000,1191882.000,940209.000,407882.000,878469.000,304127.000,699777.000,449566.000,529349.000
CapitalLeaseObligations,,,,,,,,,,,,,,,,,234125.000,168750.000,159375.000,150000.000,150000.000,
CapitalLeaseObligationsCurrent,,,,,,,,,,,,,,,,,134125.000,68750.000,59375.000,50000.000,150000.000,100000.000
CapitalLeaseObligationsNoncurrent,,,,,,,,,,,,,,,,,100000.000,100000.000,100000.000,100000.000,,
CapitalizedCostsAccumulatedDepreciationDepletionAmortizationAndValuationAllowanceForRelatingToOilAndGasProducingActivities,,,,,513374.000,513374.000,,,,,,,,,,,,,,,,
CapitalizedCostsOilAndGasProducingActivitiesNet,,,,,19919.000,24127.000,,,,,,,,,,,,,,,,
CapitalizedCostsUnprovedProperties,,,,,533293.000,537501.000,,,,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,1132749.000,964448.000,787771.000,661305.000,578106.000,513595.000,490050.000,392171.000,236099.000,1508843.000,1349266.000,889795.000,683098.000,370646.000,1162565.000,905892.000,397589.000,837918.000,276147.000,687747.000,418031.000,528109.000
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,,,,,,,,,,,,,,,,,,6796087.000,6796087.000,,,
CommonStockCapitalSharesReservedForFutureIssuance,,,,,,,,,,,,,,,,,,,,,19595000.000,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000
CommonStockSharesIssued,63075122.000,63075122.000,63075122.000,63075122.000,63075122.000,63075122.000,63075122.000,63075122.000,63075122.000,66575122.000,66575122.000,66575122.000,66575122.000,66575122.000,67585122.000,67781934.000,67781934.000,69955847.000,69955847.000,69955847.000,70069693.000,74650675.000
CommonStockSharesOutstanding,63075122.000,63075122.000,63075122.000,63075122.000,63075122.000,63075122.000,63075122.000,63075122.000,63075122.000,66575122.000,66575122.000,66575122.000,66575122.000,66575122.000,67585122.000,67781934.000,67781934.000,69955847.000,69955847.000,69955847.000,70069693.000,74650675.000
CommonStockValue,631.000,631.000,631.000,631.000,631.000,631.000,631.000,631.000,631.000,666.000,666.000,666.000,666.000,666.000,676.000,678.000,678.000,699.000,699.000,700.000,702.000,748.000
ConvertibleLongTermNotesPayable,,,,,,,,,,,,,,,,,,,,30753.000,,
ConvertibleNotesPayable,,,,,,,,,,,,,,,,,,,,,445000.000,
ConvertibleNotesPayableCurrent,,,,,,,,,,,,,,,,,,,,,165481.000,338705.000
CumulativeEarningsDeficit,,,,,,,,,,5500000.000,5800000.000,,7700000.000,7900000.000,9200000.000,8400000.000,,,,,,
DeferredTaxAssetsCapitalLossCarryforwards,,,,,,,,,,,,,,,,,,,,,236000.000,
DeferredTaxAssetsEquityMethodInvestments,,,,,,,,,,,,,,,,,,,,,139000.000,
DeferredTaxAssetsGoodwillAndIntangibleAssets,,,,,,,,,,,,,,,,,,,,,158000.000,
DeferredTaxAssetsGross,,,,,,1958000.000,,,,2113000.000,,,2622000.000,,,,2776000.000,,,,3750000.000,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,1852000.000,,,,2027000.000,,,2285000.000,,,,2646000.000,,,,3217000.000,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,106000.000,,,,,,,,,,,,,,,,
DeferredTaxAssetsValuationAllowance,,,,,,-1958000.000,,,,-2113000.000,,,-2622000.000,,,,-2776000.000,,,,-3750000.000,
DeferredTaxLiabilitiesDeferredExpenseOtherCapitalizedCosts,,,,,,,,,,86000.000,,,337000.000,,,,130000.000,,,,,
DerivativeLiabilitiesCurrent,2247393.000,888941.000,,,,,,,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationCash,,,,,,,,,,3000.000,,,,,,,,,,,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,,,,,,,,,,,,,,,,,,57279.000,51279.000,58916.000,8404.000,5410.000
FairValueAssumptionsExercisePrice,,,,,,,,,,,,,,,,,,,,,1.250,
FiniteLivedIntangibleAssetsNet,,,,,,,,,,162854.000,162854.000,,162854.000,152854.000,152854.000,152854.000,152854.000,,,,,
IntangibleAssetsCurrent,,,,,,,,,152854.000,,,,162854.000,152854.000,152854.000,152854.000,152854.000,152854.000,152854.000,152854.000,152854.000,152854.000
InterestPayableCurrent,,,,,,,,,,,,,,,,,,,,,,105.000
InterestPayableCurrentAndNoncurrent,,,,,,,,,,,,,,,,,,,,2819.000,,
Liabilities,2314047.000,976543.000,129009.000,89682.000,115908.000,98075.000,63076.000,38226.000,157923.000,55440.000,,436619.000,379062.000,338624.000,320862.000,347341.000,335783.000,314144.000,265986.000,251320.000,363991.000,569239.000
LiabilitiesAndStockholdersEquity,1687211.000,1488352.000,1340727.000,1217378.000,1126995.000,1065834.000,1009800.000,911921.000,910207.000,1752927.000,1626155.000,1151943.000,853400.000,558709.000,1344736.000,1093063.000,560736.000,1031323.000,456981.000,852631.000,603318.000,683022.000
LiabilitiesCurrent,2260161.000,921947.000,73693.000,33637.000,58376.000,40543.000,63076.000,38226.000,157923.000,55440.000,63075.000,199119.000,200937.000,169874.000,161487.000,197341.000,235783.000,214144.000,165986.000,117748.000,363991.000,569239.000
LiabilitiesNoncurrent,,,,,,,,,,,,237500.000,,,,,,,,,,
MineReclamationAndClosingLiabilityNoncurrent,,,,,,,,,,,,,,,,,,,,,100002.000,
MineralPropertiesNet,514155.000,484100.000,519750.000,519750.000,519750.000,519750.000,519750.000,519750.000,519750.000,162854.000,,,,,,,,,,,,
OilAndGasPropertyFullCostMethodNet,25422.000,19843.000,18692.000,18361.000,,,,,,,,,,,,,,,,,,
OilAndGasPropertySuccessfulEffortMethodNet,,,,,,24127.000,,,,,,,,,,,,,,,,
OilAndGasReclamationLiabilityNoncurrent,,,,,,,,,,12932.000,,,,,,,,,,,,
OperatingLossCarryforwards,,,,,,,,,,,,,,,,,7780000.000,,,,9302000.000,
OtherIntangibleAssetsNet,,,,,,,,,,,162854.000,162854.000,,,,,,,,,,
OtherLiabilitiesCurrent,,,,,,,,,,,,137500.000,37500.000,37500.000,37500.000,37500.000,28125.000,,,,,
OtherLiabilitiesFairValueDisclosure,,,,,,57532.000,,,,,,,,,,,,,,,,
OtherLiabilitiesNoncurrent,,,,,,,,,,,,,28125.000,18750.000,18750.000,18750.000,0.000,,,,,
OtherReceivablesNetCurrent,,,,,,,,,,,800.000,2400.000,,,,,,,,,,
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,0.000,0.000,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseCurrent,,3870.000,,10200.000,9220.000,7562.000,,,1504.000,1230.000,33235.000,16894.000,7448.000,35209.000,29317.000,34317.000,10293.000,40551.000,27980.000,12030.000,31535.000,1240.000
PropertyPlantAndEquipmentFairValueDisclosure,,,,,,24127.000,,,,,,,,,,,,,,,,
PropertyPlantAndEquipmentNet,,,,,,,,,,,,,,,,,,,,,898.000,819.000
RetainedEarningsAccumulatedDeficit,-6081693.000,-4912476.000,-4247045.000,-4330298.000,-4446772.000,-4491004.000,-4512039.000,-4456494.000,-4456504.000,-4455482.000,-4455482.000,-7401343.000,-7655188.000,-7920385.000,-8136315.000,-8433346.000,-8973695.000,-9754587.000,-10281940.000,-10584575.000,-11051584.000,-11623408.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedIntrinsicValue,,,,,,,,,,,,,,,,,146825.000,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedWeightedAverageGrantDateFairValue,,,,,,,,,,,,0.830,,0.830,0.800,0.890,1.040,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsOutstandingNumber,,,,,,,,,,,,185000.000,,185000.000,200000.000,207500.000,257500.000,19562500.000,19562500.000,19555000.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,,,,,,,,,,,,,,,,,160000.000,340000.000,350000.000,357500.000,347500.000,205000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,,,,,,,,,,,,,,,,,,1.400,1.400,1.410,1.440,1.700
