,2011-06-30
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,0.000
CostOfGoodsSold,44217.000
Depreciation,1547.000
GrossProfit,-9214.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-108644.000
InterestExpense,4700.000
NetIncomeLoss,-108644.000
OperatingCostsAndExpenses,99430.000
OtherCostAndExpenseOperating,33496.000
OtherLaborRelatedExpenses,49867.000
ProfessionalAndContractServicesExpense,3270.000
ProfessionalFees,6550.000
SalesRevenueGoodsNet,35003.000
