,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31
AssetManagementCosts,15146.000,15146.000,15146.000,15145.000,15146.000,14134.000,12110.000,12110.000,12110.000,12110.000,10090.000,9772.000,9093.000,8198.000,7307.000
AssetManagementFees,,,,,15146.000,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,,,,-10609.000,,,,8462.000,,
CashPeriodIncreaseDecrease,2.000,,,,,,,,,,,,,,
CostsAndExpenses,,,,,,,,,781000.000,,,,,,
DepreciationDepletionAndAmortization,,,,,,,,,206000.000,,,,,,
GainLossOnSaleOfBusiness,,,,,,24314.000,,,,,-7796.000,,319705.000,1518907.000,-849.000
GainLossOnSaleOfProperties,,,0.000,,,,,,,,,,,,
GainOnSaleOfInvestments,,,,,,,,,,,,,319705.000,,
IncomeLossAttributableToParent,,,,,-53556.000,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,,,,,25000.000,,,,,,,,25000.000,,
IncomeLossFromEquityMethodInvestments,0.000,0.000,0.000,0.000,,,,,,,,,,,
IncomeTaxesPaid,1339.000,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayable,,,,,,,,,-10609.000,,,,2460.000,,
IncreaseDecreaseInAccruedLiabilities,-3940.000,,,,,,,,,,,,,,
IncreaseDecreaseInDueToRelatedParties,34384.000,,,,53556.000,,,,102603.000,,,,-302991.000,,
IncreaseDecreaseInOtherOperatingAssets,,,,,,,,,-1480.000,,,,1260.000,,
InterestExpense,,,,,,,,,120000.000,,,,,,
InterestIncomeExpenseNet,,,,,,,,,,1.000,1.000,,2.000,3.000,3.000
InvestmentIncomeInterest,2.000,1.000,1.000,0.000,,,,,,,,,,,
InvestmentIncomeNet,,,,,,1.000,1.000,,,,,,,,
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPManagingMemberOrGeneralPartnerOwnershipInterest,,,,,,,,,0.010,,,,,,
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPMembersOrLimitedPartnersOwnershipInterest,,,,,,,,,0.990,,,,0.990,,
NetCashProvidedByUsedInInvestingActivities,,,,,,,,,,,,,319705.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,,,,,,,319705.000,,
NetCashProvidedByUsedInOperatingActivities,2.000,,,,,,,,-10609.000,,,,-311243.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,2.000,,,,,,,,-10609.000,,,,-311243.000,,
NetIncomeLoss,-30442.000,-41556.000,-34887.000,-31622.000,,-2365.000,-18241.000,,-101123.000,-62606.000,-34337.000,-28709.000,307733.000,1481386.000,-42402.000
NetIncomeLossAllocatedToGeneralPartners,-304.000,-416.000,-348.000,-317.000,-536.000,-23.000,-182.000,-249.000,-1011.000,-626.000,-343.000,-288.000,3077.000,14814.000,-424.000
NetIncomeLossAllocatedToLimitedPartners,-30138.000,-41140.000,-34539.000,-31305.000,-53020.000,-2342.000,-18059.000,-24628.000,-100112.000,-61980.000,-33994.000,-28421.000,304656.000,1466572.000,-41978.000
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasic,,,-1.000,,-2.000,,-1.000,,-4.000,,,,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnit,-1.000,-2.000,,,,,,,,,,,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,,,,,,,-3.000,-1.000,,12.000,59.000,-1.000
OperatingCostsAndExpenses,,,,,,,,,455000.000,,,,,,
OperatingExpenses,30444.000,41557.000,37088.000,31622.000,53556.000,26680.000,18242.000,24879.000,101123.000,62607.000,26542.000,50751.000,17974.000,39649.000,41556.000
OperatingIncomeLoss,-30444.000,-41557.000,-34888.000,-31622.000,-53556.000,-26680.000,-18242.000,-24879.000,-101123.000,-62607.000,-26542.000,-50751.000,-11974.000,-37524.000,-41556.000
OtherAssetImpairmentCharges,0.000,0.000,0.000,0.000,,,,,,,,,,,
OtherCostAndExpenseOperating,5586.000,6526.000,8825.000,5884.000,4440.000,7261.000,1653.000,4763.000,5424.000,5369.000,1840.000,8975.000,2018.000,4501.000,1669.000
PartnersCapitalAccountPublicSaleOfUnits,,,,,24918175.000,,,,,,,,24918175.000,,
PartnersCapitalAccountUnitsSaleOfUnits,,,,,,,,,25000.000,,,,25000.000,,
PartnersCapitalAccountUnitsSoldInPublicOffering,,,,,,,,,,,,,25000.000,,
PaymentForManagementFee,,,,,,,,,0.000,,,,75000.000,,
ProceedsFromLimitedPartnershipInvestments,,,,,,,,,,,,,319705.000,,
ProceedsFromPartnershipContribution,,,,,,,,,,,,,324656.000,,
ProfessionalFees,9712.000,19885.000,13117.000,10593.000,33970.000,5285.000,4479.000,8006.000,83589.000,45128.000,14612.000,25954.000,5383.000,26950.000,7343.000
RepaymentOfNotesReceivableFromRelatedParties,,,,,,,,,,,,,249656.000,,
RevenueFromRelatedParties,,,2200.000,,,,,,,,,,6000.000,2125.000,0.000
Revenues,,,2200.000,,,,,,599000.000,,,,6000.000,2125.000,0.000
SalesRevenueNet,,,2200.000,,,,,,599000.000,,,,6000.000,2125.000,0.000
SellingExpense,,,,,,,,,,,,,4951.000,,
WeightedAverageLimitedPartnershipUnitsOutstanding,25000.000,25000.000,25000.000,-50000.000,25000.000,25000.000,25000.000,-50097.000,24903.000,24903.000,24858.000,-49811.000,24803.000,24803.000,24793.000
