,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,-66000.000,,,
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,,,33000.000,35000.000,
AllowanceForLoanAndLeaseLossesWriteOffs,,,,0.000,325000.000,
AmortizationOfDeferredLoanOriginationFeesNet,,,-52000.000,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,50081.000,50081.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-72000.000,,,
ComprehensiveIncomeNetOfTax,,,622000.000,950000.000,1188000.000,195000.000
DeferredIncomeTaxExpenseBenefit,,,129000.000,,,
DepreciationAmortizationAndAccretionNet,,,124000.000,,,
EarningsPerShareBasic,0.050,0.140,0.180,0.220,0.270,0.040
EarningsPerShareDiluted,0.050,0.140,0.180,0.210,0.260,0.030
FederalDepositInsuranceCorporationPremiumExpense,135000.000,57000.000,82000.000,86000.000,88000.000,87000.000
FeesAndCommissionsDepositorAccounts,316000.000,322000.000,284000.000,310000.000,309000.000,324000.000
FeesAndCommissionsMortgageBanking,15000.000,59000.000,46000.000,50000.000,111000.000,55000.000
GainLossOnSaleOfSecuritiesNet,0.000,0.000,,,,
GainLossOnSalesOfLoansNet,79000.000,18000.000,0.000,0.000,0.000,0.000
GainsLossesOnSalesOfAssets,-1000.000,0.000,0.000,0.000,0.000,0.000
GainsLossesOnSalesOfOtherRealEstate,-22000.000,,20000.000,,,
ImpairedFinancingReceivableAverageRecordedInvestment,,,,9880000.000,7499000.000,
ImpairedFinancingReceivableInterestIncomeAccrualMethod,,,,75000.000,48000.000,
ImpairedFinancingReceivableWithNoRelatedAllowanceAverageRecordedInvestment,,,,1457000.000,1732000.000,
ImpairedFinancingReceivableWithNoRelatedAllowanceInterestIncomeAccrualMethod,,,,38000.000,12000.000,
ImpairedFinancingReceivableWithRelatedAllowanceAverageRecordedInvestment,,,,8423000.000,5767000.000,
ImpairedFinancingReceivableWithRelatedAllowanceInterestIncomeAccrualMethod,,,,37000.000,36000.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,495000.000,1043000.000,1310000.000,1474000.000,1791000.000,351000.000
IncomeTaxExpenseBenefit,169000.000,375000.000,486000.000,553000.000,680000.000,115000.000
IncomeTaxesPaid,,,310000.000,,,
IncreaseDecreaseInAccruedIncomeTaxesPayable,,,483000.000,,,
IncreaseDecreaseInAccruedInterestReceivableNet,,,15000.000,,,
IncreaseDecreaseInFederalFundsSold,,,26580000.000,,,
IncreaseDecreaseInFinanceReceivables,,,11411000.000,,,
IncreaseDecreaseInInterestPayableNet,,,-5000.000,,,
IncreaseDecreaseInOtherDeposits,,,1619000.000,,,
IncreaseDecreaseInOtherOperatingAssets,,,113000.000,,,
