,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2015-03-31,2015-06-30
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,,,,,125000.000,,41000.000,
AllocatedShareBasedCompensationExpense,,,,421000.000,386000.000,,342000.000,244000.000,203000.000,-169000.000,,,,
AmortizationOfFinancingCosts,,,,30000.000,,,,,,,,,,
AmortizationOfIntangibleAssets,,,,685000.000,719000.000,,803000.000,802000.000,802000.000,656000.000,655000.000,655000.000,432000.000,432000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,4914990.000,4914990.000,,410385000.000,,,,,,,
BusinessCombinationBargainPurchaseGainRecognizedAmount,,,,,,,,,105000.000,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-349000.000,,,,-852000.000,,,,-2056000.000,,-1345000.000,
ComprehensiveIncomeNetOfTax,,,2216000.000,2935000.000,-10684000.000,-7593000.000,-1232000.000,-2729000.000,-27699000.000,-3079000.000,-4211000.000,299000.000,-10878000.000,-16058000.000
CostsAndExpenses,167091000.000,162214000.000,158190000.000,146622000.000,146230000.000,137763000.000,137084000.000,131856000.000,172748000.000,127602000.000,137187000.000,139589000.000,84832000.000,90985000.000
DeferredCompensationArrangementWithIndividualSharesIssued,,,,,,,65232000.000,,,,,,,
DeferredIncomeTaxExpenseBenefit,,,,,,,97000.000,,,,-100000.000,,117000.000,
DepreciationAndAmortization,3646000.000,3830000.000,3975000.000,4217000.000,4399000.000,4753000.000,4484000.000,4459000.000,4589000.000,4459000.000,4392000.000,4234000.000,3629000.000,4170000.000
DepreciationDepletionAndAmortization,,,4213000.000,,,,4740000.000,,,,4685000.000,,3834000.000,
DerivativeGainLossOnDerivativeNet,645000.000,2480000.000,-152000.000,334000.000,-3000.000,17000.000,3000.000,,,,,,-161000.000,-489000.000
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,,,,,,,348000.000,,,,,
EarningsPerShareBasic,0.140,0.110,0.050,0.060,-0.220,-0.170,-0.020,-0.060,-0.580,,-0.080,0.010,,
EarningsPerShareBasicAndDiluted,,,,,,,,-0.060,-0.580,,-0.080,0.010,-0.150,-0.220
EarningsPerShareDiluted,0.140,0.110,0.050,0.060,-0.220,-0.170,-0.020,-0.060,-0.580,,-0.080,0.010,,
EffectiveIncomeTaxRateContinuingOperations,,,,0.280,0.320,,0.300,0.340,0.280,,0.020,0.270,-0.010,0.000
EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,,,,0.370,,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,-24000.000,,,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,-24000.000,,,,,,,,,,,
FairValueAdjustmentOfWarrants,,,,,,,,,,,,,161000.000,
FairValueOptionChangesInFairValueGainLoss1,,,,,,,,,,,0.000,0.000,,
GainLossOnSaleOfPropertyPlantEquipment,,,2000.000,,,,-20000.000,,,,13000.000,,9000.000,
GainsLossesOnExtinguishmentOfDebt,,243000.000,93000.000,,,,,,324000.000,,,,,
GoodwillAcquiredDuringPeriod,,,,,,,159000.000,,,,,,,
GoodwillAndIntangibleAssetImpairment,,,,,,,,,38737000.000,,,,,8413000.000
GoodwillImpairmentLoss,,,,,12130000.000,,,,,,,,,
IncomeLossFromContinuingOperations,,,,,,,,,,,,,-10878000.000,-16058000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,9648000.000,6999000.000,3528000.000,4085000.000,-15614000.000,-11395000.000,-1756000.000,-4139000.000,-38534000.000,-3563000.000,-4311000.000,379000.000,-10724000.000,-16033000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,,,-10878000.000,-16058000.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,,,,,,,,,-0.150,-0.220
IncomeLossFromEquityMethodInvestments,-1000.000,-92000.000,-10000.000,-62000.000,69000.000,14000.000,-71000.000,-49000.000,42000.000,185000.000,,,,
IncomeTaxExpenseBenefit,3003000.000,1915000.000,1312000.000,1150000.000,-4930000.000,-3783000.000,-524000.000,-1410000.000,-10835000.000,-294000.000,-100000.000,102000.000,154000.000,25000.000
IncomeTaxesPaid,,,,,,,91000.000,,,,,,,
IncomeTaxesPaidNet,,,,,,,,,,,73000.000,,113000.000,
IncreaseDecreaseInAccountsReceivable,,,26590000.000,,,,2277000.000,,,,1802000.000,,-10684000.000,
IncreaseDecreaseInIncomeTaxesReceivable,,,,,,,,,,,2085000.000,,,
IncreaseDecreaseInInventories,,,-11176000.000,,,,-5737000.000,,,,-10228000.000,,-12159000.000,
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,,2191000.000,,,,1373000.000,,,,2354000.000,,-1577000.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,-3412000.000,,,,1830000.000,,,,640000.000,,-1121000.000,
InterestExpense,2412000.000,2245000.000,2312000.000,2327000.000,2203000.000,2241000.000,2303000.000,2136000.000,2287000.000,2260000.000,2319000.000,2364000.000,1642000.000,1994000.000
InterestPaid,,,,,,,2081000.000,,,,,,1192000.000,
IssuanceOfStockAndWarrantsForServicesOrClaims,,,,,,,,,,,,,600000.000,
NetCashProvidedByUsedInFinancingActivities,,,10698000.000,,,,-5197000.000,,,,-11022000.000,,-15643000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,10698000.000,,,,-5197000.000,,,,-11022000.000,,-15643000.000,
NetCashProvidedByUsedInInvestingActivities,,,-8187000.000,,,,-2693000.000,,,,-1686000.000,,-1743000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-8187000.000,,,,-2693000.000,,,,-1686000.000,,-1743000.000,
NetCashProvidedByUsedInOperatingActivities,,,-2860000.000,,,,7038000.000,,,,10652000.000,,16041000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-2860000.000,,,,7038000.000,,,,10652000.000,,16041000.000,
NetIncomeLoss,6645000.000,5084000.000,2216000.000,2935000.000,-10684000.000,-7578000.000,-1179000.000,-2732000.000,-27651000.000,-3254000.000,-3918000.000,299000.000,-10878000.000,-16058000.000
NetIncomeLossAttributableToNoncontrollingInterest,,,,,,,53000.000,3000.000,-48000.000,-121000.000,-293000.000,-22000.000,,
NonoperatingIncomeExpense,-1753000.000,485000.000,-2367000.000,2494000.000,-2156000.000,-2205000.000,-2367000.000,-2180000.000,-1569000.000,-2576000.000,-2312000.000,-2343000.000,-1780000.000,-2459000.000
OperatingExpenses,156497000.000,151162000.000,146887000.000,134279000.000,123163000.000,119355000.000,125997000.000,121060000.000,123613000.000,116805000.000,126447000.000,129296000.000,76433000.000,73755000.000
OperatingIncomeLoss,11401000.000,6514000.000,5895000.000,1591000.000,-13458000.000,-9190000.000,611000.000,-1959000.000,-36965000.000,-987000.000,-1999000.000,2722000.000,-8944000.000,-13574000.000
OtherComprehensiveIncomeLossNetOfTax,,,,,,,,,,,,,0.000,0.000
OtherNoncashIncomeExpense,,,-14000.000,,,,,,,,,,,
OtherNonoperatingIncomeExpense,15000.000,99000.000,4000.000,21000.000,-19000.000,15000.000,4000.000,5000.000,352000.000,10000.000,7000.000,21000.000,23000.000,24000.000
PaidInKindInterest,,,,,,,,,,,,,355000.000,
PaymentsForProceedsFromProductiveAssets,,,-72000.000,,,,3000.000,,,,-297000.000,,7000.000,
PaymentsOfDebtIssuanceCosts,,,400000.000,,,,275000.000,,,,109000.000,,33000.000,
PaymentsToAcquireBusinessesNetOfCashAcquired,,,1500000.000,,,,700000.000,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,6762000.000,,,,2055000.000,,,,2038000.000,,1789000.000,
ProceedsFromIncomeTaxRefunds,,,,,,,22000.000,,,,124000.000,,379000.000,
ProceedsFromIssuanceOfWarrants,,,,,,,,,,,,,2381000.000,
ProceedsFromLongTermLinesOfCredit,,,11970000.000,,,,,,,,,,,
