,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30
AccountsPayableCurrentAndNoncurrent,32606000.000,59450000.000,52650000.000,54377000.000,49887000.000,61260000.000,47768000.000
AccountsReceivableGross,,96440000.000,102515000.000,98200000.000,95758000.000,109231000.000,130380000.000
AccountsReceivableNet,99093000.000,92996000.000,99639000.000,95360000.000,93248000.000,107298000.000,128217000.000
AccruedIncomeTaxes,,5007000.000,,,3107000.000,,
AccruedLiabilitiesCurrentAndNoncurrent,147415000.000,142664000.000,140611000.000,124185000.000,112511000.000,123920000.000,136567000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,164358000.000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-7790000.000,-4469000.000,-10620000.000,-7617000.000,1334000.000,1195000.000,6362000.000
AdditionalPaidInCapitalCommonStock,943413000.000,945858000.000,946886000.000,848843000.000,952089000.000,954082000.000,956483000.000
AllowanceForDoubtfulAccountsReceivable,,3444000.000,2876000.000,2840000.000,2510000.000,1933000.000,2163000.000
Assets,2657986000.000,2656590000.000,2595188000.000,2615666000.000,2730844000.000,2880236000.000,2884595000.000
BuildingsAndImprovementsGross,,,,21382000.000,,,
CashAndCashEquivalentsAtCarryingValue,518548000.000,456073000.000,499473000.000,508648000.000,491820000.000,285477000.000,456869000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,200000000.000,200000000.000
CommonStockSharesIssued,35415285.000,35496472.000,35498160.000,36048606.000,36134902.000,36194393.000,36386148.000
CommonStockSharesOutstanding,28929182.000,29004753.000,29006441.000,29556887.000,28127790.000,27889437.000,28058117.000
CommonStockValue,354000.000,355000.000,355000.000,361000.000,361000.000,362000.000,364000.000
ConstructionInProgressGross,,,,5293000.000,,,
DebtAndCapitalLeaseObligations,,1473125000.000,1314951000.000,1399955000.000,1473431000.000,1562142000.000,1481137000.000
DebtInstrumentCarryingAmount,,,,,1473471000.000,1562178000.000,1481169000.000
DebtInstrumentFairValue,,,,,1492285000.000,1585528000.000,1507988000.000
DeferredTaxAssetsGross,,,,167079000.000,,,
DeferredTaxAssetsLiabilitiesNet,-256468000.000,-263176000.000,-309430000.000,-342962000.000,-354782000.000,-369582000.000,-392524000.000
DeferredTaxAssetsNet,,,,142374000.000,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,166300000.000,,,
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,,50993000.000,,,
DeferredTaxAssetsOperatingLossCarryforwardsForeign,,,,16561000.000,,,
DeferredTaxAssetsOther,,,,6278000.000,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,,27450000.000,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,,,,1036000.000,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsSelfInsurance,,,,30183000.000,,,
DeferredTaxAssetsValuationAllowance,,,,24705000.000,,,
DeferredTaxLiabilities,,,,485336000.000,,,
DeferredTaxLiabilitiesOther,,,,394000.000,,,
DerivativeFairValueOfDerivativeAsset,,261000.000,555000.000,548000.000,272000.000,63000.000,23000.000
DerivativeFairValueOfDerivativeLiability,,20547000.000,14424000.000,,,,
DerivativeFairValueOfDerivativeNet,,-14680000.000,-9097000.000,6300000.000,6815000.000,6764000.000,7021000.000
EntityWideDisclosureOnGeographicAreasLongLivedAssetsInEntitysCountryOfDomicile,,,,82588000.000,,,
EntityWideDisclosureOnGeographicAreasLongLivedAssetsInForeignCountries,,,,1690000.000,,,
FairValueAssetsLevel1ToLevel2TransfersAmount,,,,,,0.000,0.000
FairValueAssetsLevel2ToLevel1TransfersAmount,,,,,,0.000,0.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetValue,,0.000,0.000,0.000,0.000,0.000,0.000
FiniteLivedComputerSoftwareGross,,,,83501000.000,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,61966000.000,,,
FiniteLivedIntangibleAssetsNet,23548000.000,22858000.000,22336000.000,21535000.000,20527000.000,19888000.000,
IncomeTaxesReceivable,14431000.000,,11562000.000,18786000.000,,3998000.000,4453000.000
IntangibleAssetsNetExcludingGoodwill,,,,,,,19438000.000
Land,,,,12009000.000,,,
LeaseholdImprovementsGross,,,,128938000.000,,,
LettersOfCreditOutstandingAmount,,187000000.000,177300000.000,203100000.000,,,
Liabilities,2098493000.000,2049283000.000,1926383000.000,2007994000.000,2075624000.000,2197221000.000,2140354000.000
LiabilitiesAndStockholdersEquity,2657986000.000,2656590000.000,2595188000.000,2615666000.000,2730844000.000,2880236000.000,2884595000.000
LossContingencyAccrualInsuranceRelatedAssessmentDiscountRate,,,,0.004,,,
LossContingencyAccrualProductLiabilityDiscount,,,,375000.000,,,
LossContingencyAccrualProductLiabilityGross,,,,54691000.000,,,
LossContingencyAccrualProductLiabilityNet,,,,54316000.000,,,
LossContingencyAccrualProductLiabilityUndiscountedDueAfterFifthYear,,,,3508000.000,,,
LossContingencyAccrualProductLiabilityUndiscountedDueInFifthYear,,,,2995000.000,,,
LossContingencyAccrualProductLiabilityUndiscountedDueInFourthYear,,,,4617000.000,,,
LossContingencyAccrualProductLiabilityUndiscountedDueInSecondYear,,,,15314000.000,,,
LossContingencyAccrualProductLiabilityUndiscountedDueInThirdYear,,,,7037000.000,,,
LossContingencyAccrualProductLiabilityUndiscountedDueWithinOneYear,,,,21220000.000,,,
OperatingLeasesFutureMinimumPaymentsDue,,,,642294000.000,,,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,138780000.000,,,
OperatingLeasesFutureMinimumPaymentsDueFutureMinimumSubleaseRentals,,,,895000.000,,,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,,54378000.000,,,
