,2011-01-01,2011-04-02,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2015-01-03,2015-04-04,2015-07-04,2015-10-03,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01,2017-07-01
AcceleratedShareRepurchasesSettlementPaymentOrReceipt,,,,,,,,,,,,,328400000.000,,,,,,,,,,,,,,
AccountsPayableCurrent,,53077000.000,119428000.000,83491000.000,102804000.000,67610000.000,120922000.000,115005000.000,149625000.000,97884000.000,199588000.000,158600000.000,164010000.000,103439000.000,164199000.000,117329000.000,150243000.000,94129000.000,145809000.000,173594000.000,157648000.000,90387000.000,190366000.000,155223000.000,158432000.000,101386000.000,217340000.000
AccountsReceivableGrossCurrent,,,,,,,,,175634000.000,,,,203319000.000,,,,196771000.000,,,,216513000.000,,,,211222000.000,,
AccountsReceivableNet,,,,,157754000.000,,,,,,,,,,,,,,,,,,,,,,
AccruedBonusesCurrent,,,,,9417000.000,,,,30541000.000,4670000.000,8008000.000,13799000.000,19579000.000,3196000.000,6320000.000,11793000.000,18875000.000,4396000.000,7400000.000,12574000.000,17934000.000,4148000.000,6694000.000,10638000.000,16834000.000,2924000.000,5959000.000
AccruedIncomeTaxesCurrent,,,,,,,,,,10642000.000,,1600000.000,,6637000.000,,19609000.000,692000.000,18410000.000,1034000.000,25902000.000,,19195000.000,,32242000.000,,25960000.000,
AccruedLiabilitiesForUnredeeemedGiftCards,,,,,4992000.000,,,,6011000.000,6021000.000,6315000.000,6409000.000,7899000.000,7877000.000,8422000.000,8863000.000,10100000.000,9882000.000,10074000.000,9356000.000,,9996000.000,,,,10839000.000,
AccruedRentNoncurrent,,,,,,,,,20485000.000,21777000.000,22878000.000,26525000.000,31821000.000,34446000.000,39534000.000,38812000.000,40656000.000,43504000.000,45535000.000,47554000.000,,,,,,,
AccruedSalariesCurrent,,,,,5150000.000,,,,5517000.000,2449000.000,6049000.000,6224000.000,7609000.000,3405000.000,5744000.000,2968000.000,3576000.000,8111000.000,3344000.000,9615000.000,,10284000.000,,,,11616000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,-168054000.000,,,,187257000.000,,,,227978000.000,,,,245011000.000,257394000.000,257394000.000,276230000.000,290636000.000,307449000.000,307449000.000,333660000.000,345907000.000,365733000.000,384881000.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,,,,,,0.000,,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,,8158000.000,8158000.000,8158000.000,,,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,-5021000.000,,-1929000.000,-3269000.000,-976000.000,-2066000.000,,,,-7552000.000,,,,-15397000.000,,,,-29586000.000,,,,-27624000.000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,-1890000.000,-1989000.000,-6911000.000,-11282000.000,-10087000.000,-11427000.000,-9134000.000,-11205000.000,-12670000.000,-15207000.000,-13531000.000,-10082000.000,-12842000.000,-10050000.000,-13627000.000,-23037000.000,-29031000.000,-29275000.000,-33480000.000,-36367000.000,-31081000.000,-30533000.000,-31889000.000,-34740000.000,-33793000.000,-30653000.000
AdditionalPaidInCapital,,211531000.000,218857000.000,228061000.000,231738000.000,235198000.000,240427000.000,244861000.000,250276000.000,248032000.000,238167000.000,0.000,4332000.000,11420000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,5020000.000,,,,7588000.000,,,,9708000.000,,,,12208000.000,,,,8943000.000,,,,8751000.000,,
