,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,,0.000,,,,0.000,,
EarningsPerShareBasicAndDiluted,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000,0.000,-0.000,0.000,0.000
GeneralAndAdministrativeExpense,-337.000,17500.000,1500.000,8000.000,3000.000,7250.000,25090.000,7500.000,25650.000,-479.000,25090.000,25090.000,25090.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-5923.000,-23760.000,-8235.000,-14734.000,-9735.000,264497.000,-25495.000,-7905.000,-26055.000,73.000,-25495.000,-25495.000,-25495.000
IncomeTaxExpenseBenefit,0.000,0.000,,,0.000,,,,,,,,
InterestExpense,6260.000,6260.000,6735.000,6734.000,6735.000,405.000,405.000,405.000,405.000,406.000,405.000,405.000,405.000
NetCashProvidedByUsedInFinancingActivities,,,,,,,0.000,,,,0.000,0.000,0.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,,,0.000,,,,0.000,0.000,0.000
NetCashProvidedByUsedInInvestingActivities,,,,,,,0.000,,,,0.000,0.000,0.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,0.000,,,,0.000,0.000,0.000
NetCashProvidedByUsedInOperatingActivities,,,,,,,,,,,,0.000,0.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,,,,,,,,,,0.000,0.000
NetIncomeLoss,-5923.000,-23760.000,-8235.000,-14734.000,-9735.000,264497.000,-25495.000,-7905.000,-26055.000,73.000,-25495.000,-25495.000,-25495.000
OperatingIncomeLoss,337.000,-17500.000,-1500.000,-8000.000,-3000.000,-7250.000,-25090.000,-7500.000,-25650.000,479.000,-25090.000,-25090.000,-25090.000
ProfitLoss,,,,,,,25495.000,,,,,,
Revenues,0.000,0.000,,,0.000,,,,,,0.000,,
SalesRevenueNet,0.000,0.000,,,0.000,,,,,,0.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,52514749.000,52514749.000,52514749.000,-105029498.000,52514749.000,52514749.000,52514749.000,-105029498.000,52514749.000,52514749.000,52514749.000
WeightedAverageNumberOfSharesOutstandingBasic,74518999.000,52514749.000,,,,,,,,,,,
