,2012-03-31,2012-06-30,2012-09-30,2013-03-31,2013-06-30
AmortizationOfIntangibleAssets,,,,15000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-84000.000,,,64000.000,
ComprehensiveIncomeNetOfTax,-774000.000,,,-735000.000,
CostOfRevenue,1695000.000,,,1373000.000,
Depreciation,126000.000,,,74000.000,
EarningsPerShareBasic,-0.050,,,-0.030,
EarningsPerShareDiluted,-0.050,,,-0.030,
EffectOfExchangeRateOnCashAndCashEquivalents,438000.000,,,-250000.000,
GrossProfit,545000.000,,,542000.000,
IncomeLossFromContinuingOperations,-1212000.000,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-1209000.000,,,-482000.000,
IncomeLossFromContinuingOperationsPerBasicShare,-0.050,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,-0.050,,,,
IncomeTaxExpenseBenefit,3000.000,,,3000.000,
IncomeTaxesPaidNet,3000.000,,,3000.000,
IncreaseDecreaseInAccountsPayableTrade,-304000.000,,,-682000.000,
IncreaseDecreaseInAccountsReceivable,-158000.000,,,-232000.000,
IncreaseDecreaseInInventories,-105000.000,,,-99000.000,
IncreaseDecreaseInOtherAccruedLiabilities,-76000.000,,,-102000.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,12000.000,,,10000.000,
InterestExpense,89000.000,,,52000.000,
InterestPaid,25000.000,,,28000.000,
NetCashProvidedByUsedInFinancingActivities,-121000.000,,,903000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-121000.000,,,903000.000,
NetCashProvidedByUsedInInvestingActivities,-396000.000,,,-494000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-396000.000,,,-494000.000,
NetCashProvidedByUsedInOperatingActivities,-5000.000,,,-95000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-5000.000,,,-95000.000,
NetIncomeLoss,-1212000.000,,,-485000.000,
OperatingIncomeLoss,-1120000.000,,,-430000.000,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,438000.000,,,-250000.000,
PaymentsForFilmCosts,283000.000,,,435000.000,
PaymentsForProceedsFromInvestments,-1000.000,,,-17000.000,
PaymentsToAcquireOtherProductiveAssets,,,,76000.000,
PaymentsToAcquireProductiveAssets,114000.000,,,,
ProceedsFromIssuanceOfLongTermDebt,,,,1024000.000,
ProceedsFromShortTermDebt,125000.000,,,77000.000,
ProvisionForDoubtfulAccounts,27000.000,,,5000.000,
RepaymentsOfLongTermDebt,125000.000,,,76000.000,
RepaymentsOfShortTermDebt,121000.000,,,122000.000,
Revenues,2240000.000,,,1915000.000,
SalesRevenueNet,2240000.000,,,1915000.000,
SellingGeneralAndAdministrativeExpense,1665000.000,,,972000.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,,,,0.000,
WeightedAverageNumberOfDilutedSharesOutstanding,,,,27259869.000,
WeightedAverageNumberOfSharesOutstandingBasic,,22511404.000,24259869.000,27259869.000,27613490.000
