,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AccountsAndNotesReceivableNet,,,,20742000.000,,,,,,,,,,,,,,,,,,,,,,
AccountsPayableAndAccruedLiabilitiesCurrent,214900000.000,152578000.000,173708000.000,216504000.000,158356000.000,142766000.000,162778000.000,191343000.000,180338000.000,216330000.000,270381000.000,375862000.000,614541000.000,670343000.000,926780000.000,751000000.000,1002000000.000,1004000000.000,1035000000.000,976000000.000,3228000000.000,3218000000.000,3187000000.000,3763000000.000,4275000000.000,4238000000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,148051000.000,157706000.000,166442000.000,177294000.000,,,,203383000.000,,,,244422000.000,,,,288000000.000,,,,351000000.000,,,,442000000.000,,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,5969000.000,7183000.000,6478000.000,5761000.000,6237000.000,5842000.000,6702000.000,5189000.000,4900000.000,-4061000.000,-1845000.000,-2620000.000,-614000.000,2214000.000,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,,,,,,,,,-605000.000,-1000000.000,-1000000.000,-4000000.000,-2000000.000,-10000000.000,10000000.000,43000000.000,46000000.000,-36000000.000,-21000000.000,1000000.000
AdditionalPaidInCapitalCommonStock,396380000.000,405711000.000,411924000.000,421981000.000,443111000.000,450506000.000,458741000.000,450856000.000,461360000.000,563873000.000,578188000.000,594326000.000,739972000.000,754637000.000,811752000.000,840000000.000,870000000.000,891000000.000,909000000.000,956000000.000,4084000000.000,4119000000.000,4154000000.000,4190000000.000,4224000000.000,4258000000.000
Assets,2003685000.000,2010444000.000,2037498000.000,2190336000.000,2283147000.000,2449550000.000,2690936000.000,2741682000.000,2887157000.000,3045235000.000,3139037000.000,3529300000.000,4446447000.000,4682567000.000,5446345000.000,5838000000.000,6696000000.000,7022000000.000,7322000000.000,7339000000.000,18652000000.000,19496000000.000,19634000000.000,20197000000.000,21362000000.000,21840000000.000
AssetsCurrent,743829000.000,774536000.000,766376000.000,940010000.000,920377000.000,1073438000.000,1376505000.000,1373602000.000,1375271000.000,1342360000.000,1368435000.000,1800173000.000,2281849000.000,2324886000.000,2767711000.000,3034000000.000,3590000000.000,3838000000.000,3596000000.000,3605000000.000,7551000000.000,7853000000.000,7755000000.000,8365000000.000,9408000000.000,9648000000.000
AssetsFairValueDisclosure,,,1103011000.000,1224492000.000,1187246000.000,1227830000.000,1521060000.000,1622569000.000,1652347000.000,1608021000.000,1698502000.000,1887244000.000,2185149000.000,2358413000.000,2831694000.000,3030000000.000,3378000000.000,3675000000.000,3855000000.000,3902000000.000,7686000000.000,7411000000.000,7840000000.000,8843000000.000,10052000000.000,9676000000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperation,,,,,,,,,,,,115817000.000,103926000.000,99269000.000,97865000.000,100000000.000,,,,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,0.000,,,,,,,,,,,77512000.000,73651000.000,72839000.000,72234000.000,75000000.000,,,,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,0.000,,,,,,,,,,,38305000.000,30275000.000,26430000.000,25631000.000,,,,,,,,,,,
AvailableForSaleSecurities,,,,,,,,,,,,940972000.000,997674000.000,1202755000.000,1374981000.000,1557000000.000,1776000000.000,1782000000.000,2260000000.000,2218000000.000,4385000000.000,4810000000.000,5111000000.000,5188000000.000,5501000000.000,5539000000.000
