,2011-03-31,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
AmortizationOfFinancingCostsAndDiscounts,,,,,,,200000.000,,,,114000.000,,,,,
BusinessCombinationBargainPurchaseGainRecognizedAmount,,,,,,,,3497000.000,-7000.000,,,,,,198747.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-57000.000,,-297000.000,,,,-469000.000,,,,3000.000,,,,-294.000,
CashDivestedFromDeconsolidation,,,30000.000,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTax,-2224000.000,-763000.000,-782000.000,127000.000,-722000.000,-1654000.000,-1219000.000,124000.000,-1688000.000,-897000.000,-716000.000,-580000.000,-386000.000,17233356.000,60410.000,-29009.000
ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestChangesSaleOfInterestByParent,,,,,,,700000.000,,,,16165000.000,,,,,
DebtConversionOriginalDebtAmount1,,,,,,,800000.000,,,,,,,,,
DebtInstrumentConvertibleBeneficialConversionFeature,,,,,,,,,,,95000.000,,,,,
DepreciationDepletionAndAmortization,75000.000,,74000.000,,,,77000.000,,,,78000.000,,,,,
DiscontinuedOperationAmountOfOtherIncomeLossFromDispositionOfDiscontinuedOperationNetOfTax,,,-55000.000,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,-0.030,-0.010,-0.010,-0.010,-0.010,0.000,-0.020,-0.020,-0.030,-0.010,-0.010,-0.010,-0.010,0.180,0.000,-0.000
EffectOfExchangeRateOnCashAndCashEquivalents,-66000.000,,-184000.000,,,,-68000.000,,,,-4000.000,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationLiabilityTransfersOutOfLevel3,,,,,,,800000.000,,,,,,,,,
GainLossOnDispositionOfAssets,-4000.000,,,,-9000.000,,,1019000.000,,,-55000.000,4000.000,13000.000,,,
GainLossOnDispositionOfAssets1,,,,,,,,,,,-55000.000,,,,,
GainLossOnDispositionOfProperty,-4000.000,,,,,,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,,5000.000,,,,67337.000,8300.000
GrossProfit,,,,,,,,,,,105000.000,,,,,
IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity,,,,,,,-1085000.000,,,,-13216000.000,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-2631000.000,-1452000.000,-919000.000,-2411000.000,-1206000.000,-2744000.000,-2236000.000,3029000.000,-1289000.000,-1439000.000,-1102000.000,-875000.000,-979000.000,8614924.000,240585.000,-29009.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-2631000.000,-1563000.000,-919000.000,-2411000.000,-1206000.000,-2017000.000,-2236000.000,-1896000.000,-2648000.000,-1439000.000,-1102000.000,,,,240585.000,-29009.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,,,,,,,,,,,0.000,-0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToNoncontrollingInterest,,,,-3631000.000,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,-55000.000,,,,,,,,,,,,,
