,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-06-30,2013-09-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-09-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,,264947.000,,,,-283292.000,,,,-29646.000,
CostOfGoodsSold,160475153.000,237332784.000,181772574.000,254672361.000,170735500.000,243934138.000,186222266.000,200499036.000,258335659.000,223223481.000,187006793.000,226685889.000
DepreciationDepletionAndAmortization,,,2282463.000,,,,3215162.000,,,,3225561.000,
EarningsPerShareBasic,0.120,0.250,0.130,0.280,0.140,0.280,0.140,0.160,0.300,0.300,0.140,0.260
EffectOfExchangeRateOnCashAndCashEquivalents,,,11235.000,,,,-101730.000,,,,-44976.000,
GeneralAndAdministrativeExpense,746827.000,1114223.000,935772.000,1236931.000,752967.000,1370639.000,962975.000,768252.000,1353764.000,1062506.000,977082.000,1310060.000
GrossProfit,19909855.000,40484114.000,22382539.000,45044059.000,22009125.000,46068593.000,22989257.000,25725039.000,46807935.000,48332999.000,23029272.000,43112103.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,18829676.000,38115265.000,20681629.000,43268175.000,21328040.000,44030116.000,21233279.000,24827566.000,46748854.000,46125387.000,21240692.000,41403090.000
IncomeTaxExpenseBenefit,,0.000,,,,,,,,,0.000,0.000
IncomeTaxesPaid,,,657040.000,,,,,,,,,
IncreaseDecreaseInAccountsPayable,,,-3027306.000,,,,-1837806.000,,,,-2141441.000,
IncreaseDecreaseInAccountsReceivable,,,-2091335.000,,,,-10003669.000,,,,11303289.000,
IncreaseDecreaseInAccruedLiabilities,,,-51561.000,,,,,,,,,
IncreaseDecreaseInInventories,,,1099271.000,,,,3232529.000,,,,-1902870.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,213937.000,,,,140304.000,,,,-131371.000,
IncreaseDecreaseInPropertyAndOtherTaxesPayable,,,-68309.000,,,,-25355.000,,,,-45676.000,
InterestExpense,630393.000,568067.000,657040.000,39817.000,-19567.000,108156.000,666044.000,2024.000,-517671.000,516216.000,653058.000,-34444.000
InterestPaid,,,,,,,666044.000,,,,653058.000,
NetCashProvidedByUsedInFinancingActivities,,,-4483678.000,,,,-2288235.000,,,,-1918873.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-4483678.000,,,,-2288235.000,,,,-1918873.000,
NetCashProvidedByUsedInInvestingActivities,,,-14301401.000,,,,-14321957.000,,,,-12430907.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-14301401.000,,,,-14321957.000,,,,-12430907.000,
NetCashProvidedByUsedInOperatingActivities,,,19038791.000,,,,16428629.000,,,,14365109.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,19038791.000,,,,16428629.000,,,,14365109.000,
NetIncomeLoss,18829676.000,38115265.000,20681629.000,43268175.000,21328040.000,44030116.000,21233279.000,24827566.000,46748854.000,46125387.000,21240692.000,41403090.000
NonoperatingIncomeExpense,623535.000,-184616.000,260337.000,23501.000,406838.000,1776.000,263494.000,233486.000,1321294.000,-131838.000,237409.000,93370.000
OperatingExpenses,1073322.000,1616166.000,1304207.000,1759569.000,1107490.000,1932097.000,1353429.000,1128935934.000,1898046.000,-1126247441.000,1372931.000,1836827.000
OperatingIncomeLoss,18836533.000,38867948.000,21078332.000,43284490.000,20901635.000,44136496.000,21635828.000,24596104.000,44909889.000,46773442.000,21656341.000,41275276.000
PaymentsToAcquirePropertyPlantAndEquipment,,,14301401.000,,,,14321957.000,,,,12430907.000,
ProceedsFromRepaymentsOfDebt,,,-1453145.000,,,,-711267.000,,,,-598936.000,
ProceedsFromSaleMaturityAndCollectionsOfInvestments,,,,,,,,,,,0.000,
ProvisionForDoubtfulAccounts,,,,,,,499183.000,,,,1385945.000,
SalesRevenueGoodsNet,180385009.000,277816897.000,204155113.000,299716420.000,192744625.000,290002731.000,209211523.000,226224075.000,305143594.000,271556480.000,210036064.000,269797992.000
SellingAndMarketingExpense,326496.000,501943.000,368436.000,522638.000,354523.000,561457.000,390454.000,360683682.000,544282.000,-359825948.000,395848.000,526766.000
WeightedAverageNumberOfSharesOutstandingBasic,155097355.000,155097355.000,155097355.000,155097355.000,155097355.000,155097355.000,155097355.000,155097355.000,155097355.000,-310194710.000,155097355.000,157165783.000
