,2011-04-01,2011-09-30,2011-12-30,2012-03-30,2012-06-29,2012-09-28,2012-12-28,2013-03-29,2013-06-28,2013-09-27,2013-12-27,2014-03-28,2014-06-27,2015-01-02,2015-04-03,2015-10-02,2016-01-01,2016-04-01,2016-07-01,2016-09-30,2016-12-30,2017-03-31
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,,,,,,,,,,,,,,,,53000000.000,,,,23000000.000,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,12000000.000,,,,17000000.000,,,,27000000.000,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,1000000.000,,,,0.000,,,,,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,14000000.000,12000000.000,,,,,,,,,,,,,,,,,,
AmortizationOfIntangibleAssets,,,2000000.000,18000000.000,,19000000.000,20000000.000,37000000.000,71000000.000,37000000.000,39000000.000,26000000.000,29000000.000,39000000.000,40000000.000,41000000.000,46000000.000,44000000.000,43000000.000,42000000.000,42000000.000,42000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,,,,,,,2000000.000,4000000.000,,3000000.000,1000000.000,1000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-203000000.000,,,,187000000.000,,,,216000000.000,,,,,,-564000000.000,,,,364000000.000,,
CommonStockDividendsPerShareDeclared,,0.180,0.180,0.250,0.250,0.320,0.700,0.000,0.380,0.380,0.430,0.430,0.430,0.540,0.540,0.540,0.630,0.630,0.630,0.630,0.630,0.630
ComprehensiveIncomeNetOfTax,,126000000.000,,,,608000000.000,492000000.000,405000000.000,328000000.000,434000000.000,427000000.000,400000000.000,320000000.000,923000000.000,283000000.000,,,,,168000000.000,288000000.000,200000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,1000000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,609000000.000,492000000.000,405000000.000,328000000.000,434000000.000,427000000.000,400000000.000,320000000.000,923000000.000,283000000.000,34000000.000,163000000.000,-17000000.000,73000000.000,,,
CostOfGoodsAndServicesSold,2179000000.000,2262000000.000,2185000000.000,2809000000.000,2999000000.000,2671000000.000,2676000000.000,2578000000.000,2486000000.000,2514000000.000,2541000000.000,2447000000.000,2376000000.000,2669000000.000,2375000000.000,2236000000.000,2245000000.000,2071000000.000,1993000000.000,1996000000.000,2003000000.000,1858000000.000
CostmethodInvestmentsRealizedGainLossExcludingOtherThanTemporaryImpairments,,,,12000000.000,,33000000.000,,,,,,,,,,,,,,,,
CostsAndExpenses,2516000000.000,2575000000.000,2590000000.000,3240000000.000,3426000000.000,3108000000.000,3113000000.000,3061000000.000,2978000000.000,3011000000.000,3084000000.000,2962000000.000,2891000000.000,2643000000.000,2987000000.000,2839000000.000,2757000000.000,2568000000.000,2551000000.000,2576000000.000,2524000000.000,2408000000.000
DeferredIncomeTaxExpenseBenefit,,,,,,-5000000.000,,,,-1000000.000,,,,,,0.000,,,,1000000.000,,
DepreciationDepletionAndAmortization,,182000000.000,,,,212000000.000,,,,228000000.000,,,,,,208000000.000,,,,200000000.000,,
DividendsCommonStockCash,,75000000.000,,,,127000000.000,,,,135000000.000,,,,,,,,,,,,
