,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfDebtDiscountPremium,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-778000.000,3940000.000,551000.000,-1113000.000,-426000.000,3174000.000,-476000.000,8301000.000,-2359000.000,-4718000.000,-757000.000,-2193000.000,-591000.000,-282000.000,1785000.000,-1269000.000,11000.000,-408000.000,57000.000
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
ConversionOfStockAmountConverted1,,,,,,,,,-42000.000,0.000,,130000.000,0.000,0.000,-260000.000,0.000,0.000,0.000,0.000,
Depreciation,,,,,,,,,,,,,,,,,,,,16000.000
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,,,,,0.000,0.000,,,,,,,,,,,,,,
FairValueAdjustmentOfWarrants,,,,,,,,1071000.000,691000.000,-38000.000,19000.000,7000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
GeneralAndAdministrativeExpense,564000.000,510000.000,440000.000,559000.000,743000.000,272000.000,527000.000,351000.000,417000.000,856000.000,1025000.000,960000.000,988000.000,1068000.000,571000.000,826000.000,832000.000,848000.000,327000.000,829000.000
IncomeLossFromContinuingOperations,694000.000,872000.000,-1150000.000,-1082000.000,-1518000.000,-1082000.000,-1217000.000,-2111000.000,,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,0.010,0.010,-0.010,-0.010,-0.010,-0.010,0.060,0.010,0.010,0.160,0.500,0.120,-0.120,-0.140,-0.320,-0.100,-0.050,-0.090,-0.030,-0.100
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
IncomeTaxExpenseBenefit,0.000,-4000.000,0.000,0.000,18000.000,1000.000,6000.000,0.000,0.000,2000.000,-2000.000,0.000,,,,,,,,
IncreaseDecreaseInAccountsPayableTrade,,81000.000,-321000.000,-112000.000,127000.000,73000.000,-218000.000,98000.000,431000.000,547000.000,238000.000,-620000.000,-167000.000,-420000.000,834000.000,-888000.000,74000.000,-3000.000,-7000.000,17000.000
IncreaseDecreaseInFairValueOfUnhedgedDerivativeInstruments,,0.000,0.000,0.000,,,,,,,,,,,,,,,,
IncreaseDecreaseInInterestPayableNet,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,74000.000,131000.000,34000.000,12000.000,113000.000,147000.000,177000.000,-256000.000,66000.000,480000.000,233000.000,-33000.000,732000.000,-720000.000,-822000.000,-34000.000,-84000.000,-324000.000,-92000.000
IncreaseDecreaseInRestrictedCash,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
InterestExpense,-46000.000,11000.000,-22000.000,1000.000,,,,,,,,,,,,,,,,
IssuanceOfStockAndWarrantsForServicesOrClaims,,,,,,,,110000.000,0.000,76000.000,12000.000,0.000,108000.000,0.000,0.000,31000.000,0.000,90000.000,0.000,0.000
NetCashProvidedByUsedInFinancingActivities,,20000.000,5028000.000,250000.000,7000.000,3326000.000,1000.000,0.000,9273000.000,366000.000,46000.000,14745000.000,12000.000,0.000,,0.000,0.000,0.000,0.000,0.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,20000.000,5028000.000,250000.000,7000.000,3326000.000,1000.000,0.000,9273000.000,366000.000,46000.000,14745000.000,12000.000,0.000,,0.000,0.000,0.000,0.000,0.000
NetCashProvidedByUsedInInvestingActivities,,-52000.000,-14000.000,971000.000,-57000.000,-3039000.000,4781000.000,-85000.000,-2000.000,-1606000.000,-2757000.000,-13565000.000,-555000.000,1939000.000,,4766000.000,137000.000,286000.000,788000.000,1699000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-52000.000,-14000.000,971000.000,-57000.000,-3039000.000,4781000.000,-85000.000,-2000.000,-1606000.000,-2757000.000,-13565000.000,-555000.000,1939000.000,,4766000.000,137000.000,286000.000,788000.000,1699000.000
NetCashProvidedByUsedInOperatingActivities,,-746000.000,-1074000.000,-670000.000,-1063000.000,-713000.000,-1608000.000,-391000.000,-970000.000,-1119000.000,-2007000.000,-1937000.000,-1650000.000,-2530000.000,,-2981000.000,-1406000.000,-275000.000,-1196000.000,-1642000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-746000.000,-1074000.000,-670000.000,-1063000.000,-713000.000,-1608000.000,-391000.000,-970000.000,-1119000.000,-2007000.000,-1937000.000,-1650000.000,-2530000.000,,-2981000.000,-1406000.000,-275000.000,-1196000.000,-1642000.000
NetIncomeLoss,694000.000,-872000.000,-1150000.000,-1082000.000,-1518000.000,-1082000.000,-1217000.000,-2111000.000,-1984000.000,-2421000.000,-2730000.000,-2236000.000,-2265000.000,-2603000.000,-1384000.000,-1790000.000,-962000.000,-1606000.000,-624000.000,-1785000.000
OperatingExpenses,740000.000,879000.000,1172000.000,1081000.000,1485000.000,1076000.000,1376000.000,1031000.000,1294000.000,2428000.000,2668000.000,2205000.000,,,,,,,,
OperatingIncomeLoss,694000.000,868000.000,-1150000.000,-1082000.000,-1500000.000,-1081000.000,-1211000.000,-2111000.000,-1984000.000,-2419000.000,-2732000.000,-2236000.000,-2363000.000,-2571000.000,-1366000.000,-1812000.000,-983000.000,-1638000.000,-650000.000,-1770000.000
OtherDepreciationAndAmortization,,38000.000,39000.000,33000.000,17000.000,27000.000,20000.000,25000.000,25000.000,30000.000,26000.000,23000.000,24000.000,26000.000,14000.000,16000.000,22000.000,17000.000,,
OtherNonoperatingIncome,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,
PaymentsForProceedsFromInvestments,,,,,,,,,,,,,,,,,,,,-1700000.000
PaymentsForProceedsFromShortTermInvestments,,,,,,,,0.000,,1600000.000,,13565000.000,-539000.000,-1953000.000,164000.000,-4794000.000,-196000.000,-299000.000,,
