,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31
AllocatedShareBasedCompensationExpense,,,2038000.000,1519000.000,1086000.000,-216000.000,1264000.000,844000.000,1248000.000,803000.000
AmortizationOfFinancingCosts,2655000.000,1040000.000,1049000.000,1579000.000,1589000.000,1607000.000,1652000.000,1830000.000,1917000.000,1907000.000
AssetImpairmentCharges,,,124845000.000,,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,14171000.000,38783000.000,,,,,
BusinessAcquisitionsProFormaRevenue,,,,245590000.000,268847000.000,,,,,
BusinessCombinationAcquisitionRelatedCosts,,,,14049000.000,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-3873000.000,3306000.000,-1110000.000,1445000.000,1152000.000,4586000.000,-1740000.000,950000.000,-6022000.000,-603000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,-110491000.000,7634000.000,38582000.000,-7090000.000,7237000.000,5508000.000,17888000.000,-17639000.000
CostOfPurchasedOilAndGas,219278000.000,223762000.000,165464000.000,140833000.000,147246000.000,176802000.000,158208000.000,167074000.000,163824000.000,177133000.000
CostsAndExpenses,267145000.000,270777000.000,342109000.000,208377000.000,208356000.000,253509000.000,232149000.000,243509000.000,241865000.000,267280000.000
DepreciationDepletionAndAmortization,21650000.000,22463000.000,23853000.000,28456000.000,31992000.000,43043000.000,44786000.000,46113000.000,47133000.000,49909000.000
DerivativeInstrumentsGainLossRecognizedInIncomeNet,,,100000.000,,,,,,,
DerivativeInstrumentsGainRecognizedInOtherComprehensiveIncomeEffectivePortion,,,600000.000,,,,,,,
DistributionMadeToLimitedPartnerCashDistributionsPaid,,,,,,,,52786000.000,52781000.000,
DistributionMadeToMemberOrLimitedPartnerCashDistributionsPaid,,,40418000.000,41265000.000,46833000.000,47740000.000,52735000.000,,,
EarningsPerShareBasicAndDiluted,,,,,,,,-0.210,-0.090,
EntityWideRevenueMajorCustomerAmount,,,105200000.000,,,,,,,
EnvironmentalExpenseAndLiabilities,,,700000.000,,,,,,,
EquityMethodInvestmentDividendsOrDistributions,,,200000.000,,,,2100000.000,,,
GainLossOnDerivativeInstrumentsNetPretax,4782000.000,8690000.000,-4951000.000,8676000.000,-1524000.000,90000.000,-441000.000,846000.000,-965000.000,-510000.000
GainLossOnSaleOfEquityInvestments,,,,,,,,,14302000.000,
GainsLossesOnSalesOfAssets,,,,,31292000.000,,500000.000,,,
GasGatheringTransportationMarketingAndProcessingRevenue,,,,21404000.000,27229000.000,,,,,
GeneralAndAdministrativeExpense,11975000.000,8755000.000,12044000.000,10999000.000,11531000.000,12878000.000,13785000.000,13172000.000,13402000.000,14149000.000
IncomeLossFromEquityMethodInvestments,,,1000000.000,,,,800000.000,,,
IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,1343000.000,-2818000.000,741000.000,-186000.000,-697000.000,-11166000.000,-1325000.000,-2349000.000,-1961000.000,-2007000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,6569000.000,5345000.000,-8892000.000,-6121000.000,31594000.000,-6499000.000,12359000.000,-14474000.000,18534000.000,-13483000.000
IncreaseDecreaseInAccountsReceivable,14168000.000,2766000.000,-11814000.000,-1984000.000,9890000.000,32800000.000,-12586000.000,12590000.000,3397000.000,11588000.000
IncreaseDecreaseInDeferredRevenue,272000.000,-855000.000,760000.000,762000.000,1840000.000,1730000.000,-147000.000,-1964000.000,2213000.000,151000.000
IncreaseDecreaseInOtherOperatingCapitalNet,1431000.000,-605000.000,-122000.000,367000.000,210000.000,-1201000.000,-138000.000,131000.000,-345000.000,1393000.000
InterestExpense,12428000.000,10528000.000,9817000.000,15511000.000,20288000.000,23157000.000,23678000.000,26326000.000,28358000.000,27886000.000
InterestPaid,17851000.000,5941000.000,4694000.000,19132000.000,5806000.000,46018000.000,5956000.000,43374000.000,4709000.000,55347000.000
LimitedPartnersCapitalAccountDistributionAmount,,,40418000.000,,,,52735000.000,,,
LineOfCreditFacilityInterestRateDuringPeriod,,,0.029,,,,0.032,,,
NaturalGasMidstreamCosts,,,,140833000.000,147246000.000,,158208000.000,167074000.000,163824000.000,177133000.000
NaturalGasMidstreamRevenue,256907000.000,259710000.000,206276000.000,63127000.000,78026000.000,-32187000.000,87714000.000,103111000.000,92005000.000,91396000.000
NetCashProvidedByUsedInFinancingActivities,21549000.000,20097000.000,35582000.000,933108000.000,55331000.000,172965000.000,56291000.000,95944000.000,-53733000.000,49100000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,21549000.000,20097000.000,35582000.000,933108000.000,55331000.000,172965000.000,56291000.000,95944000.000,-53733000.000,49100000.000
NetCashProvidedByUsedInInvestingActivities,-62965000.000,-66748000.000,-81859000.000,-955138000.000,-120329000.000,-178848000.000,-137446000.000,-120601000.000,-26380000.000,-74036000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-62965000.000,-66748000.000,-81859000.000,-955138000.000,-120329000.000,-178848000.000,-137446000.000,-120601000.000,-26380000.000,-74036000.000
NetCashProvidedByUsedInOperatingActivities,37543000.000,49957000.000,45167000.000,23475000.000,66150000.000,10469000.000,79415000.000,25607000.000,74091000.000,24333000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,37543000.000,49957000.000,45167000.000,23475000.000,66150000.000,10469000.000,79415000.000,25607000.000,74091000.000,24333000.000
NetIncomeLoss,35658000.000,35857000.000,-110344000.000,7809000.000,38783000.000,-6870000.000,,,,
NetIncomeLossAllocatedToLimitedPartners,,,-110126000.000,-6203000.000,13818000.000,-20692000.000,-16405000.000,-19787000.000,-8721000.000,-37444000.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,0.500,0.500,-1.390,,,,,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,0.500,0.500,-1.390,,,,,,,
NoncashOrPartNoncashAcquisitionOtherAssetsAcquired1,,,,4827000.000,,,,,,
NoncashOrPartNoncashAcquisitionOtherLiabilitiesAssumed1,24000.000,,,33929000.000,-430000.000,,,,,
OperatingExpenses,,,,25039000.000,29118000.000,,29155000.000,30322000.000,30908000.000,32100000.000
OperatingIncomeLoss,43177000.000,37575000.000,-95692000.000,14535000.000,60491000.000,16069000.000,31262000.000,29956000.000,47099000.000,24366000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentOnDerivativesIncludedInNetIncomeNetOfTax,,,,-175000.000,-201000.000,,,,,
OtherComprehensiveIncomeOtherNetOfTax,,,-147000.000,,,,,,,
