,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AccountsPayableAndAccruedLiabilitiesCurrent,2044000000.000,2077000000.000,2070000000.000,1977000000.000,1906000000.000,1920000000.000,1864000000.000,1744000000.000,1788000000.000,1650000000.000,1630000000.000,1681000000.000,1890000000.000,2186000000.000,1941000000.000,1871000000.000,1702000000.000,1678000000.000,1742000000.000,1412000000.000,1375000000.000,1542000000.000,1566000000.000,1602000000.000,1828000000.000,1948000000.000
AccountsReceivableFromSecuritization,,,75000000.000,380000000.000,,,,,,,,,,,,,,,,,,,,,,
AccountsReceivableNetNoncurrent,,,,40000000.000,,,,34000000.000,,,,58000000.000,,,,39000000.000,,,,33000000.000,,,,25000000.000,,
AccrualForEnvironmentalLossContingencies,194000000.000,191000000.000,191000000.000,206000000.000,204000000.000,207000000.000,203000000.000,203000000.000,203000000.000,201000000.000,199000000.000,233000000.000,231000000.000,227000000.000,218000000.000,212000000.000,210000000.000,206000000.000,203000000.000,197000000.000,191000000.000,188000000.000,185000000.000,179000000.000,178000000.000,180000000.000
AccruedCappingClosurePostClosureAndEnvironmentalCosts,23000000.000,23000000.000,23000000.000,27000000.000,27000000.000,27000000.000,27000000.000,,,,,,,,,,,,,,,,,,,
AccruedCappingClosurePostClosureAndEnvironmentalCostsNoncurrent,,,,,,,,29000000.000,28000000.000,28000000.000,28000000.000,28000000.000,28000000.000,28000000.000,28000000.000,28000000.000,28000000.000,28000000.000,28000000.000,24000000.000,24000000.000,24000000.000,24000000.000,23000000.000,23000000.000,23000000.000
AccruedEmployeeBenefitsCurrentAndNoncurrent,,,,104000000.000,,,,102000000.000,,,,,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,9634000000.000,9815000000.000,9867000000.000,9993000000.000,10056000000.000,10143000000.000,10321000000.000,10498000000.000,10599000000.000,10746000000.000,10864000000.000,10877000000.000,10931000000.000,11091000000.000,10488000000.000,10565000000.000,10191000000.000,10272000000.000,10361000000.000,9842000000.000,10010000000.000,10106000000.000,10235000000.000,10217000000.000,10330000000.000,10517000000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-2929000000.000,-2840000000.000,-2909000000.000,-3367000000.000,-3190000000.000,-3215000000.000,-2931000000.000,-3268000000.000,-3236000000.000,-3148000000.000,-3058000000.000,-1752000000.000,-1704000000.000,-1644000000.000,-1016000000.000,-1441000000.000,-1501000000.000,-1432000000.000,-1568000000.000,-1169000000.000,-1321000000.000,-1299000000.000,-1245000000.000,-1497000000.000,-1428000000.000,-1303000000.000
AdditionalPaidInCapital,3654000000.000,3635000000.000,3643000000.000,3650000000.000,3658000000.000,3633000000.000,3642000000.000,3652000000.000,3693000000.000,3656000000.000,3665000000.000,3667000000.000,3675000000.000,3638000000.000,3623000000.000,3623000000.000,3633000000.000,3596000000.000,3598000000.000,3603000000.000,3594000000.000,3555000000.000,4092000000.000,4027000000.000,3969000000.000,3942000000.000
AllowanceForDoubtfulAccountsReceivableCurrent,54000000.000,54000000.000,52000000.000,64000000.000,57000000.000,54000000.000,55000000.000,55000000.000,54000000.000,54000000.000,53000000.000,53000000.000,55000000.000,53000000.000,49000000.000,45000000.000,37000000.000,28000000.000,30000000.000,28000000.000,27000000.000,26000000.000,26000000.000,25000000.000,27000000.000,28000000.000
AllowanceForDoubtfulAccountsReceivableNoncurrent,23000000.000,20000000.000,19000000.000,3000000.000,3000000.000,3000000.000,3000000.000,3000000.000,3000000.000,3000000.000,3000000.000,7000000.000,10000000.000,9000000.000,9000000.000,8000000.000,8000000.000,8000000.000,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,10000000.000,10000000.000,11000000.000
AllowanceForNotesAndLoansReceivableNoncurrent,,,,,,,,,,,,3000000.000,,,,0.000,,,,7000000.000,,,,10000000.000,,
AssetRetirementObligation,41000000.000,41000000.000,38000000.000,38000000.000,34000000.000,32000000.000,31000000.000,33000000.000,32000000.000,31000000.000,35000000.000,59000000.000,58000000.000,59000000.000,43000000.000,48000000.000,92000000.000,88000000.000,93000000.000,89000000.000,86000000.000,87000000.000,85000000.000,79000000.000,77000000.000,73000000.000
Assets,15768000000.000,16245000000.000,15931000000.000,16073000000.000,15804000000.000,15404000000.000,15496000000.000,15217000000.000,15151000000.000,14864000000.000,13006000000.000,13143000000.000,13394000000.000,13406000000.000,12008000000.000,12314000000.000,11544000000.000,11213000000.000,11191000000.000,9190000000.000,8936000000.000,8941000000.000,9467000000.000,9160000000.000,9186000000.000,9580000000.000
AssetsCurrent,5537000000.000,6021000000.000,5934000000.000,5774000000.000,5791000000.000,5625000000.000,5646000000.000,5374000000.000,5554000000.000,5416000000.000,5354000000.000,6078000000.000,6480000000.000,6527000000.000,6101000000.000,6431000000.000,5742000000.000,5436000000.000,5385000000.000,3917000000.000,3683000000.000,3777000000.000,4411000000.000,4356000000.000,4478000000.000,4723000000.000
AssetsHeldForSaleLongLived,,,,41000000.000,,,,,,,,,,,,,,,,,,,,,,
BuildingsAndImprovementsGross,,,,1406000000.000,,,,1394000000.000,,,,1367000000.000,,,,1101000000.000,,,,1036000000.000,,,,1051000000.000,,
BusinessCombinationConsiderationTransferred,,,,,,,,,,36000000.000,,,,,,,,,,,,,,,,
