,2011-12-31,2012-12-31,2013-12-31,2014-12-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,3600000.000,,,
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,11719170.000,,,
AmortizationOfDebtDiscountPremium,,46753.000,310000.000,
AmortizationOfDeferredCharges,,34000.000,284160.000,281077.000
CashPeriodIncreaseDecrease,-840761.000,-6149.000,-34045.000,-11746.000
ContractRevenueCost,33583.000,116878.000,384368.000,369586.000
ContractsRevenue,116550.000,277457.000,819189.000,384511.000
ConvertiblePreferredStockConvertedToOtherSecurities,,,120000.000,
DebtConversionConvertedInstrumentAmount1,43911.000,0.000,,
DebtInstrumentConvertibleBeneficialConversionFeature,,,,0.000
DebtInstrumentIncreaseAccruedInterest,,,13722.000,
DepreciationAndAmortization,15546.000,4078.000,3059.000,3059.000
DepreciationDepletionAndAmortization,68346.000,35758.000,3059.000,3059.000
DerivativeLossOnDerivative,,117450.000,1021457.000,-64112.000
EarningsPerShareBasicAndDiluted,-0.040,-0.050,-0.030,-0.010
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,0.350
ExtinguishmentOfDebtAmount,,,1332360.000,
GainLossOnDispositionOfProperty,-9418.000,0.000,,
GainLossOnSaleOfPropertyPlantEquipment,,,,-5183.000
GainLossRelatedToLitigationSettlement,,243953.000,,
GainsLossesOnExtinguishmentOfDebt,,,1397217.000,
GrossProfit,82967.000,,,
ImpairmentOfIntangibleAssetsFinitelived,,549120.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-19254789.000,-2121522.000,-1534892.000,
IncomeTaxExpenseBenefit,,0.000,,
IncreaseDecreaseInAccountsPayableTrade,481685.000,-135565.000,22630.000,188126.000
IncreaseDecreaseInAccruedLiabilities,1836450.000,1278811.000,553362.000,147566.000
IncreaseDecreaseInContractReceivablesNet,7478.000,48941.000,-64800.000,15086.000
IncreaseDecreaseInDeferredCharges,1209349.000,-26839.000,-327989.000,-281077.000
IncreaseDecreaseInDueToRelatedParties,,,,65758.000
IncreaseDecreaseInDueToRelatedPartiesCurrent,,10000.000,,
IncreaseDecreaseInInsuranceLiabilities,,48729.000,,
IncreaseDecreaseInOtherCurrentAssets,-140992.000,-4300.000,,-6000.000
IncreaseDecreaseInOtherOperatingAssets,-2520.000,-7092.000,,
IncreaseDecreaseInPrepaidExpense,27759.000,-61422.000,-81108.000,-36515.000
InterestExpense,62772.000,113308.000,396142.000,96978.000
InterestPaid,-9589.000,48335.000,397373.000,4267.000
IssuanceOfStockAndWarrantsForServicesOrClaims,,,197482.000,
LitigationSettlementAmount,,,,50000.000
LitigationSettlementInterest,,,,50000.000
