,2011-02-28,2012-02-29,2013-02-28,2014-02-28,2015-02-28,2016-02-29,2017-02-28
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,29214000.000,32105000.000,37294000.000,36429000.000,43341000.000,39164000.000,53356000.000
AdvertisingExpense,,100300000.000,108200000.000,114600000.000,124300000.000,142200000.000,146000000.000
AllocatedShareBasedCompensationExpense,,49104000.000,63174000.000,67670000.000,83154000.000,52426000.000,93039000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,1750473.000,3877165.000,1231382.000,1409809.000,1243383.000,2874788.000
AvailableForSaleSecuritiesGrossRealizedGainLossNet,,,0.000,0.000,,,
AverageBalanceDuringPeriodOfLoansHeldInPortfolio,,4662400000.000,5385500000.000,6629500000.000,,,
CapitalExpendituresIncurredButNotYetPaid,6395000.000,8859000.000,-1211000.000,,3698000.000,16222000.000,-6280000.000
CapitalLeaseObligationsIncurred,1739000.000,0.000,0.000,,11697000.000,103233000.000,90517000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,22843000.000,401537000.000,6706000.000,,-600295000.000,9788000.000,1022000.000
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,,12500000.000,,,,,
ComprehensiveIncomeNetOfTax,,376393000.000,436935000.000,506123000.000,578238000.000,618623000.000,640611000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,375367000.000,376393000.000,,,,,
CostOfRevenue,7674326000.000,8624838000.000,9498456000.000,10925598000.000,12381189000.000,13130915000.000,13691824000.000
CumulativeEffectOfChangeInAccountingPrincipleTabularPresentationByFinancialStatementLineItemPreviouslyReportedAmount,,38900000.000,,,,,
CumulativeEffectOfInitialAdoptionOfNewAccountingPrinciple,-93234000.000,,,,,,
CurrentFederalTaxExpenseBenefit,,223548000.000,232652000.000,283174000.000,329211000.000,324096000.000,332466000.000
CurrentIncomeTaxExpenseBenefit,,253987000.000,263209000.000,321921000.000,376272000.000,369279000.000,377111000.000
CurrentStateAndLocalTaxExpenseBenefit,,30439000.000,30557000.000,38747000.000,47061000.000,45183000.000,44645000.000
DeferredFederalIncomeTaxExpenseBenefit,,54000.000,4705000.000,-15129000.000,-3499000.000,16398000.000,4098000.000
DeferredIncomeTaxExpenseBenefit,19393000.000,-872000.000,3858000.000,-17185000.000,-4299000.000,17237000.000,2324000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,-926000.000,-847000.000,-2056000.000,-800000.000,839000.000,-1774000.000
DeferredTaxExpenseFromStockOptionsExercised,,,,21917000.000,48786000.000,31884000.000,12253000.000
DefinedBenefitPlanActualReturnOnPlanAssets,,2551000.000,8175000.000,19204000.000,10732000.000,,
DefinedBenefitPlanActuarialGainLoss,,,17278000.000,-4177000.000,35829000.000,,
DefinedBenefitPlanActuarialNetGainsLosses,,31467000.000,,,,,
DefinedBenefitPlanAmortizationOfGainsLosses,,-461000.000,-1200000.000,-1674000.000,-1361000.000,,
DefinedBenefitPlanAmountsRecognizedInOtherComprehensiveIncomeLossNetGainLossBeforeTax,,,16694000.000,-15465000.000,34126000.000,-2214000.000,245000.000
DefinedBenefitPlanAmountsRecognizedInOtherComprehensiveIncomeNetGainLossBeforeTax,,35786000.000,,,,,
DefinedBenefitPlanBenefitsPaid,,,,,2934000.000,,
DefinedBenefitPlanContributionsByEmployer,,4762000.000,5516000.000,457000.000,2739000.000,,
DefinedBenefitPlanExpectedReturnOnPlanAssets,,6870000.000,7591000.000,7916000.000,9030000.000,,
DefinedBenefitPlanInterestCost,,7348000.000,7757000.000,8016000.000,8485000.000,,
DefinedBenefitPlanNetPeriodicBenefitCost,,939000.000,1366000.000,1774000.000,816000.000,1303000.000,811000.000
DefinedBenefitPlanTargetAllocationPercentageOfAssetsDebtSecurities,,0.250,,,,,
DefinedBenefitPlanTargetAllocationPercentageOfAssetsEquitySecurities,,0.750,,,,,
Depreciation,,,82300000.000,90400000.000,105700000.000,127000000.000,140700000.000
DepreciationDepletionAndAmortization,59421000.000,82812000.000,95283000.000,,115173000.000,137360000.000,168875000.000
DilutiveSecurities,,0.000,0.000,,,,
DirectOperatingCosts,,45500000.000,44700000.000,49700000.000,58700000.000,61600000.000,71000000.000
EarningsPerShareBasic,1.700,1.830,1.900,2.200,2.770,3.070,3.290
EarningsPerShareDiluted,1.670,1.790,1.870,2.160,2.730,3.030,3.260
EffectiveIncomeTaxRateContinuingOperations,,0.380,0.381,0.382,0.384,0.383,0.377
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.350,0.350,0.350,0.350,0.350,0.350
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,0.001,0.000,0.000,,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpense,,0.002,0.002,0.002,0.002,0.002,0.001
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,0.029,0.029,0.031,0.034,0.032,0.027
EffectiveIncomeTaxRateReconciliationTaxCredits,,-0.002,0.000,-0.001,-0.002,0.001,0.001
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,,0.000,,,0.000,0.000,
EmployeeServiceShareBasedCompensationCashReceivedFromExerciseOfStockOptions,,25300000.000,,,,,
EmployeeServiceShareBasedCompensationTaxBenefitRealizedFromExerciseOfStockOptions,,9500000.000,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,8911000.000,9717000.000,24100000.000,,50142000.000,32136000.000,12827000.000
FinancingInterestExpense,,106100000.000,95100000.000,90000000.000,96600000.000,127700000.000,171400000.000
FinancingReceivableAllowanceForCreditLossesProvisions,,-36400000.000,,,,,
FinancingReceivableAllowanceForCreditLossesRecoveries,,60700000.000,,,,,
FinancingReceivableAllowanceForCreditLossesRecovery,,,60900000.000,74700000.000,85400000.000,92600000.000,108800000.000
FinancingReceivableAllowanceForCreditLossesWriteOffs,,-92700000.000,103100000.000,134300000.000,155900000.000,180600000.000,230700000.000
GainLossOnDispositionOfAssets,-1143000.000,2569000.000,-1995000.000,,-3852000.000,-13136000.000,-4169000.000
GoodwillAndIntangibleAssetImpairment,,,0.000,0.000,0.000,,
GrossProfit,1301228000.000,1378761000.000,1464362000.000,1648701000.000,1887527000.000,2018760000.000,2183294000.000
ImpactOfRestatementOnEarningsPerShareBasic,,,,0.050,,,
ImpairmentOfLongLivedAssetsToBeDisposedOf,,248000.000,-50000.000,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,613490000.000,666910000.000,701351000.000,797322000.000,969331000.000,1009944000.000,1006405000.000
IncomeTaxExpenseBenefit,232612000.000,253115000.000,,304736000.000,371973000.000,386516000.000,379435000.000
IncomeTaxExpenseBenefitContinuingOperations,,253115000.000,267067000.000,,,,
IncomeTaxesPaid,242510000.000,223806000.000,244337000.000,,346865000.000,319978000.000,371227000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-8715000.000,43138000.000,-575000.000,,51960000.000,-55187000.000,61752000.000
IncreaseDecreaseInAccountsReceivable,40538000.000,-33163000.000,5527000.000,,57767000.000,-5519000.000,20217000.000
IncreaseDecreaseInAccountsReceivableFromSecuritization,-43746000.000,0.000,0.000,,,,
IncreaseDecreaseInFinanceReceivables,,,992239000.000,,1369999000.000,1202587000.000,1209782000.000
IncreaseDecreaseInInventories,206344000.000,43115000.000,425221000.000,,445450000.000,-154845000.000,328534000.000
IncreaseDecreaseInLoansHeldForSale,,0.000,,,,,
IncreaseDecreaseInOtherCurrentAssets,,,3252000.000,,16947000.000,-15229000.000,2781000.000
IncreaseDecreaseInOtherOperatingAssets,6790000.000,6986000.000,1722000.000,,-825000.000,160000.000,-143000.000
IncreaseDecreaseInOtherOperatingLiabilities,1385000.000,-11652000.000,-3555000.000,,-78046000.000,-87107000.000,-77370000.000
IncreaseDecreaseInRestrictedCash,,,19973000.000,,34823000.000,49707000.000,36524000.000
InterestAndFeeIncomeLoansAndLeases,,448700000.000,495300000.000,548000000.000,604900000.000,682900000.000,762000000.000
InterestAndFeeIncomeOtherLoans,,0.000,,,,,
InterestExpense,3110000.000,33714000.000,32357000.000,30834000.000,24473000.000,36358000.000,56416000.000
InterestIncomeExpenseAfterProvisionForLoanLoss,,306200000.000,344000000.000,385800000.000,426000000.000,454000000.000,440000000.000
InterestIncomeExpenseNet,,342600000.000,400200000.000,458000000.000,508300000.000,555200000.000,590600000.000
InterestPaid,521000.000,33741000.000,32601000.000,,33043000.000,43526000.000,55139000.000
InterestPaidCapitalized,,,0.000,0.000,8900000.000,9200000.000,11200000.000
InterestPaidNet,,,,,,34300000.000,
InvestmentIncomeInterest,480000.000,,,,,,
LaborAndRelatedExpense,,20700000.000,21200000.000,22600000.000,25300000.000,28200000.000,30800000.000
NetCashProvidedByUsedInFinancingActivities,112253000.000,683103000.000,1040421000.000,,728579000.000,537476000.000,934733000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,112253000.000,683103000.000,1040421000.000,,728579000.000,537476000.000,934733000.000
NetCashProvidedByUsedInInvestingActivities,-72212000.000,-219402000.000,-255274000.000,,-360744000.000,-378795000.000,-465573000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-72212000.000,-219402000.000,-255274000.000,,-360744000.000,-378795000.000,-465573000.000
NetCashProvidedByUsedInOperatingActivities,-17198000.000,-62164000.000,-778441000.000,,-968130000.000,-148893000.000,-468138000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-17198000.000,-62164000.000,-778441000.000,,-968130000.000,-148893000.000,-468138000.000
NetIncomeLoss,380878000.000,413795000.000,434284000.000,492586000.000,597358000.000,623428000.000,626970000.000
NetIncomeLossAvailableToCommonStockholdersBasic,,413629000.000,434284000.000,,,,
NetIncomeLossAvailableToCommonStockholdersDiluted,,413629000.000,434284000.000,492586000.000,,,
NonoperatingIncomeExpense,,464000.000,1113000.000,-1497000.000,-3292000.000,-12559000.000,-953000.000
OperatingLeasesRentExpenseNet,,42300000.000,42800000.000,43600000.000,44600000.000,46900000.000,49400000.000
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPeriodIncreaseDecrease,2017000.000,-22246000.000,,,,,
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPortionAttributableToParent,,,,-10764000.000,20505000.000,-2750000.000,-949000.000
