,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AmortizationOfDebtDiscountPremium,,,,,,,,,221000.000
AmortizationOfFinancingCostsAndDiscounts,,,42000.000,56000.000,60000.000,66000.000,78000.000,1372000.000,340000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,2846867.000,2858080.000,,4773541.000,770200.000,756200.000
AssetRetirementObligationAccretionExpense,129000.000,138000.000,94000.000,89000.000,101000.000,104000.000,102000.000,114000.000,142000.000
BusinessCombinationBargainPurchaseGainRecognizedAmount,,,,,,,,,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-1001000.000,,,,-1766000.000,,
CostsAndExpenses,8832000.000,10580000.000,14206000.000,86199000.000,90886000.000,12177000.000,13113000.000,17117000.000,17214000.000
DepreciationDepletionAndAmortization,2991000.000,3694000.000,5653000.000,6956000.000,7135000.000,5680000.000,5365000.000,7596000.000,8467000.000
DerivativeInstrumentsGainLossRecognizedInIncomeNet,,,,5768000.000,-2045000.000,,,,
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,502000.000,2424000.000,-1524000.000,2804000.000,-5403000.000,-1443000.000,-9637000.000,7485000.000,-5004000.000
EarningsPerShareBasic,0.000,0.020,-0.100,-1.170,-1.310,0.050,-0.070,0.830,-0.070
EarningsPerShareDiluted,0.000,0.020,-0.100,-1.170,-1.310,0.050,-0.070,0.810,-0.070
ForeignCurrencyTransactionGainLossBeforeTax,1000.000,-8000.000,3000.000,-3000.000,-2000.000,0.000,-1000.000,-11000.000,-3000.000
GainOnPurchaseOfBusiness,,,,,,,,43712000.000,
GasGatheringTransportationMarketingAndProcessingCosts,1123000.000,1128000.000,1179000.000,1231000.000,1305000.000,1250000.000,1164000.000,1124000.000,1098000.000
GeneralAndAdministrativeExpense,2596000.000,3100000.000,3161000.000,3151000.000,2951000.000,2948000.000,3002000.000,4964000.000,3998000.000
ImpairmentOfOilAndGasProperties,,,,72733000.000,78054000.000,,0.000,0.000,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,-5074000.000,-72308000.000,-81473000.000,5064000.000,-2456000.000,53970000.000,-1808000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,157000.000,1402000.000,,,,,,,
IncomeTaxExpenseBenefit,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,-4633000.000,,,,-2997000.000,,
IncreaseDecreaseInAccountsReceivable,,,-5429000.000,,,,-295000.000,,
IncreaseDecreaseInCommodityContractAssetsAndLiabilities,,,0.000,,,,,,
IncreaseDecreaseInPrepaidExpense,,,-26000.000,,,,-82000.000,,
InterestCostsCapitalized,,,,461000.000,579000.000,,-369000.000,-789000.000,-1277000.000
InterestCostsIncurred,,,,434000.000,549000.000,,900000.000,2962000.000,4376000.000
InterestExpense,31000.000,24000.000,27000.000,29000.000,30000.000,184000.000,609000.000,3545000.000,3439000.000
InterestPaid,,,,,,,878000.000,,
InvestmentIncomeNet,3000.000,2000.000,2000.000,2000.000,2000.000,3000.000,3000.000,5000.000,8000.000
LeaseOperatingExpense,1875000.000,2363000.000,2416000.000,1558000.000,780000.000,1420000.000,1837000.000,2169000.000,2190000.000
LitigationSettlementExpense,,,1250000.000,0.000,0.000,0.000,1000000.000,0.000,0.000
NaturalGasProductionRevenue,,8613000.000,6911000.000,6682000.000,8906000.000,11330000.000,11233000.000,12044000.000,11396000.000
NetCashProvidedByUsedInFinancingActivities,,,35272000.000,,,,15201000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,35272000.000,,,,15201000.000,,
NetCashProvidedByUsedInInvestingActivities,,,-38770000.000,,,,-27896000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-38770000.000,,,,-27896000.000,,
NetCashProvidedByUsedInOperatingActivities,,,2497000.000,,,,10929000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,2497000.000,,,,10929000.000,,
NetIncomeLoss,157000.000,1402000.000,-5074000.000,-72308000.000,-81473000.000,5064000.000,-2456000.000,53970000.000,-1808000.000
NetIncomeLossAvailableToCommonStockholdersBasic,126000.000,1014000.000,-6310000.000,-74035000.000,-83457000.000,2934000.000,-4586000.000,51836000.000,-3942000.000
OilAndCondensateRevenue,,,1883000.000,,,,,,
OilAndGasSalesRevenue,8514000.000,9588000.000,10678000.000,11117000.000,14846000.000,18865000.000,20901000.000,23441000.000,23844000.000
OperatingIncomeLoss,184000.000,1432000.000,-5052000.000,-72278000.000,-81443000.000,5245000.000,-1849000.000,13809000.000,1626000.000
PaymentsOfFinancingCosts,,,267000.000,,,,143000.000,,
PaymentsToAcquireFurnitureAndFixtures,,,120000.000,,,,19000.000,,
PaymentsToAcquireOilAndGasProperty,,,,,,,7425000.000,,
PaymentsToAcquireOilAndGasPropertyAndEquipment,,,35494000.000,,,,33829000.000,,
ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,,,30769000.000,,,,0.000,,
ProceedsFromLinesOfCredit,,,24000000.000,,,,19000000.000,,
ProceedsFromPaymentsForOtherFinancingActivities,,,-230000.000,,,,-236000.000,,
ProductionTaxExpense,118000.000,157000.000,453000.000,481000.000,560000.000,775000.000,643000.000,1150000.000,1319000.000
RepaymentsOfLinesOfCredit,,,19000000.000,,,,2000000.000,,
Revenues,9016000.000,12012000.000,9154000.000,13921000.000,9443000.000,17422000.000,11264000.000,30926000.000,18840000.000
SalesRevenueNet,9016000.000,12012000.000,9154000.000,13921000.000,9443000.000,17422000.000,11264000.000,30926000.000,18840000.000
ShareBasedCompensation,,,892000.000,,,,823000.000,,
StockIssuedDuringPeriodSharesStockOptionsExercised,,,,0.000,0.000,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,63723093.000,63842098.000,63336437000.000,63541739.000,63601645.000,-63400042022.000,63864527.000,63813423.000,57359357.000
WeightedAverageNumberOfSharesOutstandingBasic,63134109.000,63238069.000,63336437000.000,63541739.000,63601645.000,-63400042022.000,63864527.000,62398472.000,57359357.000
WriteOffOfDeferredDebtIssuanceCost,,,,,,,,1200000.000,
