,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31
AmortizationOfDebtDiscountPremium,,,87000.000,,,,76000.000,,,,77000.000,,,,0.000,,,,
AmortizationOfFinancingCosts,,,690000.000,,,,1269000.000,,,,810000.000,,,,868000.000,,,,715000.000
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,,4833000.000,,,,4901000.000,,,,3292000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,8516000.000,,,,-5115000.000,,,,-12171000.000,,,,-5000.000,,,,15000.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,0.000,,,,,,,,41250000.000,,,,0.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,-8678000.000,,,,0.000,,,,-1580000.000,,,,0.000
ComprehensiveIncomeNetOfTax,9295000.000,6156000.000,10465000.000,6693000.000,72338000.000,11865000.000,16637000.000,9078000.000,192000.000,-39261000.000,,,,,,,,,
CostOfGoodsSold,230704000.000,255983000.000,268160000.000,227760000.000,251725000.000,449886000.000,345390000.000,276582000.000,283020000.000,393332000.000,406580000.000,330743000.000,299436000.000,243857000.000,203812000.000,151799000.000,135090000.000,150696000.000,129900000.000
CostsAndExpenses,281737000.000,309901000.000,323114000.000,276596000.000,303026000.000,513372000.000,407673000.000,338353000.000,347373000.000,458605000.000,473074000.000,402338000.000,374872000.000,322972000.000,280641000.000,231302000.000,212401000.000,240186000.000,201351000.000
CurrentStateAndLocalTaxExpenseBenefit,,,,307000.000,238000.000,,307000.000,300000.000,303000.000,-157000.000,300000.000,354000.000,300000.000,183000.000,,,,,
DeferredIncomeTaxExpenseBenefit,,,-170000.000,,,,,,,,,,,,,,,,
DepreciationDepletionAndAmortization,11309000.000,11400000.000,11095000.000,9791000.000,9966000.000,11211000.000,11893000.000,12353000.000,13698000.000,14296000.000,13992000.000,14594000.000,16743000.000,23501000.000,22717000.000,22685000.000,23335000.000,23513000.000,22048000.000
DiscontinuedOperationIntercompanyAmountsWithDiscontinuedOperationBeforeDisposalTransactionCosts,,,,,62251000.000,,,,,,,,,,,,,,
DiscontinuedOperationIntercompanyAmountsWithDiscontinuedOperationBeforeDisposalTransactionRevenue,,,,,3285000.000,,0.000,0.000,,,,,,,,,,,
ExtraordinaryItemGainOrLossNetOfTaxAttributableToReportingEntity,,,,,,,0.000,0.000,0.000,,,,,,,,,,
GainLossOnInvestments,,,,,,,,,,,,,,,-2100000.000,,,,-2500000.000
GainLossOnSaleOfPropertyPlantEquipment,,,4000.000,,,,372000.000,,,,-45000.000,,,,-12000.000,,,,84000.000
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,,,,,,,,728000.000,,
ImpairmentOfLongLivedAssetsHeldForUse,,,,,,,,,,,,,3445000.000,,,,0.000,,
IncentiveDistributionDistributionPerYear,,,,1429000.000,0.000,,,,,,,,,,,,,,
IncomeLossAttributableToParent,8770000.000,5399000.000,10529000.000,7192000.000,72401000.000,11865000.000,16637000.000,9078000.000,192000.000,-39261000.000,11795000.000,-968000.000,-26905000.000,4373000.000,17248000.000,10961000.000,3330000.000,6841000.000,15914000.000
IncomeLossFromContinuingOperations,,,,5208000.000,8798000.000,,16637000.000,9078000.000,192000.000,-39261000.000,,,,,16033000.000,10961000.000,3330000.000,6841000.000,15914000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,9000000.000,5638000.000,10626000.000,5515000.000,9036000.000,15502000.000,16944000.000,9378000.000,495000.000,-39418000.000,12095000.000,-614000.000,-26605000.000,9894000.000,16333000.000,11275000.000,3530000.000,7075000.000,15965000.000
IncomeLossFromContinuingOperationsNetOfTaxPerOutstandingLimitedPartnershipUnitDiluted,,,,,,,,,0.010,,,,,,0.340,0.190,-0.020,0.090,0.330
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipUnit,,,,0.180,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,,,,,,0.010,,,,,,0.340,0.190,-0.020,0.090,0.330
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipUnitDiluted,,,,0.180,,,,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,,1984000.000,63603000.000,,0.000,0.000,0.000,0.000,,,,,1215000.000,0.000,0.000,0.000,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerOutstandingLimitedPartnershipUnit,,,,0.070,,,,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerOutstandingLimitedPartnershipUnitBasic,,,,,,,,,0.000,,,,,,0.030,0.000,0.000,-0.010,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerOutstandingLimitedPartnershipUnitDiluted,,,,0.070,,,,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerOutstandingLimitedPartnershipUnitDiluted1,,,,,,,,,0.000,,,,,,0.030,0.000,0.000,-0.010,0.000
IncomeLossFromEquityMethodInvestments,2793000.000,1784000.000,2847000.000,-745000.000,-169000.000,-3046000.000,-374000.000,73000.000,-577000.000,-52170000.000,-296000.000,1938000.000,2655000.000,1169000.000,1740000.000,1649000.000,2363000.000,3234000.000,1677000.000
IncomeTaxExpenseBenefit,230000.000,239000.000,97000.000,307000.000,238000.000,2915000.000,307000.000,300000.000,303000.000,-157000.000,300000.000,354000.000,300000.000,183000.000,300000.000,314000.000,200000.000,234000.000,51000.000
IncreaseDecreaseInAccountsAndOtherReceivables,,,-14324000.000,,,,-56639000.000,,,,-27801000.000,,,,-39716000.000,,,,-15136000.000
IncreaseDecreaseInAccountsPayable,,,-29863000.000,,,,-24429000.000,,,,-19635000.000,,,,-46504000.000,,,,-13078000.000
