,2011-11-30,2012-02-29,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31
CashPeriodIncreaseDecrease,-2348.000,,,,-75609.000,,
CostsAndExpenses,344902.000,412111.000,513382.000,417219.000,469774.000,520416.000,397236.000
DebtConversionConvertedInstrumentWarrantsOrOptionsIssued1,,,,,400000.000,,
DebtInstrumentConvertibleInterestExpense,,,,,0.000,,
Depreciation,4631.000,,,,5538.000,,
EarningsPerShareBasicAndDiluted,-0.010,,-0.010,,-0.010,-0.010,-0.010
GeneralAndAdministrativeExpense,344902.000,412111.000,513382.000,417219.000,469774.000,520416.000,397236.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-344902.000,-412111.000,-513382.000,-417219.000,-469774.000,-520416.000,-404580.000
IncreaseDecreaseInAccountsPayable,-10398.000,,,,-13370.000,,
IncreaseDecreaseInAccruedLiabilities,3274.000,,,,5112.000,,
InterestExpenseOther,,,,,,,7344.000
NetCashProvidedByUsedInFinancingActivities,365000.000,,,,400000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,365000.000,,,,400000.000,,
NetCashProvidedByUsedInInvestingActivities,-19953.000,,,,-3115.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-19953.000,,,,-3115.000,,
NetCashProvidedByUsedInOperatingActivities,-347395.000,,,,-472494.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-347395.000,,,,-472494.000,,
NetIncomeLoss,-344902.000,-412111.000,-513382.000,-417219.000,-469774.000,,-404580.000
NonoperatingIncomeExpense,,,,,,,-7344.000
OperatingIncomeLoss,-344902.000,-412111.000,-513382.000,-417219.000,-469774.000,-520416.000,-397236.000
PaymentsToAcquirePropertyPlantAndEquipment,19953.000,,,,-3115.000,,
ProceedsFromIssuanceOrSaleOfEquity,100000.000,,,,400000.000,,
ProfitLoss,,,,,-469774.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,,,,0.000,,
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,,,,,661000.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,67646129.000
