,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,10000000.000,,,,10000000.000,,,,10000000.000,,,,9000000.000,,,,11000000.000,,,,6000000.000,,,,4000000.000,
AmortizationOfDebtDiscountPremium,,,,,,,,,6000000.000,,,,,,,,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,200000.000,100000.000,100000.000,-300000.000,200000.000,800000.000,400000.000,-1300000.000,200000.000,100000.000,,,100000.000,,,,400000.000,100000.000,100000.000,-100000.000,,100000.000
AssetImpairmentCharges,,,,,,,,,,,,,42000000.000,,,,,,,,,,,,,
BusinessCombinationAcquisitionRelatedCosts,,,,,,,,,,,,,2000000.000,12000000.000,0.000,3000000.000,14000000.000,1000000.000,0.000,0.000,0.000,0.000,0.000,0.000,,
BusinessExitCosts1,,,,,,,,,,,,,,,4000000.000,,0.000,0.000,6000000.000,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-54000000.000,,,,-92000000.000,,,,-46000000.000,,,,-422000000.000,,,,-685000000.000,,,,-460000000.000,,,,-221000000.000,
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,,,,,-30000000.000,-56000000.000,-19000000.000,90000000.000,-37000000.000,,,,21000000.000,,,,-7000000.000,,,,-17000000.000,,,,21000000.000,
ComprehensiveIncomeNetOfTax,,,,,144000000.000,93000000.000,396000000.000,-100000000.000,24000000.000,148000000.000,152000000.000,101000000.000,42000000.000,130000000.000,121000000.000,-158000000.000,-156000000.000,150000000.000,9000000.000,1000000.000,102000000.000,65000000.000,143000000.000,-60000000.000,246000000.000,221000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,24000000.000,,,,23000000.000,21000000.000,29000000.000,29000000.000,22000000.000,24000000.000,,,,,,,,,,,,
