,2011-06-30,2011-09-30,2011-12-31,2012-03-31
AccountsPayableCurrent,95478000.000,107974000.000,183151000.000,133549000.000
AccountsReceivableNetCurrent,2097000.000,3485000.000,4964000.000,2900000.000
AccruedLiabilitiesCurrent,151450000.000,145781000.000,,157579000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,1624296000.000,
AssetRetirementObligationsNoncurrent,306274000.000,308326000.000,305046000.000,289714000.000
Assets,3288785000.000,3357113000.000,3508833000.000,3502159000.000
AssetsCurrent,887567000.000,758625000.000,746461000.000,784411000.000
AssetsNoncurrent,,,1247873000.000,1223326000.000
CashAndCashEquivalentsAtCarryingValue,70139000.000,100139000.000,75093000.000,70207000.000
DefinedBenefitPensionPlanLiabilitiesNoncurrent,18627000.000,9667000.000,24843000.000,23968000.000
DueFromRelatedPartiesCurrent,627349000.000,465646000.000,473803000.000,465897000.000
DueFromRelatedPartiesNoncurrent,939175000.000,1140084000.000,1234918000.000,1206985000.000
InventoryNet,172587000.000,172767000.000,170439000.000,231789000.000
Liabilities,1314524000.000,1330950000.000,1422072000.000,1364541000.000
LiabilitiesAndStockholdersEquity,3288785000.000,3357113000.000,3508833000.000,3502159000.000
LiabilitiesCurrent,246928000.000,253755000.000,349913000.000,291128000.000
LimitedPartnersCapitalAccount,1963229000.000,2014902000.000,,2125879000.000
LongTermDebtNoncurrent,451294000.000,451133000.000,450971000.000,450809000.000
NotesPayableRelatedPartiesNoncurrent,225000000.000,225000000.000,225000000.000,225000000.000
OtherAssetsCurrent,15395000.000,16588000.000,22162000.000,13618000.000
OtherAssetsNoncurrent,13873000.000,13345000.000,12955000.000,16341000.000
OtherLiabilitiesNoncurrent,36552000.000,53062000.000,44104000.000,54301000.000
OtherOwnershipInterestsCapitalAccount,11032000.000,11261000.000,11534000.000,11739000.000
OtherPostretirementDefinedBenefitPlanLiabilitiesNoncurrent,23004000.000,23302000.000,22195000.000,22781000.000
PropertyPlantAndEquipmentGross,,,3138795000.000,
PropertyPlantAndEquipmentNet,1448170000.000,1445059000.000,1514499000.000,1494422000.000
PropertyPlantAndEquipmentOther,,,1798404000.000,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1974261000.000,2026163000.000,2086761000.000,2137618000.000
WorkersCompensationLiabilityNoncurrent,6845000.000,6705000.000,,6840000.000
