,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-12-31,2015-03-31,2015-06-30,2015-12-14,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,2144000.000,3142000.000,3376000.000,3240000.000,2272000.000,3064000.000,2023000.000,2026000.000,579000.000,1395000.000,2394000.000,2426000.000,1261000.000,1761000.000,1465000.000,,796000.000,661000.000,972000.000,514000.000,638000.000
AccountsPayableCurrentAndNoncurrent,,,,,,,2023000.000,2026000.000,,,,,,,,,,,,,
AccountsReceivableGross,,,,,,,1620000.000,343000.000,,,,,,,,,,,,,
AccountsReceivableNetCurrent,1677000.000,1500000.000,2479000.000,2365000.000,882000.000,1550000.000,1620000.000,343000.000,370000.000,1111000.000,1839000.000,2719000.000,1812000.000,1807000.000,656000.000,,871000.000,742000.000,750000.000,544000.000,603000.000
AdditionalPaidInCapitalCommonStock,158543000.000,158740000.000,159387000.000,159685000.000,159747000.000,159819000.000,182724000.000,182999000.000,183276000.000,183544000.000,183739000.000,183762000.000,184413000.000,184481000.000,184543000.000,,191760000.000,191830000.000,191863000.000,191890000.000,191917000.000
Assets,2290000.000,2774000.000,3111000.000,2659000.000,1256000.000,1638000.000,4675000.000,4093000.000,1966000.000,2758000.000,3889000.000,4887000.000,2780000.000,2248000.000,1205000.000,,6413000.000,4873000.000,4167000.000,2649000.000,1765000.000
AssetsCurrent,2258000.000,2742000.000,3079000.000,2627000.000,1224000.000,1606000.000,4643000.000,4061000.000,1935000.000,2726000.000,3857000.000,4855000.000,2748000.000,2216000.000,1173000.000,,6381000.000,4841000.000,4135000.000,2617000.000,1733000.000
CashAndCashEquivalentsAtCarryingValue,518000.000,1186000.000,390000.000,207000.000,281000.000,2000.000,1926000.000,2732000.000,869000.000,534000.000,520000.000,1272000.000,447000.000,248000.000,416000.000,,5444000.000,3756000.000,3155000.000,1895000.000,981000.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,,,,,,,,,,,,,,,,0.230,
ClassOfWarrantOrRightOutstanding,,,,,,,,17879627.000,17879627.000,17879627.000,17879627.000,17379627.000,16029627.000,16079627.000,15949627.000,,53247877.000,53197877.000,52947877.000,52947877.000,51610250.000
