,2012-05-31,2013-05-31,2014-05-31,2015-05-31,2016-05-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,4090000.000,4609000.000,5411000.000,5998000.000,3240000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,-295000.000,-1644000.000,-146000.000,0.000,
AllocatedShareBasedCompensationExpense,,4609000.000,5422000.000,500000.000,100000.000
AllocatedShareBasedCompensationExpenseNetOfTax,,3069000.000,3765000.000,,
AmortizationOfDebtDiscountPremium,707000.000,,0.000,,
AmortizationOfIntangibleAssets,9406000.000,16345000.000,16797000.000,17912000.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,2900000.000,2300000.000,2862414000.000,3277037.000
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,-15943000.000,-11222000.000,-9850000.000
BusinessExitCosts,,337000.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-22476000.000,-1706000.000,-5697000.000,2286000.000,13942000.000
CostOfGoodsSold,95829000.000,173037000.000,174594000.000,180085000.000,179574000.000
CurrentFederalTaxExpenseBenefit,,-1622000.000,-133000.000,-242000.000,34000.000
CurrentForeignTaxExpenseBenefit,,468000.000,157000.000,417000.000,217000.000
CurrentIncomeTaxExpenseBenefit,,-1206000.000,123000.000,380000.000,354000.000
CurrentStateAndLocalTaxExpenseBenefit,,-52000.000,99000.000,205000.000,103000.000
DeferredIncomeTaxExpenseBenefit,-652000.000,1175000.000,3169000.000,-5111000.000,39983000.000
DefinedContributionPlanCostRecognized,,2500000.000,2800000.000,3700000.000,3700000.000
Depreciation,,8700000.000,8000000.000,9800000.000,8200000.000
DepreciationAndAmortization,13056000.000,25224000.000,24899000.000,30492000.000,28115000.000
EarningsPerShareBasic,-0.200,-0.020,0.090,-0.090,-1.210
EarningsPerShareDiluted,-0.200,-0.020,0.090,-0.090,-1.210
EffectOfExchangeRateOnCashAndCashEquivalents,49000.000,-65000.000,86000.000,-198000.000,-42000.000
EffectiveIncomeTaxRateContinuingOperations,,0.350,0.350,0.350,0.350
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,1540000.000,1657000.000,2000000.000,1000000.000
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,14000.000,,0.000,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,1644000.000,146000.000,0.000,0.000
FairValueInputsCapRate,,,,,0.085
FairValueInputsDiscountRate,,0.135,0.120,0.120,0.125
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings1,,,0.000,0.000,0.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInOtherComprehensiveIncomeLoss,,,-16000.000,-120000.000,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetPurchasesSalesIssuancesSettlements,,,-25000.000,,-36000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersNet,,,0.000,0.000,0.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityPurchasesSalesIssuancesSettlements,,,-10880000.000,,0.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityTransfersNet,,,0.000,-11222000.000,-10100000.000
ForeignCurrencyTransactionGainLossUnrealized,172000.000,83000.000,,,
GainLossOnDispositionOfAssets,,711000.000,0.000,0.000,
GeneralAndAdministrativeExpense,18334000.000,26127000.000,26035000.000,29871000.000,29603000.000
GoodwillPeriodIncreaseDecrease,,2300000.000,,,
GoodwillSubsequentRecognitionOfDeferredTaxAsset,,,,779000.000,
GrossProfit,125958000.000,168989000.000,179861000.000,176889000.000,174316000.000
ImpairmentOfIntangibleAssetsFinitelived,,,,6400000.000,384000.000
ImpairmentOfLongLivedAssetsHeldForUse,,,,9381000.000,806000.000
ImpairmentOfLongLivedAssetsToBeDisposedOf,,,,,100000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,-2670000.000,5839000.000,-8833000.000,-4444000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,,2027000.000,541000.000,834000.000,1191000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-5282000.000,-643000.000,6380000.000,-7999000.000,-3253000.000
IncomeTaxExpenseBenefit,-188000.000,-31000.000,3292000.000,-4731000.000,40337000.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,,,40685000.000
IncomeTaxReconciliationChangeInEnactedTaxRate,,-6000.000,64000.000,80000.000,33000.000
IncomeTaxReconciliationDeductionsQualifiedProductionActivities,,,0.000,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,-225000.000,2233000.000,-2800000.000,-1139000.000
IncomeTaxReconciliationNondeductibleExpenseMealsAndEntertainment,,,,,329000.000
IncomeTaxReconciliationNondeductibleExpenseOther,,-336000.000,-384000.000,498000.000,207000.000
IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,,-108000.000,-176000.000,0.000,0.000
IncomeTaxReconciliationOtherAdjustments,,,0.000,15000.000,-89000.000
IncomeTaxReconciliationPriorYearIncomeTaxes,,10000.000,-249000.000,38000.000,356000.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,,-88000.000,-122000.000,-17000.000,-215000.000
IncomeTaxReconciliationTaxCreditsResearch,,-142000.000,-236000.000,604000.000,499000.000
IncomeTaxReconciliationTaxExemptIncome,,-2000.000,0.000,,
IncomeTaxesPaid,2832000.000,200000.000,182000.000,699000.000,332000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,6673000.000,-10039000.000,7245000.000,-5877000.000,-2956000.000
IncreaseDecreaseInAccountsReceivable,2496000.000,-1141000.000,14856000.000,-2095000.000,-3131000.000
IncreaseDecreaseInDepositOtherAssets,2500000.000,-2500000.000,0.000,0.000,
IncreaseDecreaseInInventories,1091000.000,1909000.000,5447000.000,6154000.000,-11976000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,4654000.000,-2474000.000,-3037000.000,1000000.000,-712000.000
InterestExpense,508000.000,5271000.000,3656000.000,3197000.000,3396000.000
InterestPaid,438000.000,4936000.000,3591000.000,3151000.000,3063000.000
InventoryWriteDown,,,,,5800000.000
InvestmentIncomeInterest,1090000.000,103000.000,0.000,4000.000,11000.000
LeaseAndRentalExpense,,2500000.000,2000000.000,3400000.000,2500000.000
NetCashProvidedByUsedInFinancingActivities,142338000.000,-6286000.000,-14016000.000,-10465000.000,-23663000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,142338000.000,-6286000.000,-14016000.000,-10465000.000,-23663000.000
NetCashProvidedByUsedInInvestingActivities,-176360000.000,-22238000.000,-17047000.000,-13293000.000,-7569000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-176360000.000,-22238000.000,-17047000.000,-13293000.000,-7569000.000
NetCashProvidedByUsedInOperatingActivities,11497000.000,26883000.000,25280000.000,26242000.000,45216000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,11497000.000,26883000.000,25280000.000,26242000.000,45216000.000
NetIncomeLoss,-5094000.000,-612000.000,3088000.000,-3268000.000,-43590000.000
NoncashOrPartNoncashAcquisitionNetNonmonetaryAssetsAcquiredLiabilitiesAssumed1,217000.000,1549000.000,4970000.000,140000.000,75000.000
NoncashOrPartNoncashAcquisitionValueOfAssetsAcquired1,117926000.000,,,,
OperatingExpenses,128920000.000,161895000.000,166413000.000,177883000.000,173298000.000
OperatingIncomeLoss,-2962000.000,7094000.000,13448000.000,-994000.000,1018000.000
OtherComprehensiveIncomeLossBeforeTaxPortionAttributableToParent,,-385000.000,247000.000,-235000.000,134000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,,-47000.000,295000.000,-411000.000,-112000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,-140000.000,,,,
OtherComprehensiveIncomeLossNetOfTax,,-260000.000,265000.000,-299000.000,42000.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,-872000.000,3353000.000,-3567000.000,-43548000.000
OtherComprehensiveIncomeLossTaxPortionAttributableToParent1,,-125000.000,-18000.000,64000.000,92000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodBeforeTax,,-522000.000,-32000.000,296000.000,257000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,204000.000,,,,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodBeforeTax,,184000.000,-16000.000,-120000.000,-11000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,-65000.000,,,,
OtherNoncashIncomeExpense,-1321000.000,-240000.000,17000.000,-34000.000,-90000.000
OtherNonoperatingExpense,2902000.000,2569000.000,3412000.000,3812000.000,886000.000
OtherNonoperatingIncomeExpense,-2320000.000,-7737000.000,-7068000.000,-7005000.000,-4271000.000
PaymentsForProceedsFromOtherInvestingActivities,4000000.000,-801000.000,0.000,0.000,2000000.000
PaymentsForRepurchaseOfCommonStock,2104000.000,,0.000,,
PaymentsOfDebtIssuanceCosts,2378000.000,,677000.000,0.000,0.000
PaymentsOfDividends,,0.000,0.000,,
PaymentsToAcquireBusinessTwoNetOfCashAcquired,,24474000.000,4169000.000,0.000,0.000
PaymentsToAcquireBusinessesNetOfCashAcquired,237867000.000,,,,
PaymentsToAcquireMarketableSecurities,123614000.000,5134000.000,25000.000,0.000,0.000
PaymentsToAcquirePropertyPlantAndEquipment,2492000.000,12120000.000,11771000.000,11940000.000,2326000.000
ProceedsFromIssuanceOfLongTermDebt,150000000.000,,100000000.000,15000000.000,0.000
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,3356000.000,1214000.000,2444000.000,5757000.000,2437000.000
ProceedsFromLongTermLinesOfCredit,,,46410000.000,,
ProceedsFromSaleAndMaturityOfMarketableSecurities,194113000.000,16989000.000,353000.000,0.000,25000.000
ProceedsFromStockOptionsExercised,,,,4300000.000,1300000.000
ProvisionForDoubtfulAccounts,118000.000,338000.000,465000.000,1448000.000,2377000.000
RepaymentsOfLongTermDebt,6550000.000,7500000.000,146250000.000,20000000.000,16250000.000
ResearchAndDevelopmentExpense,20511000.000,26319000.000,27510000.000,26931000.000,25053000.000
RestructuringReserveAcceleratedDepreciation,,,,800000.000,
Revenues,221787000.000,342026000.000,354455000.000,356974000.000,353890000.000
SalesRevenueNet,221787000.000,342026000.000,354455000.000,356974000.000,353890000.000
SellingAndMarketingExpense,64505000.000,76121000.000,83200000.000,80623000.000,84723000.000
ShareBasedCompensation,4090000.000,4609000.000,5411000.000,5998000.000,3240000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriod,,73479.000,109634.000,160207.000,160845.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeituresWeightedAverageGrantDateFairValue,,12.730,12.480,14.830,15.390
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,,313247.000,473824.000,242158.000,259917.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,,10.790,13.370,14.750,15.210
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriod,,111019.000,148946.000,106841.000,112396.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodWeightedAverageGrantDateFairValue,,14.240,12.620,12.330,13.810
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,,0.439,0.344,0.310,0.310
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,,0.006,0.014,0.015,0.015
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,,100000.000,1000000.000,1600000.000,100000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,,16342.000,102030.000,250779.000,132252.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,,589787.000,278646.000,261738.000,304563.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,406700.000,391175.000,561883.000,564380.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,,4.190,4.100,4.740,4.160
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,11.150,15.380,13.870,13.730
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice,,15.690,15.690,17.980,22.750
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,,17.450,17.450,14.710,13.850
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,11.400,13.010,16.140,14.220
StockIssuedDuringPeriodSharesStockOptionsExercised,,16835.000,105676.000,423804.000,145260.000
StockIssuedDuringPeriodValueAcquisitions,117926000.000,,,,
StockIssuedDuringPeriodValueEmployeeStockPurchasePlan,1202000.000,1211000.000,1360000.000,1416000.000,1471000.000
StockIssuedDuringPeriodValueShareBasedCompensation,,1000.000,1000.000,2000.000,-331000.000
StockIssuedDuringPeriodValueStockOptionsExercised,2157000.000,5000.000,1085000.000,4338000.000,1297000.000
TaxBenefitFromStockOptionsExercised1,-309000.000,,,,
TreasuryStockSharesAcquired,,,0.000,0.000,
TreasuryStockValueAcquiredCostMethod,2104000.000,,,,
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,,,,,0.000
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities,,,,,0.000
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,,,,,0.000
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,,,,,899000.000
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations,,,,,0.000
ValuationAllowanceDeferredTaxAssetChangeInAmount,,484000.000,800000.000,300000.000,40400000.000
ValuationAllowancesAndReservesChargedToCostAndExpense,,4134000.000,8161000.000,2313000.000,44433000.000
ValuationAllowancesAndReservesDeductions,,4279000.000,6878000.000,746000.000,2686000.000
WeightedAverageNumberDilutedSharesOutstandingAdjustment,,,304161.000,0.000,0.000
WeightedAverageNumberOfDilutedSharesOutstanding,25382000.000,34817279.000,35439850.000,35683139.000,36161383.000
WeightedAverageNumberOfSharesOutstandingBasic,25382000.000,34817279.000,35135689.000,35683139.000,36161383.000
