,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,369198000.000,451795000.000,468480000.000,512023000.000,518047000.000,456322000.000,554022000.000,3107000000.000,3573000000.000,3385000000.000,3544000000.000,3834000000.000,4272000000.000,4317000000.000,4694000000.000,3349000000.000,2865000000.000,3009000000.000,2477000000.000,2274000000.000,2399000000.000,2931000000.000,2951000000.000,3502000000.000,3363000000.000
AccountsReceivableNetCurrent,591990000.000,642928000.000,669955000.000,680491000.000,851628000.000,709670000.000,822109000.000,3057000000.000,3677000000.000,3318000000.000,3546000000.000,3658000000.000,4423000000.000,4439000000.000,4722000000.000,3378000000.000,2863000000.000,3186000000.000,2749000000.000,2400000000.000,2412000000.000,2944000000.000,3068000000.000,3557000000.000,3485000000.000
AccrualForEnvironmentalLossContingencies,,,,,31918000.000,39326000.000,37773000.000,212000000.000,205000000.000,200000000.000,232000000.000,403000000.000,411000000.000,400000000.000,394000000.000,401000000.000,388000000.000,383000000.000,376000000.000,368000000.000,333000000.000,365000000.000,362000000.000,385000000.000,353000000.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,,78271000.000,96007000.000,79331000.000,56068000.000,127937000.000,156238000.000,208000000.000,237000000.000,273000000.000,294000000.000,211000000.000,237000000.000,318000000.000,343000000.000,236000000.000,249000000.000,302000000.000,202000000.000,76000000.000,,,,201000000.000,
AccruedEmployeeBenefitsCurrent,,59812000.000,72117000.000,80205000.000,57428000.000,53618000.000,71929000.000,250000000.000,136000000.000,123000000.000,200000000.000,173000000.000,118000000.000,128000000.000,,233000000.000,,,,218000000.000,,,,254000000.000,
AccruedEnvironmentalLossContingenciesCurrent,,,,,8577000.000,4205000.000,4964000.000,46000000.000,41000000.000,40000000.000,40000000.000,47000000.000,72000000.000,73000000.000,73000000.000,41000000.000,48000000.000,49000000.000,49000000.000,42000000.000,40000000.000,42000000.000,49000000.000,37000000.000,32000000.000
AccruedEnvironmentalLossContingenciesNoncurrent,,,,,23341000.000,35121000.000,32809000.000,166000000.000,164000000.000,160000000.000,192000000.000,356000000.000,339000000.000,327000000.000,321000000.000,360000000.000,340000000.000,334000000.000,327000000.000,326000000.000,293000000.000,323000000.000,313000000.000,348000000.000,321000000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,1554656000.000,1687004000.000,1822675000.000,1970777000.000,1664262000.000,1843981000.000,1920506000.000,2104000000.000,2386000000.000,2661000000.000,2949000000.000,3235000000.000,3564000000.000,3930000000.000,4280000000.000,4726000000.000,5058000000.000,5494000000.000,5996000000.000,6296000000.000,6748000000.000,7277000000.000,7804000000.000,8283000000.000,8821000000.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,883000.000,-17000.000,114000.000,0.000,0.000,0.000,,1000000.000,,1000000.000,2000000.000,2000000.000,2000000.000,3000000.000,3000000.000,4000000.000,3000000.000,2000000.000,0.000,2000000.000,5000000.000,5000000.000,2000000.000,4000000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-782000.000,-356000.000,2736000.000,678000.000,6570000.000,1309000.000,-5747000.000,-12000000.000,-11000000.000,-2000000.000,1000000.000,9000000.000,6000000.000,6000000.000,5000000.000,-5000000.000,-5000000.000,-2000000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
