,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,171000.000,25000.000,105000.000,37000.000,,,0.000,,,176000.000,634000.000,419000.000,829000.000,1387000.000,1190000.000,1229000.000,1305000.000,963000.000,423000.000,321000.000,332000.000,472000.000,214000.000,148000.000
AccountsReceivableNetCurrent,,,,,,,,,,19000.000,12000.000,13000.000,0.000,6000.000,22000.000,30000.000,,10000.000,839000.000,25000.000,5000.000,0.000,0.000,
AccruedBonusesCurrent,,,,,10000.000,5000.000,0.000,,,,,,,,,,,,,,,,,
AccruedBonusesCurrentAndNoncurrent,,,,,,,,,,,207782.000,237000.000,333000.000,438000.000,200000.000,210000.000,280000.000,180000.000,81000.000,25000.000,,,,
AccruedEmployeeBenefitsCurrent,,,,,27000.000,41000.000,1000.000,9000.000,17000.000,,,,,,,,,,,,,,,
AccruedLiabilitiesCurrent,,,,,,,,,,1284000.000,703000.000,570000.000,1341000.000,981000.000,711000.000,630000.000,668000.000,634000.000,504000.000,666000.000,1384000.000,488000.000,461000.000,428000.000
AccruedSalariesCurrent,,,,,55000.000,60000.000,64000.000,50000.000,10000.000,,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,,,,,,,1000.000,10000.000,30000.000,53000.000,81000.000,324000.000,17000.000,19000.000,21000.000,24000.000
AdditionalPaidInCapital,92475000.000,92477000.000,92479000.000,92526000.000,92691000.000,92825000.000,92825000.000,92825000.000,92825000.000,33402000.000,37398000.000,41159000.000,41735000.000,42371000.000,42902000.000,43503000.000,44123000.000,44515000.000,45136000.000,45748000.000,46294000.000,46680000.000,46985000.000,47233000.000
Assets,16246000.000,,,21156000.000,20600000.000,18973000.000,18190000.000,17096000.000,16192000.000,27309000.000,25490000.000,22938000.000,20455000.000,17349000.000,16163000.000,12756000.000,10119000.000,8333000.000,8578000.000,7107000.000,13034000.000,11065000.000,25588000.000,24493000.000
AssetsCurrent,,13715000.000,13016000.000,,,,,,,27059000.000,25240000.000,22688000.000,20205000.000,17099000.000,15884000.000,12382000.000,9641000.000,7797000.000,7400000.000,6169000.000,5564000.000,3597000.000,10708000.000,9616000.000
BillingsInExcessOfCost,,,,,,,,,,,,,,,,,,904000.000,1061000.000,894000.000,1208000.000,828000.000,0.000,
BillingsInExcessOfCostCurrent,,,,,,,,,,,,,,,,,,,1061000.000,894000.000,1208000.000,828000.000,0.000,
Cash,,,,,,,,,,26580000.000,24703000.000,22134000.000,19864000.000,16522000.000,15407000.000,11598000.000,9289000.000,6866000.000,5858000.000,5704000.000,5166000.000,3271000.000,10285000.000,9183000.000
CashAndCashEquivalentsAtCarryingValue,6083000.000,9352000.000,9227000.000,20171000.000,19681000.000,3857000.000,3155000.000,2039000.000,1109000.000,26580000.000,24703000.000,22134000.000,,,,,,,,,,,,
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,,,,,,,,,3.000,3.000,,,,,,,,,,
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,,,,,,,,,,1980318.000,1980318.000,1980318.000,1980318.000,1980318.000,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,6547354.000,6547354.000,6547354.000,6552352.000,6552352.000,6552352.000,6552352.000,6552352.000,6552352.000,21134744.000,21134744.000,21134744.000,21134744.000,21134744.000,21134744.000,21134744.000,21134744.000,21134744.000,21134744.000,21134744.000,21134744.000,21134744.000,21134744.000,21134744.000
CommonStockSharesOutstanding,6203379.000,6203379.000,6194705.000,6197760.000,6197760.000,6197760.000,6197760.000,6197760.000,6197760.000,20741572.000,20741572.000,20741572.000,20741572.000,20741572.000,20741572.000,20741572.000,20741572.000,20741572.000,20741572.000,20741572.000,20741572.000,20741572.000,14999000.000,20741572.000
CommonStockValue,7000.000,7000.000,7000.000,7000.000,7000.000,7000.000,7000.000,7000.000,7000.000,21000.000,21000.000,21000.000,21000.000,21000.000,21000.000,21000.000,21000.000,21000.000,21000.000,21000.000,21000.000,21000.000,21000.000,21000.000
CostMethodInvestments,,,,,,,,,,250000.000,250000.000,250000.000,250000.000,250000.000,250000.000,250000.000,250000.000,250000.000,250000.000,250000.000,250000.000,250000.000,250000.000,250000.000
CostsInExcessOfBillingsOnUncompletedContractsOrPrograms,,,,,,,,,,,,,,,,,,83000.000,388000.000,976000.000,1360000.000,1906000.000,2080000.000,
DeferredCompensationLiabilityCurrent,2506000.000,821000.000,821000.000,821000.000,821000.000,,0.000,,,,,,,,,,,,,,,,,
DeferredRevenue,,,,,,,,,,,,,,,,,,,672000.000,,646000.000,,,
