,2011-03-31,2012-03-31,2013-03-31,2014-03-31,2015-03-31,2016-03-31,2017-03-31
AcquisitionCosts,,1468670.000,1468670.000,1468670.000,419620.000,419620.000,419620.000
AdjustmentForAmortization,68700.000,68700.000,68700.000,22066.000,5353.000,2627.000,463.000
AmortizationOfAcquisitionCosts,,,68664.000,22057.000,5353.000,2627.000,463.000
AssetImpairmentCharges,82672.000,215952.000,339689.000,1876679.000,728957.000,1052460.000,702972.000
AssetManagementCosts,7375.000,951.000,2260.000,33144.000,25600.000,6380.000,740.000
AssetManagementFees,,-163604.000,,,,,
BusinessCombinationAcquisitionRelatedCosts,,,1465803.000,136240.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,1679183.000,-2175360.000,-20535.000,-143877.000,307463.000,-10428.000,-43141.000
CostsAndExpenses,,,7208000.000,,,,
DepreciationAndAmortization,,,1970000.000,,,,
FinancingInterestExpense,,,267.000,267.000,,,
GainLossOnSaleOfBusiness,,,,,361865.000,1159711.000,0.000
GainOrLossOnSaleOfStockInSubsidiary,85349.000,,,,,,
GrossProfit,,3558.000,9164.000,5807.000,,,
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,,25000.000,25000.000,25000.000,,,
IncomeLossFromEquityMethodInvestments,-713926.000,-353492.000,-273439.000,-341021.000,-14547.000,-279147.000,-245681.000
IncomeTaxCreditsAndAdjustments,,,,,,-77961.000,0.000
IncomeTaxesPaidNet,800.000,800.000,800.000,,800.000,800.000,800.000
IncreaseDecreaseInDueToRelatedParties,-374288.000,149089.000,249862.000,404185.000,189557.000,-124091.000,197329.000
IncreaseDecreaseInOtherOperatingAssets,,,,-6500.000,-6500.000,2643.000,-2643.000
InterestExpense,,,1494000.000,,,,
InvestmentIncomeInterest,3142.000,441.000,120.000,52.000,61.000,172.000,306.000
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPMembersOrLimitedPartnersOwnershipInterest,,,1.000,1.000,,,
NetCashProvidedByUsedInFinancingActivities,,,,2126231.000,-396609.000,-1590521.000,0.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,2126231.000,-396609.000,-1590521.000,0.000
NetCashProvidedByUsedInInvestingActivities,2248640.000,-2124000.000,,-2265967.000,1194631.000,879043.000,0.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,2248640.000,-2124000.000,,-2265967.000,1194631.000,879043.000,0.000
NetCashProvidedByUsedInOperatingActivities,-569457.000,-51360.000,-20535.000,-4141.000,-490559.000,701050.000,-43141.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-569457.000,-51360.000,-20535.000,-4141.000,-490559.000,701050.000,-43141.000
NetIncomeLoss,-975118.000,-838593.000,-952225.000,-2641592.000,-2407679.000,424717.000,-1192229.000
NetIncomeLossAllocatedToGeneralPartners,-975.000,-839.000,-952.000,-2642.000,-2408.000,425.000,-1192.000
NetIncomeLossAllocatedToLimitedPartners,-974143.000,-837754.000,-951273.000,-2638950.000,-2405271.000,424292.000,-1191037.000
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasic,-46.430,-39.930,-45.360,,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,-125.840,-114.800,20.270,-57.240
OperatingCostsAndExpenses,,,3744000.000,,,,
OperatingExpenses,473810.000,489100.000,688070.000,2306430.000,2761869.000,1996307.000,951679.000
OperatingIncomeLoss,-349683.000,-485542.000,-678906.000,-2300623.000,-2755058.000,-1942059.000,-946854.000
OtherCostAndExpenseOperating,11323.000,14206.000,18417.000,55501.000,59667.000,263551.000,58164.000
OtherIncome,,,,,,1486040.000,0.000
OtherOperatingIncome,123970.000,,,,,,
PartnersCapitalAccountUnitsSoldInPublicOffering,,,,20971.000,,,
PaymentsForAdvanceToAffiliate,,,,2265967.000,1068104.000,228544.000,0.000
PaymentsForProceedsFromLimitedPartnership,427141.000,,14820.000,,,,
PaymentsOfFinancingCosts,,,772.000,772.000,,772.000,772.000
PaymentsToAcquireEquityMethodInvestments,157205.000,2124000.000,,,,,
ProceedsFromContributionsFromAffiliates,3558.000,,,,,,
ProceedsFromLimitedPartnershipInvestments,2829428.000,,,,262735.000,1117231.000,0.000
ProceedsFromRelatedPartyDebt,,,,2126231.000,917830.000,0.000,0.000
ProfessionalFees,140136.000,25687.000,80580.000,155436.000,449230.000,330768.000,118233.000
RevenueFromRelatedParties,157.000,3558.000,8948.000,4791.000,6811.000,15291.000,4825.000
Revenues,248097.000,,4443000.000,,6811.000,54248.000,4825.000
SalesRevenueNet,124127.000,,4443000.000,,6811.000,-1431792.000,4825.000
SubsidiaryOfLimitedLiabilityCompanyOrLimitedPartnershipOwnershipInterest,,1.000,,,,,
WeightedAverageLimitedPartnershipUnitsOutstanding,20981.000,20981.000,20971.000,20971.000,20951.000,20931.000,20807.000
