,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31
AccountsAndNotesReceivableNet,,,,1412302.000,0.000,0.000,0.000,0.000,,900000.000,,,
AccountsAndOtherReceivablesNetCurrent,115552.000,6432.000,9425.000,1417313.000,5856.000,3328.000,6335.000,21102.000,25966.000,925869.000,78252.000,74244.000,116859.000
AccountsPayableCurrent,597169.000,665170.000,677193.000,1193148.000,1068168.000,525400.000,183174.000,723765.000,763812.000,1079592.000,304463.000,778360.000,394369.000
AccruedBonusesCurrent,,,481429.000,624472.000,249671.000,562392.000,748444.000,816144.000,247297.000,472298.000,751183.000,723039.000,254425.000
AccruedBonusesCurrentAndNoncurrent,477350.000,281859.000,,,,,,,,,,,
AccruedIncomeTaxesNoncurrent,,,,,,,,,,,,991654.000,991654.000
AccruedLiabilitiesCurrent,1937866.000,1151440.000,1402735.000,1630809.000,1257891.000,1545943.000,2022462.000,1735420.000,1278539.000,2086308.000,2313482.000,2377713.000,2081544.000
AccruedLiabilitiesCurrentAndNoncurrent,1937866.000,1151440.000,,,,,,,,,,,
AccruedProfessionalFeesCurrent,,,15918.000,30911.000,91627.000,30000.000,60000.000,8904.000,20000.000,210677.000,61772.000,,
AccruedProfessionalFeesCurrentAndNoncurrent,120819.000,46015.000,,,,,,,,,,,
AccruedSalariesCurrent,,,277147.000,143484.000,217891.000,176836.000,213775.000,152700.000,191530.000,212351.000,246184.000,202059.000,194438.000
AccruedSalariesCurrentAndNoncurrent,446221.000,295646.000,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,1059688.000,977190.000,998869.000,1048321.000,1096057.000,1144411.000,1192930.000,1152827.000,1201755.000,1251149.000,1300890.000,1294372.000,1342719.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1133266.000,-1133266.000,-1133266.000,-1133266.000,-1133266.000,-1133266.000,-1133266.000,-1133266.000,-1133266.000,-1133266.000,-1133266.000,-1133266.000,-1133266.000
AdditionalPaidInCapital,118513671.000,155477304.000,155712593.000,155953894.000,156357472.000,157017839.000,157372043.000,171289703.000,171894582.000,172459213.000,172943931.000,175229643.000,226856737.000
Assets,10671402.000,33326443.000,30035039.000,27472750.000,22963605.000,28467356.000,23388467.000,35119103.000,35502408.000,32116920.000,26750422.000,25635184.000,69405552.000
AssetsCurrent,9312863.000,32098248.000,28826685.000,26328426.000,21834639.000,26767571.000,21767861.000,33570190.000,33958389.000,30621814.000,25306336.000,24312984.000,68546090.000
AssetsFairValueDisclosure,,29780526.000,26098700.000,22601202.000,18666718.000,22311565.000,,,,,,,
AssetsHeldForSaleCurrent,207566.000,76501.000,74086.000,74086.000,74086.000,,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,74086.000,74086.000,0.000,,,,,
CashAndCashEquivalentsAtCarryingValue,8110389.000,31079873.000,27641470.000,23589516.000,20812057.000,24924518.000,20180490.000,32413777.000,32897812.000,28481204.000,24104631.000,23253328.000,67541467.000
CertificatesOfDepositAtCarryingValue,,,,15003472.000,,,,,,,,,
ClassOfWarrantOrRightOutstanding,,4408150.000,4408150.000,4408150.000,,,,5440480.000,,,,5493149.000,5159320.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,255000000.000,255000000.000,255000000.000,255000000.000,255000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,13673160.000,26026793.000,26026793.000,26035596.000,26078532.000,26078532.000,26078532.000,33681355.000,33741872.000,33799539.000,33799539.000,34944150.000,41222270.000
CommonStockSharesOutstanding,13673160.000,26026793.000,26026793.000,26035596.000,26078532.000,26078532.000,26078532.000,33681355.000,33741872.000,33799539.000,33799539.000,34944150.000,41222270.000
CommonStockValue,13673.000,26027.000,26027.000,26036.000,26079.000,26079.000,26079.000,33681.000,33742.000,33800.000,33800.000,34944.000,41222.000
ContractualObligationDueInFourthYear,75000.000,,,,,,,,,,,,
ContractualObligationDueInNextTwelveMonths,50000.000,,,,,,,,,,,,
ContractualObligationDueInSecondYear,50000.000,,,,,,,,,,,,
ContractualObligationDueInThirdYear,50000.000,,,,,,,,,,,,
DebtAndCapitalLeaseObligations,,,,,,,,,,,,14572558.000,13275698.000
DebtInstrumentCarryingAmount,,,,,,,,,,,,,13625018.000
DeferredFinanceCostsNoncurrentNet,,,,,,,589828.000,539296.000,565675.000,549707.000,483990.000,416712.000,
DeferredRentCredit,,,23148.000,53084.000,51464.000,49844.000,47626.000,45408.000,43190.000,40971.000,38155.000,35339.000,32523.000
DeferredRevenueCurrent,615384.000,542986.000,542986.000,542986.000,542986.000,542986.000,542986.000,542986.000,452489.000,316742.000,180995.000,45249.000,0.000
DeferredRevenueNoncurrent,923078.000,859729.000,723982.000,588236.000,452489.000,316743.000,180996.000,45249.000,0.000,0.000,0.000,0.000,
DeferredTaxAssetsDeferredIncome,,,,384615.000,,,,229410.000,,,,18071.000,
DeferredTaxAssetsGross,,,,43814819.000,,,,49310014.000,,,,65037048.000,
DeferredTaxAssetsLiabilitiesNet,,,,,,,,0.000,,,,0.000,
DeferredTaxAssetsNet,,,,0.000,,,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,38619755.000,,,,43176150.000,,,,42503179.000,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,-366186.000,,,,,,,,,
DeferredTaxAssetsTaxCreditCarryforwardsOther,,,,,,,,,,,,17939199.000,
DeferredTaxAssetsTaxCreditCarryforwardsResearch,,,,3865195.000,,,,3512452.000,,,,2744381.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,529645.000,,,,1094135.000,,,,306733.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,,287272.000,,,,440342.000,,,,76972.000,
DeferredTaxAssetsValuationAllowance,,,,43814819.000,,,,49310014.000,,,,65037048.000,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,,,,,267909.000,,,,205821.000,
DerivativeFairValueOfDerivativeLiability,,,7473108.000,,,,,,,,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,114579366.000,125346140.000,129023552.000,132465370.000,136742871.000,,,,,,,,
GrantsReceivable,,,,0.000,,,,,,,,,
InterestPayableCurrent,,,,,,,83339.000,83958.000,86667.000,121875.000,121875.000,123867.000,114319.000
LettersOfCreditOutstandingAmount,250000.000,,,,,,,,,,,,
Liabilities,6773497.000,3219325.000,3370044.000,4008263.000,3372998.000,13007576.000,13054300.000,13214045.000,17703393.000,18734742.000,18093817.000,19104271.000,16774590.000
LiabilitiesAndStockholdersEquity,10671402.000,33326443.000,30035039.000,27472750.000,22963605.000,28467356.000,23388467.000,35119103.000,35502408.000,32116920.000,26750422.000,25635184.000,69405552.000
LiabilitiesCurrent,4350419.000,2359596.000,2622914.000,3366943.000,2869045.000,2896582.000,2748622.000,3287132.000,4221399.000,6537391.000,7215399.000,8579456.000,2912603.000
LoansPayable,,,,,,10000000.000,10000000.000,10000000.000,15000000.000,15000000.000,15000000.000,14572558.000,13275698.000
LoansPayableCurrent,1200000.000,,,0.000,,,,284961.000,,,,,
LongTermDebt,,,,,,10026660.000,10077056.000,10121217.000,15165363.000,15211129.000,15256722.000,14875956.000,13274500.000
LongTermDebtCurrent,,,,,,282253.000,,284961.000,1726559.000,3054749.000,4416459.000,5378134.000,436690.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,,,,,,,,,,,,5378134.000,436690.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,,,,,,,,,,,,3835107.000,10827684.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,,,,,,,,,,,,5951817.000,2603824.000
LongTermDebtNoncurrent,,,,,,9744407.000,10077056.000,9836256.000,13438804.000,12156380.000,10840263.000,9497822.000,12837810.000
LongTermLoansPayable,1500000.000,,,0.000,,,,9836256.000,13438804.000,12156380.000,10840263.000,9497822.000,12837810.000
MaterialsSuppliesAndOther,440000.000,358359.000,530391.000,468389.000,484320.000,879056.000,541468.000,458278.000,442012.000,433270.000,419376.000,414904.000,407043.000
MoneyMarketFundsAtCarryingValue,,,,7597730.000,,,,29500819.000,,,,22162678.000,17194140.000
OperatingLeasesFutureMinimumPaymentsDue,,,,808085.000,,,,627792.000,,,,545751.000,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,205613.000,,,,232932.000,,,,257249.000,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,,72372.000,,,,,,,,,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,,143550.000,,,,72372.000,,,,,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,177678.000,,,,145475.000,,,,72372.000,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,,208872.000,,,,177013.000,,,,216130.000,
OtherAccountsPayableAndAccruedLiabilities,31176.000,25676.000,77845.000,195445.000,126332.000,145692.000,276688.000,40319.000,145903.000,353503.000,113868.000,124884.000,208510.000
OtherAssetsMiscellaneousNoncurrent,,,,,,,22352.000,5205.000,4922.000,5181.000,59260.000,43998.000,
OtherAssetsNoncurrent,161102.000,30588.000,30838.000,5745.000,35687.000,653299.000,612180.000,544501.000,570597.000,554888.000,543250.000,460710.000,43024.000
OtherLiabilities,,,,,,,,,,,,1026993.000,1024177.000
OtherLiabilitiesNoncurrent,,,,,,,,,,,,1026993.000,1024177.000
OtherReceivables,19642.000,6432.000,9425.000,5011.000,5856.000,3328.000,6335.000,21102.000,,25869.000,,,
OtherReceivablesNetCurrent,115552.000,6432.000,,,,,,,,,,,
PreferredStockParOrStatedValuePerShare,,,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,,,,,,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000
PreferredStockValue,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseCurrentAndNoncurrent,99979.000,289031.000,282452.000,491465.000,172075.000,599021.000,679681.000,482472.000,400926.000,589345.000,513995.000,421491.000,329800.000
PropertyPlantAndEquipmentGross,2257125.000,2174797.000,2176385.000,2186900.000,2189336.000,2190897.000,2201356.000,2157239.000,2175177.000,2191367.000,2201726.000,2155862.000,2159157.000
PropertyPlantAndEquipmentNet,1197437.000,1197607.000,1177516.000,1138579.000,1093279.000,1046486.000,1008426.000,1004412.000,973422.000,940218.000,900836.000,861490.000,816438.000
RestrictedCashAndCashEquivalentsAtCarryingValue,339377.000,288052.000,288861.000,287657.000,286245.000,287562.000,285801.000,194561.000,191673.000,192126.000,190082.000,149017.000,150921.000
RestrictedInvestments,,,,,,,,,,,,120000.000,120000.000
RetainedEarningsAccumulatedDeficit,,,,,,-141534065.000,-147013882.000,-149368253.000,-154079236.000,-159060762.000,-164271053.000,-168683601.000,-174216924.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedWeightedAverageGrantDateFairValue,,,,4146515.000,,,,4011363.000,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,,,,680279.000,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,,739985.000,798531.000,768049.000,716371.000,1094447.000,1193556.000,1352056.000,1558473.000,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,,2.520,2.520,2.510,2.510,2.720,2.750,2.820,2.870,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,,,,,,,,9801.000,99045.000,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,2270526.000,2350748.000,2578252.000,2920547.000,3004547.000,3019813.000,3005287.000,3544787.000,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,2.920,2.910,2.980,3.020,3.020,3.010,3.020,2.980,,,,
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfExercisableOptions,,,,768049.000,,,,1352056.000,,,,1860211.000,
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfOutstandingOptions,,,,2578252.000,,,,3005287.000,,,,3944571.000,
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,,,,,,,,9771.000,97485.000,,,,
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedNumberOfShares,,,,1810203.000,,,,1653231.000,,,,2084360.000,
SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeExercisableOptionsWeightedAverageExercisePrice1,,,,2.510,,,,2.820,,,,2.980,
SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeOutstandingOptionsWeightedAverageExercisePriceBeginningBalance1,,,,2.980,,,,3.020,,,,2.900,
StockholdersEquity,3897905.000,30107118.000,26664995.000,23464487.000,19590607.000,15459780.000,10334167.000,21905058.000,17799015.000,13382178.000,8656605.000,6530913.000,52630962.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,3897905.000,30107118.000,26664995.000,23464487.000,19590607.000,15459780.000,10334167.000,21905058.000,17799015.000,13382178.000,8656605.000,6530913.000,52630962.000
UnamortizedDebtIssuanceExpense,,,,,,647498.000,,,,,,,350518.000
ValueAddedTaxReceivable,95910.000,,,0.000,,,,,,,,,
WarrantsAndRightsOutstanding,1083193.000,1083193.000,1083193.000,1083193.000,1083193.000,1083193.000,1083193.000,1083193.000,1083193.000,1083193.000,1083193.000,1083193.000,1083193.000
