,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31
CapitalExpendituresIncurredButNotYetPaid,,,3000000.000,,,,1000000.000,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-5000000.000,,,,9000000.000,,,,-34000000.000,,,,3000000.000,,,
ComprehensiveIncomeNetOfTax,,,18000000.000,-55000000.000,15000000.000,-96000000.000,3000000.000,-9000000.000,10000000.000,-5000000.000,-1000000.000,37000000.000,4000000.000,9000000.000,-25000000.000,5000000.000,,
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,1000000.000,,,,,,,,,,,0.000,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,18000000.000,-55000000.000,16000000.000,-96000000.000,3000000.000,-9000000.000,10000000.000,-5000000.000,-1000000.000,37000000.000,4000000.000,9000000.000,-25000000.000,5000000.000,-27000000.000,-21000000.000
CostOfGoodsSold,454000000.000,445000000.000,287000000.000,284000000.000,287000000.000,267000000.000,291000000.000,301000000.000,308000000.000,143000000.000,255000000.000,271000000.000,274000000.000,256000000.000,236000000.000,,,
CostOfRevenue,,,,,,,,,,,,,,,,182000000.000,176000000.000,
DeferredIncomeTaxExpenseBenefit,,,,,,,,,,,,,,,-7000000.000,,,
DepreciationDepletionAndAmortization,,,6000000.000,5000000.000,6000000.000,7000000.000,6000000.000,6000000.000,5000000.000,5000000.000,5000000.000,,,,6000000.000,,,
DerivativeGainLossOnDerivativeNet,,,,-1000000.000,2000000.000,,,,,,1000000.000,-2000000.000,,,,,,
DerivativeInstrumentsGainLossReclassificationFromAccumulatedOCIToIncomeEstimatedNetAmountToBeTransferred,,,,,,,,,,,,0.000,0.000,,,,,
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,,,,,,,,,,,,,,1000000.000,1000000.000,1000000.000,-1000000.000
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,,,,,,,,,,,,,,,-4000000.000,2000000.000,-4000000.000,10000000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,-66000000.000,,,,,,,,,,,,,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,24000000.000,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,170000000.000,,,,,,,,,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,,,1000000.000,,,,,,,,-3000000.000,,,,-4000000.000,,,
EffectiveIncomeTaxRateContinuingOperations,,,,,,,,,,,,,,,,0.560,0.500,
EnvironmentalExitCostsAnticipatedCost,,,,,,,,,,,,,,,4000000.000,,,
GainLossOnFairValueHedgesRecognizedInEarnings,,,,,,,,,,,,,,,2000000.000,,,
GainLossOnForeignCurrencyFairValueHedgeDerivatives,,,,,,,,,,,,,,,,,2000000.000,
GainsLossesOnExtinguishmentOfDebt,,,,-1000000.000,,,,-15000000.000,,,,,,,,,,
GrossProfit,108000000.000,112000000.000,77000000.000,89000000.000,88000000.000,74000000.000,82000000.000,95000000.000,93000000.000,48000000.000,76000000.000,94000000.000,90000000.000,80000000.000,67000000.000,60000000.000,62000000.000,26000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,12000000.000,26000000.000,15000000.000,20000000.000,24000000.000,10000000.000,18000000.000,,20000000.000,,2000000.000,26000000.000,27000000.000,17000000.000,11000000.000,9000000.000,8000000.000,-7000000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,10000000.000,19000000.000,11000000.000,10000000.000,15000000.000,-14000000.000,10000000.000,-1000000.000,9000000.000,-13000000.000,-2000000.000,14000000.000,17000000.000,24000000.000,5000000.000,4000000.000,4000000.000,-12000000.000
IncomeLossFromDiscontinuedOperationsNetOfTax,,,-5000000.000,-42000000.000,-10000000.000,-67000000.000,-4000000.000,,,,1000000.000,21000000.000,6000000.000,1000000.000,,-4000000.000,-37000000.000,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,,-42000000.000,,,,,,,,,,,,,,
IncomeLossFromEquityMethodInvestments,,,1000000.000,-1000000.000,1000000.000,0.000,,,-2000000.000,,,,,,,,,
IncomeTaxExpenseBenefit,2000000.000,7000000.000,5000000.000,9000000.000,10000000.000,24000000.000,8000000.000,1000000.000,9000000.000,4000000.000,4000000.000,12000000.000,10000000.000,-7000000.000,6000000.000,5000000.000,4000000.000,5000000.000
IncomeTaxesPaid,,,5000000.000,,,,3000000.000,,,,,,,,,,,
IncreaseDecreaseInAccountsReceivable,,,8000000.000,,,,44000000.000,,,,56000000.000,,,,11000000.000,,,
IncreaseDecreaseInDeferredIncomeTaxes,,,,,,,,,,,4000000.000,,,,,,,
IncreaseDecreaseInInventories,,,-8000000.000,,,,-2000000.000,,,,8000000.000,,,,24000000.000,,,
IncreaseDecreaseInOtherCurrentAssets,,,-19000000.000,,,,1000000.000,,,,-6000000.000,,,,-14000000.000,,,
IncreaseDecreaseInOtherCurrentLiabilities,,,27000000.000,,,,45000000.000,,,,29000000.000,,,,22000000.000,,,
IncreaseDecreaseInOtherOperatingCapitalNet,,,-2000000.000,,,,2000000.000,,,,-1000000.000,,,,-3000000.000,,,
IncreaseDecreaseInRestrictedCash,,,-2000000.000,,,,,,,,,,,,,,,
InterestExpense,17000000.000,17000000.000,16000000.000,16000000.000,16000000.000,15000000.000,15000000.000,28000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,11000000.000,13000000.000,13000000.000,14000000.000,15000000.000
InterestPaid,,,12000000.000,,,,10000000.000,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,-60000000.000,,,,,,,,-9000000.000,,,,3000000.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-60000000.000,,,,,,,,-9000000.000,,,,3000000.000,,,
NetCashProvidedByUsedInInvestingActivities,,,-3000000.000,,,,-4000000.000,,,,-1000000.000,,,,-5000000.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-3000000.000,,,,-4000000.000,,,,-1000000.000,,,,-5000000.000,,,
NetCashProvidedByUsedInOperatingActivities,,,57000000.000,,,,13000000.000,,,,-21000000.000,,,,9000000.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,57000000.000,,,,13000000.000,,,,-21000000.000,,,,9000000.000,,,
NetIncomeLoss,10000000.000,19000000.000,6000000.000,-32000000.000,4000000.000,-81000000.000,6000000.000,-1000000.000,9000000.000,-4000000.000,-1000000.000,35000000.000,23000000.000,25000000.000,5000000.000,0.000,,
NetIncomeLossAttributableToNoncontrollingInterest,,,,,1000000.000,,,,,,,,,,,0.000,,
OperatingIncomeLoss,30000000.000,45000000.000,31000000.000,37000000.000,38000000.000,25000000.000,34000000.000,44000000.000,36000000.000,4000000.000,25000000.000,43000000.000,42000000.000,31000000.000,24000000.000,23000000.000,26000000.000,10000000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,,,12000000.000,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossBeforeReclassificationsNetOfTax,,,,,,,,-8000000.000,,,2000000.000,,-20000000.000,,-31000000.000,6000000.000,5000000.000,
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,,,,,,,,6000000.000,-1000000.000,,,,,,,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,-23000000.000,11000000.000,,-3000000.000,-14000000.000,2000000.000,-4000000.000,2000000.000,5000000.000,-20000000.000,-15000000.000,-28000000.000,4000000.000,9000000.000,22000000.000
OtherComprehensiveIncomeLossNetOfTax,,,,-23000000.000,11000000.000,,-3000000.000,-8000000.000,1000000.000,-1000000.000,,2000000.000,-19000000.000,,-30000000.000,5000000.000,6000000.000,23000000.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,,,12000000.000,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,,,,,,,,,,,,,,,-1000000.000,1000000.000,0.000,2000000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,,,,,,,,,,,-2000000.000,-3000000.000,1000000.000,-4000000.000,-3000000.000,1000000.000,0.000,
OtherNonoperatingIncomeExpense,-1000000.000,-2000000.000,,,2000000.000,,-1000000.000,-1000000.000,-1000000.000,2000000.000,-8000000.000,-2000000.000,,,,-1000000.000,-4000000.000,
PaymentsForRestructuring,,,,,,,,,,,,,,,1000000.000,,,
PaymentsOfFinancingCosts,,,,,,,,,,,1000000.000,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,5000000.000,6000000.000,8000000.000,8000000.000,4000000.000,6000000.000,8000000.000,13000000.000,5000000.000,,,,5000000.000,,,
ProceedsFromOtherDebt,,,,,,,,,,,,,,,4000000.000,,,
ProceedsFromPaymentsForOtherFinancingActivities,,,,,,,,,,,,,,,-1000000.000,,,
ProceedsFromRepaymentsOfLinesOfCredit,,,-50000000.000,,,,,,,,,,,,,,,
ProceedsFromRepaymentsOfShortTermDebt,,,-10000000.000,,,,,,,,,,,,,,,
ProceedsFromSaleOfEquityMethodInvestments,,,,,,,,,,,4000000.000,,,,,,,
ProceedsFromStockOptionsExercised,,,,,,,,,,,,,,,,,1000000.000,
ProfitLoss,10000000.000,19000000.000,6000000.000,-32000000.000,5000000.000,-81000000.000,6000000.000,-1000000.000,9000000.000,-4000000.000,-1000000.000,35000000.000,23000000.000,25000000.000,5000000.000,0.000,-33000000.000,-44000000.000
ReclassificationFromAccumulatedOtherComprehensiveIncomeCurrentPeriodNetOfTax,,,,,,,,,-1000000.000,,,,-1000000.000,,-1000000.000,1000000.000,-1000000.000,
RepaymentsOfDebt,,,,,,,,,,,8000000.000,,,,,,,
RestructuringReserveSettledWithoutCash1,,,,,,,,,,,2000000.000,,,,,,,
Revenues,562000000.000,557000000.000,364000000.000,373000000.000,375000000.000,341000000.000,373000000.000,396000000.000,401000000.000,191000000.000,331000000.000,365000000.000,364000000.000,336000000.000,303000000.000,242000000.000,238000000.000,116000000.000
SalesRevenueNet,562000000.000,557000000.000,364000000.000,373000000.000,375000000.000,341000000.000,373000000.000,396000000.000,401000000.000,191000000.000,331000000.000,365000000.000,364000000.000,336000000.000,303000000.000,242000000.000,238000000.000,116000000.000
SellingGeneralAndAdministrativeExpense,78000000.000,70000000.000,46000000.000,52000000.000,50000000.000,49000000.000,48000000.000,51000000.000,57000000.000,44000000.000,51000000.000,51000000.000,48000000.000,49000000.000,43000000.000,37000000.000,36000000.000,16000000.000
ShareBasedCompensation,,,,,,,1000000.000,,,,,,,,1000000.000,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,,,,,,,134.000,,,,,,,,,,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,,,,,,,,,,,,,,,,62.870,
StockIssuedDuringPeriodSharesStockOptionsExercised,,,,,,,3000.000,,,,,,,,,,12383.000,
