,2011-10-31,2012-01-31,2012-04-30,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31
AccountsPayableCurrent,35348.000,37208.000,143872.000,478399.000,762663.000,547693.000,876197.000,1201255.000,1181510.000,523542.000,751400.000,1489614.000,2492900.000,3253092.000,3403140.000,2830233.000,3527083.000,3635442.000,3057769.000,254846.000
AccountsPayableRelatedPartiesCurrent,,,,,2258.000,2258.000,,,,,,,,2480206.000,,,,,,
AccountsReceivableNetCurrent,30531.000,34782.000,87075.000,387271.000,415721.000,858599.000,1629165.000,2661906.000,1085947.000,1476563.000,1672270.000,1971165.000,1154252.000,1732247.000,1354598.000,1117458.000,1415559.000,1436015.000,129614.000,
AccountsReceivableRelatedPartiesCurrent,,,,,,,,,,,,,,810498.000,,,,,,
AccruedLiabilitiesCurrent,10084.000,,,13397.000,92586.000,103428.000,53253.000,137352.000,123856.000,106711.000,419657.000,381812.000,477229.000,266727.000,153310.000,261502.000,497431.000,936457.000,1196654.000,783536.000
AccruedRoyaltiesCurrent,,,,,,,,162245.000,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,8113.000,,,,40534.000,,,,155906.000,,,,303135.000,,,
AdditionalPaidInCapitalCommonStock,4207323.000,4708487.000,5183641.000,6307687.000,7081011.000,9606020.000,13904488.000,13386283.000,16514630.000,20143919.000,20736366.000,23328742.000,23825294.000,24348867.000,24615831.000,24952442.000,25691579.000,26459125.000,26962259.000,27897174.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,,,,,,,,100000.000,100000.000,98866.000,93359.000,71168.000,78760.000,78760.000,78760.000
Assets,2265937.000,1832849.000,1518902.000,1442252.000,1447616.000,1812633.000,6155612.000,6832418.000,4754667.000,5425091.000,4268649.000,3822343.000,2957360.000,3110720.000,2383995.000,2115496.000,2489481.000,2389776.000,995817.000,688309.000
AssetsCurrent,1491532.000,1056946.000,730223.000,623228.000,678754.000,1097742.000,5388754.000,5964867.000,3506069.000,4193856.000,3063068.000,2625436.000,1817792.000,1973227.000,1457924.000,1229119.000,1684751.000,1639239.000,373284.000,682709.000
AssetsOfDisposalGroupIncludingDiscontinuedOperation,,,,,,,,,,,,,,,,,,,,664432.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,,,,,,,,,,,,,,664432.000
BankOverdrafts,,,,,8931.000,,,,,,,,,,,,,,,
Cash,,835878.000,448557.000,,,63722.000,410061.000,806414.000,857122.000,2418177.000,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,1294934.000,,,9061.000,,,,,,,1147404.000,516873.000,443189.000,72031.000,51035.000,59743.000,231021.000,193002.000,137561.000,10277.000
CashEquivalentsAtCarryingValue,,,,,,0.000,,,,,,,,72031.000,51035.000,59743.000,,193002.000,,
ClassOfWarrantOrRightNumberOfSecuritiesCalledByEachWarrantOrRight,,,,,,,,,,1.000,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,5112861525.000,5112861525.000,5112861525.000,5112861525.000,5112861525.000,5112861525.000,5112861525.000,5112861525.000,5112861525.000,5112861525.000,5112861525.000,5112861525.000,5112861525.000,5112861525.000,5112861525.000,5112861525.000,5112861525.000,5112861525.000,5112861525.000,5112861525.000
CommonStockSharesIssued,76744150.000,76744150.000,76744150.000,77656604.000,79373546.000,86793357.000,95722901.000,95388136.000,103165953.000,114548177.000,114917821.000,123986472.000,124691748.000,125545910.000,125545910.000,125698127.000,126455312.000,130134439.000,130473328.000,230567965.000
CommonStockSharesOutstanding,76744150.000,76744150.000,76744150.000,77656604.000,79373546.000,86793357.000,95722901.000,95388136.000,103165953.000,114548177.000,114917821.000,123986472.000,124691748.000,125545910.000,125545910.000,125698127.000,126455312.000,130134439.000,130473328.000,230567965.000
CommonStockValue,76745.000,76744.000,76744.000,77658.000,79377.000,86797.000,97959.000,95388.000,103166.000,114390.000,114760.000,123986.000,124692.000,125546.000,125546.000,125698.000,126455.000,130134.000,130473.000,230568.000
ConvertibleDebt,,,,,,,,,,,,,,,,,1613666.000,,,
ConvertibleDebtCurrent,,,,,,,,,,,,,,,,699439.000,1029558.000,928971.000,1243972.000,961378.000
ConvertibleLongTermNotesPayable,,,,,,,,,,,,,,,,,,250363.000,231404.000,231404.000
ConvertibleNotesPayable,,,,,,,,,,,,,,,,,,,1475376.000,1400127.000
DebtInstrumentCarryingAmount,,,,,,,,,,,,,,,,,,1899856.000,3317329.000,1451950.000
DebtInstrumentFaceAmount,,,,,,,,,,,,,,,,,,3740311.000,2735311.000,
DebtInstrumentUnamortizedDiscount,,,,59850.000,29925.000,0.000,0.000,0.000,0.000,,,,,,,765084.000,584108.000,-835832.000,-580934.000,231455.000
DebtInstrumentUnusedBorrowingCapacityAmount,,,,,,,,,,,,,,,,,,1815051.000,,
DeferredFinanceCostsNoncurrentNet,,,,67448.000,43490.000,,,,,,,,,,,,,,,
DeferredTaxAssetsCharitableContributionCarryforwards,,,,,,,,,,,,,,,,,52414.000,,,
DeferredTaxAssetsGross,,,,,,,,,,,,,,,,,9628029.000,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,1512000.000,,,,3644967.000,,,,6851965.000,,,,6821077.000,,,
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,,,,1568956.000,,,,,,,,,,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwardsSubjectToExpiration,,,,1760614.000,,,,,,,,,,,,,,,,
