,2011-04-30,2011-07-31,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-05-03,2013-08-02,2013-11-01,2014-01-31,2014-05-02,2014-08-01,2014-10-31,2015-01-30,2015-04-03,2015-07-03,2015-10-02,2016-04-01,2016-07-01,2016-09-30,2016-12-30,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,25000000.000,,,,24000000.000,,,,24000000.000,,,,11000000.000,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,-11000000.000,,,,-12000000.000,,,,-10000000.000,,,,-5000000.000,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,,,,,,,,,14000000.000,,,,,,,,,,,9000000.000,,
AmortizationOfFinancingCosts,,,,,,,,,,,,,,,,,,,,,,3000000.000,,
AmortizationOfIntangibleAssets,,,,,,9000000.000,13000000.000,,13000000.000,12000000.000,8000000.000,3000000.000,6000000.000,5000000.000,3000000.000,1000000.000,2000000.000,3000000.000,2000000.000,,,27000000.000,,69000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,2000000.000,,,,,,,,,,,,,,,
AssetImpairmentCharges,,,,,,,,,,,,,,,,,40000000.000,29000000.000,4000000.000,0.000,0.000,0.000,4000000.000,
CapitalLeaseObligationsIncurred,,,,,,,,,,,,,,,,,,,,,,,,6000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-85000000.000,,,,-425000000.000,,,,-173000000.000,,,,-247000000.000,,,,-82000000.000,,,-47000000.000,,,,-170000000.000
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,1000000.000,,,,1000000.000,,,,,,,,,,,,,,,,,,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,,,,,,,0.000,,,,6000000.000,,,-1000000.000,,,,0.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,-6000000.000,,,,,,,,-17000000.000,,,,4000000.000,,,,13000000.000,,,0.000,,,,
CommonStockDividendsPerShareCashPaid,,,,,0.120,0.120,0.120,0.120,0.120,,,,0.320,,,,,,,,,,,
CommonStockDividendsPerShareDeclared,,,,,,,,,1.120,0.120,0.320,0.040,0.320,0.320,0.320,0.320,0.320,0.320,0.320,0.320,0.320,13.960,-13.320,0.320
ComprehensiveIncomeNetOfTax,,,,,,,,,,,,,,,,,,,,,,89000000.000,,84000000.000
