,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31
AccountsPayableCurrent,938532.000,1200368.000,2276409.000,1364419.000,485580.000,537308.000,684871.000,298281.000,332977.000,285517.000,825753.000,392752.000,494181.000,1353267.000
AccountsReceivableNetCurrent,1188482.000,1277880.000,1615485.000,1458365.000,1963629.000,1224712.000,1371889.000,1207247.000,1016308.000,1326277.000,1409490.000,1398190.000,1544074.000,1491572.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,-397348.000,413799.000,430479.000,445846.000,-461903.000,464254.000,491144.000,505570.000,519918.000,532335.000,544752.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,-139713.000,-182392.000,-71613.000,-64730.000,-37443.000,-2992500.000,-4829009.000,-68940.000,1349.000,-96367.000,9953.000,-51526.000,-197110.000,-277180.000
AdditionalPaidInCapital,130843520.000,131109089.000,151532498.000,151564888.000,151834366.000,151834366.000,168337535.000,168773335.000,168773335.000,168773335.000,168773335.000,172096571.000,174326301.000,174698111.000
AssetRetirementObligation,,,,1198179.000,1240115.000,1238445.000,1259661.000,1263584.000,1275475.000,1299802.000,1291625.000,1291066.000,1299372.000,1266015.000
Assets,66772787.000,63557577.000,81191335.000,76119889.000,71300969.000,71563211.000,74171179.000,68787786.000,67037202.000,64413432.000,61690323.000,62319045.000,61590806.000,58197289.000
AssetsCurrent,12508228.000,9274682.000,27006131.000,22058955.000,15815893.000,16249029.000,18916783.000,13638710.000,11979849.000,9437239.000,6765426.000,7438993.000,7043909.000,8966388.000
AssetsNoncurrent,54264559.000,54282895.000,54185204.000,54060934.000,55485076.000,55314182.000,55254396.000,55149076.000,55057353.000,54976193.000,54924897.000,54880052.000,54546897.000,49230901.000
AvailableForSaleSecuritiesCurrent,,,,0.000,,4500000.000,2640000.000,450000.000,604743.000,496152.000,622438.000,560099.000,6334.000,5151.000
AvailableForSaleSecuritiesFairValueDisclosure,,,,0.000,,4500000.000,2640000.000,450000.000,604743.000,496152.000,622438.000,,,
AvailableForSaleSecuritiesGrossUnrealizedLosses1,-96372.000,,,,,,,,,,,,,
Cash,2102394.000,2353438.000,13584103.000,3125789.000,3724759.000,1696862.000,1696862.000,6487859.000,4706958.000,2096296.000,1696862.000,3003567.000,2295127.000,6530568.000
CashAndCashEquivalentsAtCarryingValue,10495650.000,7234561.000,16142608.000,12500708.000,9978595.000,9795796.000,14303077.000,11524051.000,9513802.000,6899680.000,4197045.000,5107691.000,4892782.000,7062141.000
CashAndCashEquivalentsFairValueDisclosure,,,,12500708.000,9978595.000,9795796.000,14303077.000,11524051.000,9513802.000,6899680.000,4197045.000,5107691.000,4892782.000,7062141.000
CashEquivalentsAtCarryingValue,,,,9374919.000,6253836.000,8098934.000,12606215.000,5036192.000,4806844.000,4803384.000,2500183.000,2104124.000,2597655.000,531573.000
CommonStockParOrStatedValuePerShare,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,,,,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,,,,147412603.000,147546184.000,147546184.000,155531068.000,155731068.000,155731068.000,155731068.000,155731068.000,159170859.000,161547969.000,162027422.000
CommonStockSharesOutstanding,,,,147412603.000,147546184.000,147546184.000,155531068.000,155731068.000,155731068.000,155731068.000,155731068.000,159170859.000,161547969.000,162027422.000
CommonStockValue,136787.000,136887.000,147363.000,147413.000,147547.000,147547.000,155532.000,155732.000,155732.000,155732.000,155732.000,159209.000,161447.000,161820.000
DeferredTaxAssetsCapitalLossCarryforwards,,,,,,,,0.000,,,,,,
DeferredTaxAssetsGross,,,,,,,,27151760.000,,,,32239269.000,,
DeferredTaxAssetsNet,,,,0.000,,,,0.000,,,,0.000,,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,,,-14590.000,,,,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,,,,319942.000,,,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsContingencies,,,,,,,,429619.000,,,,,,
DeferredTaxAssetsUnrealizedLossesOnAvailableforSaleSecuritiesGross,,,,,,,,1377000.000,,,,,,
DeferredTaxAssetsValuationAllowance,,,,-23504986.000,,,,27151760.000,,,,32239269.000,,
Liabilities,13450897.000,12025114.000,13348705.000,,,,,,,,,,,
LiabilitiesAndStockholdersEquity,66772787.000,63557577.000,81191335.000,76119889.000,71300969.000,71563211.000,74171179.000,68787786.000,67037202.000,64413432.000,61690323.000,62319045.000,61590806.000,58197289.000
LiabilitiesCurrent,12280805.000,10826909.000,12131262.000,12111206.000,12764487.000,10280919.000,684871.000,298281.000,332977.000,285517.000,825753.000,392752.000,494181.000,1353267.000
LiabilitiesNoncurrent,,,,13309385.000,14004602.000,11519364.000,1944632.000,1561865.000,1608452.000,1585319.000,2117378.000,1683818.000,1793553.000,2619282.000
MarketableSecurities,,,,,,,,,,,,560099.000,6334.000,5151.000
