,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
AccountsPayableCurrent,6316.000,59632.000,52289.000,52622.000,53976.000,54179.000,50339.000,50484.000,50485.000,55045.000,36805.000,15914.000
AccountsReceivableNetCurrent,,,18.000,,3470.000,3300.000,3300.000,3294.000,3294.000,3294.000,3294.000,3294.000
AssetRetirementObligation,,,,,,,114454.000,29988.000,30168.000,30352.000,25963.000,16114.000
AssetRetirementObligationCurrent,,,,,,,81713.000,13874.000,14054.000,14238.000,9849.000,16114.000
AssetRetirementObligationsNoncurrent,320930.000,117580.000,119260.000,130940.000,132866.000,134826.000,32741.000,16114.000,16114.000,16114.000,16114.000,
Assets,1324700.000,897731.000,755741.000,704465.000,426117.000,253285.000,252330.000,212356.000,192247.000,145503.000,74026.000,43565.000
AssetsCurrent,283662.000,326967.000,255148.000,262041.000,218977.000,166555.000,203504.000,179595.000,167860.000,124368.000,70726.000,41965.000
CapitalizedCostsProvedProperties,,,,,,,13246115.000,,,,12939857.000,
CashAndCashEquivalentsAtCarryingValue,78649.000,131988.000,124643.000,164997.000,162882.000,163255.000,159415.000,164566.000,164566.000,121074.000,67432.000,38671.000
DueFromAffiliateCurrent,205013.000,194979.000,130487.000,97044.000,52625.000,,40789.000,11735.000,,,,
DueToAffiliateCurrent,,,,,,5356.000,,,13706.000,127.000,25407.000,43843.000
GasImbalancePayableCurrentAndNoncurrent,,,,,,,0.000,,,,,
GeneralPartnersCapitalAccount,,,,,,,,,,59979.000,-14149.000,-32306.000
GeneralPartnersCapitalAccountUnitsOutstanding,,,,,48.620,48.620,,48.620,48.620,48.620,,48.620
LiabilitiesAndStockholdersEquity,1324700.000,897731.000,755741.000,704465.000,426117.000,253285.000,252330.000,212356.000,192247.000,145503.000,74026.000,43565.000
LiabilitiesCurrent,6316.000,59632.000,52289.000,52622.000,53976.000,59535.000,132052.000,64358.000,78245.000,69410.000,72061.000,75871.000
LiabilitiesNoncurrent,320930.000,117580.000,119260.000,130940.000,132866.000,134826.000,32741.000,16114.000,16114.000,16114.000,16114.000,
LiabilityForUncertainTaxPositionsCurrent,,,,,,,0.000,,,,,
LimitedPartnersCapitalAccount,854047.000,579064.000,457284.000,418710.000,158391.000,,,33711.000,4235.000,0.000,0.000,
LimitedPartnersCapitalAccountUnitsOutstanding,,,,,923.783,923.783,,923.783,923.783,923.783,,923.784
OilAndGasPropertyFullCostMethodNet,1041038.000,570764.000,500593.000,442424.000,207140.000,86730.000,48826.000,32761.000,24387.000,21135.000,3300.000,1600.000
PartnersCapital,997454.000,720519.000,584192.000,520903.000,239275.000,58924.000,87537.000,131884.000,97888.000,59979.000,-14149.000,-32306.000
PartnersCapitalAccountUnits,,,972.404,,972.403,972.403,972.404,972.403,972.403,972.403,972.404,972.404
StandardizedMeasureOfDiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReserves,,,,,,,55310.000,,,,3300.000,
