,2011-04-03,2011-07-03,2011-10-02,2012-01-01,2012-04-01,2012-07-01,2012-09-30,2012-12-30,2013-03-31,2013-06-30,2013-09-29,2013-12-29,2014-03-30,2014-06-29,2014-09-28
CommonStockSharesAuthorized,,,,2900000.000,,,,,,,,,,,
CommonStockSharesHeldInEmployeeTrustShares,278082.000,314653.000,314653.000,277189.000,277189.000,370650.000,370650.000,316923.000,314334.000,340314.000,340314.000,293816.000,291180.000,329089.000,315932.000
CommonStockSharesIssued,165996475.000,161437040.000,158656910.000,157814980.000,156103918.000,155188401.000,154491861.000,153404839.000,153404839.000,151319384.000,149122408.000,141329010.000,136273708.000,133126058.000,132576171.000
EquityMethodInvestmentOwnershipPercentage,,0.500,,,,,,,,,,,,,
LongtermDebtWeightedAverageInterestRate,,,,,,,,0.062,,,,0.054,,,
NotionalAmountOfForeignCurrencyDerivativePurchaseContracts,,,,176400000.000,,,,,,,,,,,
NumberOfRestaurants,,,,4014.000,4042.000,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,1060000.000,1338000.000,1210000.000,1487757.000,,,,,,,,,,,
SharesIssued,,,,,155827.000,,,,,,,,,,
SharesOutstanding,,,,,,154817.000,154121.000,,,,,,,,
