,2011-06-30,2011-09-30,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccretionExpense,,,,,,,,,,,,,,,,24425.000,,,,314673.000
AdvertisingExpense,,,,0.000,,,,,,,,,,,,,,,,
AmortizationOfDebtDiscountPremium,,,,,,,,,,,,44809.000,,,,,,,,
CashPeriodIncreaseDecrease,,,,-29.000,,,,-172633.000,,,,-325437.000,,,,-429310.000,,,,-120531.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,,,,,-2948.000,,,,,,,,
CostOfGoodsSold,-578.000,-725.000,-451.000,604.000,410.000,42.000,572.000,2179.000,1122.000,1549.000,,,,,,,,,,
CostOfRevenue,,,,,,,,2179.000,1122.000,1549.000,,,,,,34398.000,8923.000,,,
DebtConversionConvertedInstrumentWarrantsOrOptionsIssued1,,,,,,,,,,,,,,,,,,,,24072371.000
Depreciation,,,,,85.000,85.000,,,,,,,,,,9971.000,10812.000,10933.000,10918.000,9301.000
DepreciationDepletionAndAmortization,85.000,85.000,85.000,-85.000,85.000,,,-1716.000,-2273.000,-2420.000,-405.000,-3186.000,3393.000,3553.000,9979.000,,,,,
DerivativeGainLossOnDerivativeNet,,,,,,,,,,,,,,,,,,,,223767.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,,,5951.000,3177.000,,,,,,
DisposalGroupIncludingDiscontinuedOperationCostsOfGoodsSold,,,,,,,,,,,,,6582.000,4702.000,,,,,,
DisposalGroupIncludingDiscontinuedOperationGeneralAndAdministrativeExpense,,,,,,,,,,,,,1359.000,1054.000,,,,,,
DisposalGroupIncludingDiscontinuedOperationGrossProfitLoss,,,,,,,,,,,,,7310.000,4231.000,,,,,,
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,,,,,,,,,,,,,-1359.000,-1054.000,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,,,,,,,,13892.000,8933.000,,,,,,
EarningsPerShareBasicAndDiluted,,,0.000,0.000,,,,-0.010,-0.010,-0.010,-0.020,-0.020,0.000,-0.010,-0.200,-0.020,-0.170,-0.030,-0.010,-0.040
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,,,,,,,,,,,,,,0.500,,,,
GainLossOnDispositionOfAssets1,,,,,,,,,,,,,,,,,,10000.000,,
GeneralAndAdministrativeExpense,7507.000,5329.000,8715.000,16323.000,9597.000,6832.000,56662.000,78699.000,54688.000,49770.000,97794.000,99978.000,41932.000,135157.000,30698.000,209837.000,338020.000,233033.000,273674.000,383738.000
GrossProfit,4345.000,4938.000,4573.000,6786.000,4911.000,516.000,-58.000,4206.000,3374.000,5133.000,,,,,,86310.000,55009.000,16389.000,22898.000,41842.000
IncomeLossFromContinuingOperations,,,-4273.000,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,,,-30719.000,-122645.000,,-651690.000,-5396882.000,-1039366.000,-303969.000,-1557673.000
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,,,,,,,,,,,,-186486.000,,,,,,,,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,,,-30719.000,-122645.000,,,,,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,,,,,,,,-0.020,0.000,-0.010,-0.210,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,,,,,,2948.000,5951.000,3177.000,1544.000,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,,,,,,,,,,0.000,0.000,0.000,0.010,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,,,,,,,,,,,5989.000,,,,-43231.000
IncreaseDecreaseInAccountsPayableTrade,,,,-2686.000,,,,-2547.000,,,,22531.000,,,,,,,,
IncreaseDecreaseInAccountsReceivable,,,,,,,,704.000,,,,,,,,,,,,
IncreaseDecreaseInAccruedInterestReceivableNet,,,,,,,,,,,,88.000,,,,,,,,
IncreaseDecreaseInCustomerAdvancesAndDeposits,,,,,,,,,,,,,,,,-11330.000,,,,
IncreaseDecreaseInDeposits,,,,,,,,,,,,-500.000,,,,,,,,
IncreaseDecreaseInInventories,,,,604.000,,,,1418.000,,,,,,,,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,,,,-2875.000,,,,,,,,,,,,
IncreaseDecreaseInPrepaidExpense,,,,,,,,,,,,,,,,10000.000,,,,-10000.000
InterestExpense,,,486.000,523.000,620.000,592.000,-3470.000,,,-7977.000,,-76912.000,,,,33154.000,4380434.000,116729.000,-820166.000,642755.000
InterestPaid,,,,,,,,,,,,34489.000,,,,,,,,3534.000
InventoryWriteDown,,,,,,,,,,,,,,,,0.000,,,,0.000
InvestmentIncomeNet,,,,,,,,,,296.000,,281.000,,85.000,,,,,,
LineOfCreditFacilityInterestRateDuringPeriod,,,,,,,,,,,,,,,,0.045,,,,
NetCashProvidedByUsedInFinancingActivities,,,,4710.000,,,,13000.000,,,,-98999.000,,,,198833.000,,,,801820.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,4710.000,,,,13000.000,,,,-98999.000,,,,198833.000,,,,801820.000
NetCashProvidedByUsedInInvestingActivities,,,,,,,,-117229.000,,,,-83616.000,,,,-43957.000,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,,-117229.000,,,,-83616.000,,,,-43957.000,,,,
NetCashProvidedByUsedInOperatingActivities,,,,-4739.000,,,,-68404.000,,,,-142822.000,,,,-584186.000,,,,-922351.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,,-4739.000,,,,-68404.000,,,,-139874.000,,,,-584186.000,,,,-922351.000
NetIncomeLoss,-3323.000,-547.000,-4759.000,-10210.000,-5435.000,-6999.000,-57584.000,-76256.000,-53613.000,-54665.000,-193506.000,-183538.000,-24768.000,-119468.000,-15165.000,-651690.000,-5396882.000,-1039366.000,-303969.000,-1557673.000
OperatingExpenses,7668.000,5485.000,8846.000,16473.000,9726.000,6923.000,57526.000,80462.000,56987.000,52117.000,128199.000,120952.000,45325.000,138710.000,34305.000,704846.000,1071457.000,949026.000,1147033.000,1069853.000
OperatingIncomeLoss,,,,,,,,-76256.000,-53613.000,-46984.000,-129500.000,-109855.000,-31719.000,-122730.000,-16735.000,-618536.000,-1016448.000,-932637.000,-1124135.000,-1028011.000
OtherIncome,,,,,,,,,,,,,1000.000,,,,,,,
OtherNonoperatingIncomeExpense,,,,523.000,,,,,,-7681.000,,-76631.000,1000.000,85.000,26.000,-33154.000,-4380434.000,-106729.000,820166.000,-529662.000
OtherThanTemporaryImpairmentLossesInvestmentsAvailableforsaleSecurities,,,,,,,,,,,,17788.000,,,,,,,,
PaymentsForDeposits,,,,,,,,,,,,-5000.000,,,,,,,,
PaymentsForLoans,,,,,,,,,,,,-6200.000,,,,,,,,
PaymentsForProceedsFromDepositOnLoan,,,,,,,,,,,,,,,,1415.000,,,,
PaymentsForProceedsFromInvestments,,,,,,,,,,,,30000.000,,,,,,,,
PaymentsOfDebtIssuanceCosts,,,,,,,,,,,,,,,,,,,,129203.000
PaymentsOfLoanCosts,,,,,,,,,,,,,,,,,,,,75559.000
PaymentsToAcquirePropertyPlantAndEquipment,,,,,,,,117229.000,,,,72416.000,,,,43957.000,,,,
ProceedsFromContributedCapital,,,,-2095.000,,,,,,,,,,,,,,,,
ProceedsFromIssuanceOfCommercialPaper,,,,,,,,,,,,,,,,106000.000,,,,926585.000
ProceedsFromIssuanceOfCommonStock,,,,,,,,12000.000,,,,,,,,,,,,
ProceedsFromIssuanceOfConvertiblePreferredStock,,,,,,,,1000.000,,,,,,,,,,,,
ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,,,,,,,,,,,,,,,,94248.000,,,,
ProceedsFromRelatedPartyDebt,,,,5670.000,,,,,,,,,,,,,,,,90000.000
ProfessionalFees,,,,,,,,,,,,,,,,109118.000,405889.000,289367.000,546543.000,140005.000
RepaymentsOfConvertibleDebt,,,,,,,,,,,,-98999.000,,,,,,,,
RepaymentsOfLinesOfCredit,,,,,,,,,,,,,,,,,,,,19206.000
RepaymentsOfRelatedPartyDebt,,,,960.000,,,,,,,,,,,,,,,,120000.000
Revenues,,,,,,,,6385.000,4496.000,6682.000,-6151.000,11097.000,14606.000,15980.000,17570.000,120708.000,63932.000,16389.000,22898.000,41842.000
RoyaltyExpense,76.000,71.000,46.000,65.000,44.000,6.000,250.000,47.000,26.000,-73.000,,,,,,,,,,
SalariesAndWages,,,,,,,,,,,,,,,,337442.000,309823.000,263372.000,223533.000,359134.000
SalesRevenueGoodsNet,4923.000,5663.000,5024.000,7390.000,5321.000,558.000,514.000,6385.000,4496.000,6682.000,-6151.000,11097.000,13606.000,15980.000,17570.000,,,,,
SalesRevenueNet,,,,,,,,6385.000,4496.000,6682.000,-6151.000,11097.000,13606.000,15980.000,17570.000,120708.000,63932.000,16389.000,22898.000,41842.000
ShareBasedCompensation,,,,,,,,,,,,,,,,48449.000,17725.000,163254.000,234075.000,186977.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,,,,,,,,,,,,,,,,,,,,0.000
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,,,,,,,,,,,,,,,0.350,,,,
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeLowerRangeLimit,,,,,,,,,,,,,,,,0.350,,,,
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeUpperRangeLimit,,,,,,,,,,,,,,,,0.400,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,2634000.000,2634000.000,,,,,,,,,,,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,2634.000,2634000.000,2634000.000,2960000.000,-4189481.000,8030625.000,8030625.000,8030625.000,-16061250.000,8030625.000,8321655.000,8322568.000,-23168922.000,29879099.000,31682537.000,32359841.000,-61875328.000,36462497.000
WeightedAverageNumberOfSharesOutstandingBasic,2634000.000,2634000.000,,,,,,,,,,,,,,,,,,
