,2011-12-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AccountsAndNotesReceivableNet,,,,,,,,,,,,,-5000.000,,,,
AccountsPayableAndAccruedLiabilitiesCurrent,486199.000,591548.000,487485.000,506600.000,889202.000,610393.000,468543.000,748707.000,624763.000,483706.000,537319.000,703021.000,630178.000,338073.000,466220.000,507897.000,130167.000
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,,,,,,,,,,,,5000.000,5000.000,5000.000,,
AccountsPayableAndOtherAccruedLiabilities,,,,,,,,,,,,,,,24029.000,,
AccountsReceivableNetCurrent,177502.000,143270.000,188915.000,145675.000,325228.000,189682.000,156626.000,289726.000,246631.000,120299.000,300214.000,259948.000,147168.000,92464.000,157926.000,130862.000,
AccruedIncomeTaxesCurrent,,,,,,9852.000,9525.000,9875.000,,-1315.000,4674.000,6612.000,10070.000,1655.000,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,45217.000,719.000,-486.000,-23803.000,-15425.000,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,-9303.000,-9101.000,-8807.000,-9378.000,-7691.000,-5995.000,-5911.000,-7575.000,-20013.000,-18725.000,-23737.000,-18286.000
AdditionalPaidInCapital,,,,,,,,,,,,1459703.000,1605244.000,1660415.000,1791888.000,1824136.000,1855519.000
AdditionalPaidInCapitalCommonStock,403243.000,403243.000,403243.000,403243.000,413203.000,403243.000,403243.000,1110803.000,1260503.000,1459703.000,1459703.000,,,,,,
AgriculturalRelatedInventory,,,,,,,,,,,,,,555.000,1352.000,1665.000,1651.000
AgriculturalRelatedInventoryFeedAndSupplies,,,,,,,,,,,,,,2945.000,2785.000,9336.000,10501.000
AgriculturalRelatedInventoryGrowingCrops,,,,,,,,,,,,,,132168.000,257579.000,348454.000,390354.000
AgriculturalRelatedInventoryPlantMaterial,,,,,,,,,,,,,,24658.000,,,
Assets,843815.000,967712.000,889480.000,874586.000,1315737.000,928312.000,1174705.000,1766590.000,1846307.000,1663237.000,1698218.000,1866562.000,1882911.000,1429141.000,1752152.000,1592262.000,887006.000
AssetsCurrent,563187.000,687931.000,611302.000,596534.000,1037470.000,649066.000,895459.000,1487199.000,1565561.000,1385257.000,1420238.000,1588582.000,1598016.000,930025.000,1058694.000,714764.000,113839.000
AssetsNet,,,,,,,,,,,,,,,,,-299678.000
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,,,,,,,,,,114000.000,114000.000,114000.000
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,,,,,,,,,114000.000,114000.000,114000.000
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,,,,,,,,,114000.000,114000.000,114000.000
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,,,,,,,,,114000.000,114000.000,114000.000
CapitalLeasesFutureMinimumPaymentsDueThereafter,,,,,,,,,,,,,,,912000.000,912000.000,912000.000
Cash,383454.000,541799.000,418498.000,447096.000,708247.000,,,,,,,,,442542.000,366204.000,106915.000,24847.000
CashAndCashEquivalentsAtCarryingValue,383454.000,541799.000,418498.000,447096.000,708247.000,426088.000,709971.000,1157631.000,1289014.000,1236137.000,1095206.000,1304572.000,1357472.000,758355.000,677221.000,405822.000,32008.000
CashCashEquivalentsAndShortTermInvestments,,,,,,,,,,,,,,,15502.000,,
CashEquivalentsAtCarryingValue,,,418498.000,,,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
CommonStockSharesAuthorized,500000000.000,500000000.000,500000000.000,500000000.000,100000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,,500000000.000,500000000.000
CommonStockSharesIssued,24785000.000,24785000.000,24785000.000,24785000.000,24985000.000,24785000.000,24785000.000,36985000.000,38485000.000,42485000.000,42485000.000,42485000.000,43585000.000,43585000.000,,45585000.000,45585000.000
CommonStockSharesOutstanding,24785000.000,24785000.000,,,24985000.000,24785000.000,24785000.000,36985000.000,38485000.000,42485000.000,42485000.000,42485000.000,43585000.000,43585000.000,,45585000.000,45585000.000
CommonStockSharesSubscriptions,,,,,,10000.000,,,,,,,,,,,
CommonStockValue,4957.000,,,,,,,,,,,8497.000,8717.000,8717.000,9117.000,9117.000,9117.000
CommonStockValueOutstanding,,,,,4997.000,4957.000,4957.000,7397.000,7697.000,8497.000,8497.000,,,,,,
ConstructionInProgressGross,,,,,,,,,,,,,,12884.000,86159.000,94696.000,226508.000
CreditCardReceivables,,,,,,4782.000,,9880.000,,1669.000,919.000,896.000,3860.000,30693.000,,,
DeferredIncomeTaxAssetsNet,,,,,,,,,,,,,,109000.000,,,
DeferredIncomeTaxesAndOtherAssetsCurrent,,,,,,,,,,,,,,159000.000,,,
