,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentForAmortization,29700000.000,,,,48600000.000,,,,,,,,,,,,,,,,,,,,
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,-14700000.000,,,,,,,,,,,,,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,,,,,,,,,,,,,,,,,10400000.000,,12300000.000,9700000.000,9800000.000,10000000.000,13100000.000
AmortizationOfDeferredHedgeGains,,6800000.000,6400000.000,,-1900000.000,,,,,,,,,,,,,,,,,,,,
AmortizationOfIntangibleAssets,,,,,,,,,47500000.000,,,,50900000.000,,,,47400000.000,,,,48100000.000,,,,47800000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,7800000.000,8200000.000,26400000.000,-25300000.000,20500000.000,24100000.000,22900000.000,-44200000.000,25500000.000,26300000.000,15700000.000,-46300000.000,18400000.000,16300000.000,14200000.000,-33400000.000,8900000.000,1500000.000,7100000.000,-11500000.000,5900000.000,3300000.000,2400000.000,-8200000.000,2500000.000
AssetsFairValueAdjustment,,,,,,,,,,,,,,,,,,,,,,,,,0.000
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,200000.000,3500000.000,700000.000,-2600000.000,2800000.000,100000.000,600000.000,-700000.000,-900000.000,-2600000.000,-200000.000,,,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedGains,-7800000.000,,,,,,,,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLoss,2500000.000,,,,,,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,58400000.000,,,,25000000.000,,,,-359400000.000,,,,-379100000.000,,,,-27900000.000,,,,-155900000.000,,,,445800000.000
CommonStockDividendsPerShareDeclared,0.070,0.080,0.080,,0.100,0.100,0.100,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.155,0.155,0.155,0.155,0.160,0.160,0.160,0.160,0.175
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,301500000.000,,233300000.000,296700000.000,252000000.000,209800000.000,230900000.000,194000000.000,187400000.000,169700000.000,202000000.000,201300000.000,285700000.000,213500000.000,244700000.000,143900000.000,229500000.000,194700000.000,150500000.000,219700000.000,205000000.000,-340900000.000,150700000.000
CostOfServices,745400000.000,764200000.000,800000000.000,792400000.000,783000000.000,797500000.000,796300000.000,817400000.000,759400000.000,811700000.000,818200000.000,845700000.000,797200000.000,827800000.000,840500000.000,831900000.000,771800000.000,799400000.000,817200000.000,811000000.000,779400000.000,821900000.000,822900000.000,845800000.000,800500000.000
CostsAndExpenses,970100000.000,1015600000.000,1047800000.000,1072900000.000,1060900000.000,1079200000.000,1056000000.000,1138700000.000,1028500000.000,1109100000.000,1113500000.000,1183500000.000,1078800000.000,1127300000.000,1126800000.000,1133800000.000,1048600000.000,1132800000.000,1094700000.000,1098200000.000,1039100000.000,1115400000.000,1099500000.000,1685200000.000,1062900000.000
DefinedBenefitPlanAmortizationOfGainsLosses,-2000000.000,-2100000.000,-2000000.000,-2000000.000,-2600000.000,-2700000.000,-2600000.000,-2600000.000,-3100000.000,-3100000.000,-3100000.000,-3100000.000,-2600000.000,-2600000.000,-2600000.000,-2600000.000,-2900000.000,-2800000.000,-2900000.000,,,,,,
DefinedBenefitPlanContributionsByEmployer,,,,,9000000.000,,,,7000000.000,,,,3000000.000,,,,,,,,,,,,
DefinedBenefitPlanExpectedReturnOnPlanAssets,5300000.000,5400000.000,5300000.000,5300000.000,5200000.000,5200000.000,5200000.000,5200000.000,5200000.000,5200000.000,5200000.000,5100000.000,5100000.000,5000000.000,5100000.000,5000000.000,5100000.000,5100000.000,5100000.000,,,,,,
DefinedBenefitPlanInterestCost,4500000.000,4500000.000,4500000.000,4400000.000,3700000.000,3600000.000,3700000.000,3700000.000,3000000.000,3100000.000,3000000.000,3000000.000,3400000.000,3400000.000,3400000.000,3400000.000,2900000.000,3000000.000,2900000.000,,,,,,
DefinedBenefitPlanNetPeriodicBenefitCost,1200000.000,1200000.000,1200000.000,1100000.000,1100000.000,1100000.000,1100000.000,1100000.000,900000.000,1000000.000,900000.000,1000000.000,900000.000,1000000.000,900000.000,1000000.000,700000.000,700000.000,700000.000,700000.000,,,,,
Depreciation,15000000.000,,,,15300000.000,,,,15400000.000,,,,16300000.000,,,,16500000.000,,,,17500000.000,,,,18600000.000
DerivativeInstrumentsGainLossRecognizedInIncomeIneffectivePortionAndAmountExcludedFromEffectivenessTestingNet,1900000.000,-1300000.000,-5300000.000,18700000.000,1600000.000,-700000.000,100000.000,-500000.000,500000.000,-200000.000,-900000.000,-700000.000,-600000.000,-2000000.000,500000.000,-100000.000,1000000.000,0.000,,,,,,,
DividendsCommonStockCash,44700000.000,50300000.000,,,61600000.000,60700000.000,59900000.000,72000000.000,70300000.000,69300000.000,69000000.000,68600000.000,67600000.000,66800000.000,65500000.000,65300000.000,80500000.000,79500000.000,78500000.000,78000000.000,79300000.000,78100000.000,77700000.000,77100000.000,83300000.000
EarningsPerShareBasic,0.320,0.420,0.380,0.730,0.400,0.440,0.450,0.410,0.370,0.360,0.390,0.310,0.370,0.360,0.440,0.430,0.390,0.370,0.460,0.410,0.370,0.420,0.450,-0.720,0.340
EarningsPerShareDiluted,0.320,0.410,0.380,0.730,0.400,0.440,0.450,0.400,0.370,0.360,0.390,0.310,0.370,0.360,0.440,0.420,0.390,0.360,0.450,0.420,0.370,0.420,0.440,-0.720,0.330
EffectiveIncomeTaxRateContinuingOperations,0.235,0.211,0.236,-0.596,0.148,0.125,0.168,-0.319,0.153,0.145,0.148,-0.307,0.107,0.165,0.142,-0.294,0.123,0.085,0.125,-0.223,0.146,0.076,0.096,-0.059,0.241
GainLossOnDiscontinuationOfForeignCurrencyCashFlowHedgeDueToForecastedTransactionProbableOfNotOccurringNet,,,,,,,,,,,,,,,,,,,,,0.000,,,,0.000
GainLossOnForeignCurrencyDerivativeInstrumentsNotDesignatedAsHedgingInstruments,,,,,-14600000.000,15600000.000,-6200000.000,-4800000.000,8400000.000,5600000.000,-16500000.000,-2100000.000,-1600000.000,,,,,,,,,,,,
GainLossOnOilAndGasHedgingActivity,,,,,,,,,,,,,,,,,,,1400000.000,,500000.000,1400000.000,300000.000,2300000.000,2600000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,,,,,,,232600000.000,206900000.000,265400000.000,236900000.000,217500000.000,222500000.000,240000000.000,-338300000.000,213100000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,274700000.000,333400000.000,313900000.000,352600000.000,290100000.000,310100000.000,323800000.000,244800000.000,250200000.000,232200000.000,251700000.000,192800000.000,227400000.000,232100000.000,272800000.000,,,,,,,,,,
IncomeTaxExpenseBenefit,64500000.000,70200000.000,74200000.000,-99700000.000,42800000.000,38900000.000,54300000.000,6900000.000,38200000.000,33600000.000,37300000.000,19400000.000,24400000.000,38300000.000,38700000.000,14400000.000,28700000.000,17600000.000,33100000.000,24600000.000,31800000.000,16900000.000,23100000.000,16700000.000,51400000.000
IncomeTaxesPaid,24600000.000,,,,89500000.000,,,,29600000.000,,,,25900000.000,,,,10600000.000,,,,14300000.000,,,,13100000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-20200000.000,,,,-35700000.000,,,,-36100000.000,,,,-65100000.000,,,,-34100000.000,,,,-51000000.000,,,,-192700000.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,41000000.000,,,,-40100000.000,,,,7300000.000,,,,10000000.000,,,,20600000.000,,,,14100000.000,,,,-5200000.000
IncreaseDecreaseInOtherOperatingAssets,11500000.000,,,,10100000.000,,,,10400000.000,,,,12000000.000,,,,56900000.000,,,,36900000.000,,,,20400000.000
IncreaseDecreaseInOtherOperatingLiabilities,-5400000.000,,,,-11900000.000,,,,-7700000.000,,,,-1000000.000,,,,-2500000.000,,,,-1500000.000,,,,500000.000
InterestExpenseDebt,43400000.000,44200000.000,46700000.000,47600000.000,44400000.000,45100000.000,44600000.000,45500000.000,48900000.000,48000000.000,48800000.000,49900000.000,47600000.000,43400000.000,43200000.000,42400000.000,41800000.000,43100000.000,42200000.000,40800000.000,40500000.000,41000000.000,41400000.000,29600000.000,31300000.000
InterestPaid,23600000.000,,,,23100000.000,,,,16000000.000,,,,14200000.000,,,,9600000.000,,,,9500000.000,,,,13700000.000
InvestmentIncomeInterest,1200000.000,1300000.000,1100000.000,1600000.000,1500000.000,1200000.000,1400000.000,1400000.000,400000.000,,,,,,,,,,,,,,,,
InvestmentIncomeNet,,,,,,,,,,700000.000,4600000.000,,4700000.000,2900000.000,1800000.000,2100000.000,2900000.000,2500000.000,3000000.000,2500000.000,900000.000,700000.000,1100000.000,800000.000,1100000.000
LossContingencyAccrualProvision,,,,,,,,,,,,,,,,,,,,,,,15000000.000,,
NetCashProvidedByUsedInFinancingActivities,-171300000.000,,,,-114200000.000,,,,-558800000.000,,,,-620300000.000,,,,-195300000.000,,,,-305300000.000,,,,410100000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-171300000.000,,,,-114200000.000,,,,-558800000.000,,,,-620300000.000,,,,-195300000.000,,,,-305300000.000,,,,410100000.000
NetCashProvidedByUsedInInvestingActivities,-21900000.000,,,,-75800000.000,,,,-37900000.000,,,,44400000.000,,,,-44400000.000,,,,-63300000.000,,,,-50600000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-21900000.000,,,,-75800000.000,,,,-37900000.000,,,,44400000.000,,,,-44400000.000,,,,-63300000.000,,,,-50600000.000
NetCashProvidedByUsedInOperatingActivities,251600000.000,,,,215000000.000,,,,237300000.000,,,,196800000.000,,,,211800000.000,,,,212700000.000,,,,86300000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,251600000.000,,,,215000000.000,,,,237300000.000,,,,196800000.000,,,,211800000.000,,,,212700000.000,,,,86300000.000
NonoperatingIncomeExpense,-38200000.000,-17300000.000,-49100000.000,-5800000.000,-42400000.000,-35800000.000,-41800000.000,-41200000.000,-46700000.000,-44600000.000,-43600000.000,-45600000.000,-44600000.000,-46200000.000,-41300000.000,-40200000.000,-39700000.000,-43900000.000,-39100000.000,-44900000.000,-41100000.000,-37800000.000,-38300000.000,-24800000.000,-26400000.000
OperatingIncomeLoss,312900000.000,350700000.000,363000000.000,358400000.000,332500000.000,345900000.000,365600000.000,286000000.000,296900000.000,276800000.000,295300000.000,238400000.000,272000000.000,278300000.000,314100000.000,276100000.000,272300000.000,250800000.000,304500000.000,281800000.000,258600000.000,260300000.000,278300000.000,-313500000.000,239500000.000
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPeriodIncreaseDecrease,1300000.000,1100000.000,1200000.000,-16100000.000,1600000.000,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,3500000.000,-1700000.000,10800000.000,-14600000.000,2800000.000,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,,,,,,,,,-2600000.000,-2800000.000,,-7000000.000,,,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossBeforeReclassificationAndTax,4500000.000,-2100000.000,12800000.000,-18900000.000,3300000.000,-2900000.000,-2200000.000,-2800000.000,-2300000.000,-4000000.000,-4300000.000,-7100000.000,-10800000.000,-300000.000,-2100000.000,-1600000.000,-2600000.000,-1700000.000,-3900000.000,-12100000.000,-3300000.000,-600000.000,-400000.000,-1100000.000,400000.000
OtherComprehensiveIncomeForeignCurrencyTranslationGainLossArisingDuringPeriodTax,1000000.000,-400000.000,2000000.000,-4300000.000,500000.000,-1100000.000,-700000.000,-1100000.000,800000.000,-1400000.000,-1500000.000,-2500000.000,-3800000.000,-100000.000,-900000.000,17600000.000,0.000,0.000,0.000,-3500000.000,-1000000.000,1200000.000,-1000000.000,100000.000,600000.000
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,,,,,,,,,2800000.000,3900000.000,-1400000.000,-500000.000,1000000.000,-6800000.000,3700000.000,1000000.000,3200000.000,3500000.000,-2100000.000,-16200000.000,4400000.000
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,,,,,,,,,,,,,,,52400000.000,,40600000.000,-38200000.000,-4200000.000,-5400000.000,-37800000.000,10700000.000,-12100000.000,31600000.000,-17000000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,,-1800000.000,-1500000.000,,-3100000.000,-2600000.000,-2800000.000,-4600000.000,-7000000.000,-200000.000,-1200000.000,-19200000.000,-2600000.000,-1700000.000,-3900000.000,-8600000.000,-2300000.000,-1800000.000,600000.000,-1200000.000,-200000.000
OtherComprehensiveIncomeLossNetOfTax,,,,,,25500000.000,-17500000.000,,18900000.000,-4600000.000,-27000000.000,-3700000.000,-1000000.000,7500000.000,51600000.000,-8000000.000,40800000.000,-45400000.000,-2800000.000,-17600000.000,-35200000.000,14100000.000,-11900000.000,14100000.000,-11000000.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,189600000.000,260100000.000,,,-14000000.000,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,,,,,,-1700000.000,-1600000.000,,-2500000.000,-2000000.000,-1900000.000,-5000000.000,-1600000.000,-1600000.000,-1800000.000,13700000.000,-1800000.000,-1300000.000,-1600000.000,4600000.000,-1700000.000,-1700000.000,-1700000.000,100000.000,-1800000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeBeforeTax,,,,,,-2300000.000,-1400000.000,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeTax,,,,,,-900000.000,-500000.000,,-1100000.000,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesTax,,,,,,,,,,200000.000,800000.000,,900000.000,200000.000,1900000.000,0.000,200000.000,400000.000,0.000,200000.000,400000.000,300000.000,400000.000,100000.000,0.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesTax,,,,,,,,,,600000.000,400000.000,,200000.000,-600000.000,-500000.000,200000.000,300000.000,400000.000,1600000.000,900000.000,600000.000,400000.000,200000.000,300000.000,-200000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansTax,,,,,,,,,,1100000.000,1200000.000,,1000000.000,1000000.000,800000.000,1000000.000,1100000.000,1500000.000,1300000.000,200000.000,1000000.000,900000.000,1000000.000,1000000.000,1000000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentOnDerivativesIncludedInNetIncomeBeforeTax,,,,,,-2400000.000,-4900000.000,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentOnDerivativesIncludedInNetIncomeTax,,,,,,0.000,-300000.000,,100000.000,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossReclassificationPensionAndOtherPostretirementBenefitPlansNetGainLossRecognizedInNetPeriodicBenefitCostTax,,,,,,1000000.000,1000000.000,,600000.000,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeBeforeTax,200000.000,900000.000,4100000.000,1700000.000,1400000.000,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeTax,100000.000,300000.000,1600000.000,600000.000,500000.000,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeReclassificationAdjustmentOnDerivativesIncludedInNetIncomeBeforeTax,-6200000.000,-15000000.000,-12700000.000,900000.000,1600000.000,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeReclassificationAdjustmentOnDerivativesIncludedInNetIncomeTax,-1400000.000,-2600000.000,-2200000.000,-200000.000,0.000,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeReclassificationOfDefinedBenefitPlansNetGainLossRecognizedInNetPeriodicBenefitCostBeforeTax,2000000.000,2100000.000,2000000.000,2000000.000,2600000.000,2700000.000,2600000.000,2600000.000,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeReclassificationOfDefinedBenefitPlansNetGainLossRecognizedInNetPeriodicBenefitCostTax,-700000.000,-1000000.000,-800000.000,-600000.000,-1000000.000,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodBeforeTax,-35600000.000,-22000000.000,41400000.000,11000000.000,-23000000.000,32500000.000,-16700000.000,-12900000.000,23800000.000,4400000.000,-27000000.000,-4300000.000,2300000.000,-3700000.000,50900000.000,34500000.000,58200000.000,-19800000.000,17300000.000,15100000.000,-26300000.000,20100000.000,-1200000.000,41700000.000,-11200000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,-25600000.000,-6000000.000,49100000.000,9500000.000,-21200000.000,25500000.000,-18200000.000,-13100000.000,,-1400000.000,-25900000.000,,1600000.000,2200000.000,,,,,,,,,,,
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodTax,-5200000.000,-3600000.000,2800000.000,400000.000,-3400000.000,4600000.000,-3100000.000,-1200000.000,3700000.000,1600000.000,-4000000.000,400000.000,1900000.000,-1700000.000,2000000.000,1500000.000,3100000.000,-400000.000,3000000.000,1300000.000,-2100000.000,-200000.000,500000.000,800000.000,-200000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodBeforeTax,400000.000,6600000.000,5200000.000,-2500000.000,5900000.000,2600000.000,2200000.000,-800000.000,1500000.000,-3500000.000,1800000.000,100000.000,7100000.000,6700000.000,2700000.000,-1000000.000,2300000.000,-9600000.000,5700000.000,2000000.000,6000000.000,6200000.000,-2100000.000,-25000000.000,6800000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax,100000.000,2500000.000,2000000.000,-1000000.000,2200000.000,1100000.000,700000.000,-300000.000,600000.000,-1400000.000,800000.000,-100000.000,2600000.000,2400000.000,1000000.000,-300000.000,900000.000,-3600000.000,2000000.000,800000.000,2100000.000,2300000.000,-800000.000,-9000000.000,2400000.000
OtherNoncashIncomeExpense,,,,,-1600000.000,,,,-9300000.000,,,,5300000.000,,,,-16900000.000,,,,-36700000.000,,,,-76000000.000
OtherNonoperatingIncomeExpense,2100000.000,26900000.000,1800000.000,21500000.000,-1100000.000,8800000.000,1300000.000,3400000.000,1300000.000,2900000.000,1500000.000,1300000.000,-1100000.000,-3700000.000,-400000.000,200000.000,-1800000.000,-3300000.000,-1300000.000,-5400000.000,-2000000.000,1100000.000,1700000.000,1700000.000,1200000.000
PaymentsForRepurchaseOfCommonStock,498400000.000,,,,146800000.000,,,,190200000.000,,,,185700000.000,,,,147100000.000,,,,233200000.000,,,,219300000.000
PaymentsForSoftware,2500000.000,,,,5800000.000,,,,8800000.000,,,,10800000.000,,,,12800000.000,,,,13100000.000,,,,11700000.000
PaymentsOfDividendsCommonStock,44700000.000,50300000.000,,,61600000.000,60700000.000,,,70300000.000,69300000.000,69000000.000,68600000.000,67600000.000,66800000.000,65500000.000,65300000.000,80500000.000,,,,79300000.000,,,,83300000.000
PaymentsToAcquireBusinessesNetOfCashAcquired,,,,,,,,,,,,,10200000.000,,,,0.000,,,,,,,,
PaymentsToAcquireHeldToMaturitySecurities,,,,,,,,,,,,,,,,,,,,,15200000.000,,,,15200000.000
PaymentsToAcquireIntangibleAssets,7100000.000,,,,55800000.000,,,,11800000.000,,,,16600000.000,,,,17200000.000,,,,20200000.000,,,,6800000.000
PaymentsToAcquireOtherInvestments,,,,,,,,,,,,,,,,,,,,,11200000.000,,,,21300000.000
PaymentsToAcquirePropertyPlantAndEquipment,12300000.000,,,,14200000.000,,,,17300000.000,,,,18200000.000,,,,14400000.000,,,,14600000.000,,,,7900000.000
ProceedsFromCollectionOfNotesReceivable,0.000,,,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromIssuanceOfLongTermDebt,,,,,,,,,,,,,,,,,,,,,,,,,396900000.000
ProceedsFromIssuanceOfUnsecuredDebt,299500000.000,,,,0.000,,,,,,,,,,,,,,,,,,,,
ProceedsFromRepaymentsOfCommercialPaper,,,,,53000000.000,,,,0.000,,,,130000000.000,,,,0.000,,,,,,,,310000000.000
ProceedsFromSaleAndMaturityOfAvailableForSaleSecurities,3300000000.000,,,,3000000000.000,,,,4600000000.000,,,,4600000000.000,,,,3300000000.000,,,,300000000.000,,,,1400000000.000
ProceedsFromSaleAndMaturityOfHeldToMaturitySecurities,,,,,,,,,,,,,,,,,,,,,,,,,12300000.000
ProceedsFromSaleAndMaturityOfOtherInvestments,,,,,,,,,,,,,,,,,,,,,11000000.000,,,,0.000
ProceedsFromSaleOfAvailableForSaleSecuritiesEquity,,,,,,,,,,,,,100200000.000,,,,0.000,,,,,,,,
ProceedsFromStockOptionsExercised,72300000.000,,,,41200000.000,,,,1700000.000,,,,3000000.000,,,,32300000.000,,,,7200000.000,,,,5800000.000
