,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30
AccountsPayableAndAccruedLiabilities,,750.000,5000.000,4150.000,750.000
Assets,1293.000,507.000,517.000,870.000,918.000
AssetsCurrent,1293.000,507.000,517.000,870.000,918.000
Cash,1293.000,507.000,517.000,870.000,918.000
CashAndCashEquivalentsAtCarryingValue,,,517.000,,918.000
CommonStockValue,139.000,,,139.000,139.000
CommonStockValueOutstanding,,139.000,139.000,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-33120.000,-34656.000,-39696.000,-41595.000,-39647.000
DueToRelatedParties,24184.000,34274.000,,38175.000,39676.000
LiabilitiesAndStockholdersEquity,1293.000,507.000,517.000,870.000,779.000
LiabilitiesCurrent,34274.000,35024.000,40074.000,42325.000,40426.000
PreferredStockValue,,,,,0.000
SharesIssued,,,1390000.000,,1390000.000
StockholdersEquity,-32981.000,-34517.000,-39557.000,-41456.000,-39508.000
