,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationRestrictedStockUnitsRequisiteServicePeriodRecognition,,,,,,,57000.000,,,,214000.000,,
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,,,,,,,489000.000,,,,366000.000,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,310000.000,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,,198000.000,,,,,,,,,
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,,,,,,,,,,,510000.000,,
AllowanceForLoanAndLeaseLossesProvisionForLossGross,,,,,,,5000000.000,,,,,,
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,,,,,,797000.000,,,,,,
AllowanceForLoanAndLeaseLossesWriteOffs,,,,,,,4767000.000,,,,3598000.000,,
AmortizationOfIntangibleAssets,,,912000.000,1046000.000,916000.000,526000.000,467000.000,,,,467000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-163636000.000,,,,,,,,,,
ComprehensiveIncomeNetOfTax,,,2921000.000,,,,1017000.000,,,,6510000.000,,
DepreciationAndAmortization,,,1354000.000,,,,,,,,,,
EarningsPerShareBasic,0.030,0.050,0.050,0.030,0.050,0.050,0.040,0.040,0.050,0.040,0.030,0.060,0.090
EarningsPerShareBasicAndDiluted,,,,,,,0.040,,,,0.030,,
EarningsPerShareDiluted,0.030,0.050,0.050,0.030,0.050,0.050,0.040,0.040,0.050,0.040,0.030,0.060,0.090
EffectiveIncomeTaxRateContinuingOperations,,,,,,,0.152,,,,-0.027,0.247,0.287
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,,,0.350,,,,0.350,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,,,,,,0.028,,,,0.045,,
EffectiveIncomeTaxRateReconciliationTaxCredits,,,,,,,0.129,,,,0.171,,
EffectiveIncomeTaxRateReconciliationTaxExemptIncome,,,,,,,0.113,,,,0.212,,
EmployeeStockOwnershipPlanESOPCompensationExpense,,,,,,,434000.000,,,,543000.000,,
FederalDepositInsuranceCorporationPremiumExpense,1621000.000,1055000.000,1034000.000,1075000.000,1058000.000,1054000.000,951000.000,947000.000,888000.000,803000.000,783000.000,805000.000,723000.000
FeesAndCommissionsMortgageBankingAndServicing,,,,590000.000,803000.000,,242000.000,511000.000,131000.000,133000.000,125000.000,115000.000,211000.000
FinancingReceivableModificationsSubsequentDefaultRecordedInvestment1,,,,,,,,,,,2413000.000,,
FinancingReceivablesImpairedTroubledDebtRestructuringWriteDown,,,,,,,6616000.000,,,,11542000.000,,
FiniteLivedIntangibleAssetsAmortizationExpense,906000.000,908000.000,912000.000,,,,,,,,,,
GainLossOnInterestRateDerivativeInstrumentsNotDesignatedAsHedgingInstruments,,,,28000.000,,,,,,,,,
GainLossOnInvestments,,,441000.000,,,,,,,,,,
GainLossOnSaleOfInvestments,,,,,,,,,,,204000.000,,
GainLossOnSaleOfLoansAndLeases,,,447000.000,,,,98000.000,,,,50000.000,,
GainLossOnSaleOfProperties,,,,,,,175000.000,,,,794000.000,,
GainLossOnSaleOfPropertyPlantEquipment,,,,,,,-196000.000,,,,-1000.000,,
GainOnSaleOfInvestments,,,,,,,833000.000,,,,,,
ImpairedFinancingReceivableWithNoRelatedAllowanceAverageRecordedInvestment,,,,,,,67509000.000,,,,50108000.000,,
ImpairmentOfLongLivedAssetsToBeDisposedOf,,,,,,,36000.000,,,,,,
ImpairmentOfRealEstate,,,352000.000,,,,226000.000,,,,151000.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,5162000.000,,3789000.000,3280000.000,4085000.000,4019000.000,2407000.000,6078000.000,9146000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,2026000.000,3907000.000,4388000.000,2683000.000,,,,,,,,,
IncomeTaxExpenseBenefit,47000.000,-172000.000,443000.000,359000.000,1067000.000,-110000.000,575000.000,374000.000,585000.000,1061000.000,-65000.000,1502000.000,2622000.000
