,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30
AccountsPayableCurrent,6174793.000,7931325.000,8439605.000,6546703.000,4332101.000,3778672.000,2748492.000,5754949.000
AccountsReceivableNetCurrent,6423290.000,7387858.000,6068904.000,6683630.000,6833143.000,4821867.000,4263601.000,4472242.000
AccruedLiabilitiesCurrent,2059372.000,2717747.000,2630966.000,2143401.000,3199371.000,3934975.000,2772148.000,2913365.000
AccruedLiabilitiesCurrentAndNoncurrent,,,,,,3934975.000,,
AccruedProfessionalFeesCurrentAndNoncurrent,,,,,,311781.000,,
AccruedSalariesCurrentAndNoncurrent,,,,,,1746032.000,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,16561845.000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,3577226.000,3775636.000,4363930.000,4287744.000,4423913.000,4477071.000,4553153.000,4898004.000
AdditionalPaidInCapital,100450269.000,100930240.000,101266272.000,101603729.000,102556701.000,102813203.000,103140260.000,103537903.000
AllowanceForDoubtfulAccountsReceivableCurrent,6441.000,6441.000,6441.000,6441.000,41815.000,18774.000,8334.000,8356.000
Assets,122392114.000,128903226.000,127532519.000,126141007.000,124030173.000,123327971.000,118855971.000,119528818.000
AssetsCurrent,73255783.000,77204769.000,82098889.000,81123331.000,81053828.000,81762735.000,77714134.000,76497177.000
AssetsNet,,,,,,,84897114.000,83329217.000
AuctionMarketPreferredSecuritiesStockSeriesAggregateRedemptionAmount,,,,,,,3000000.000,3000000.000
AuctionRateSecuritiesNoncurrent,,,,,2600000.000,2500000.000,2500000.000,2500000.000
BuildingsAndImprovementsGross,,,,,,19651110.000,,
BusinessAcquisitionCostOfAcquiredEntityLiabilitiesIncurred,,,,,15000000.000,15000000.000,15000000.000,
CashAndCashEquivalentsAtCarryingValue,50475499.000,52526619.000,51914128.000,36266765.000,25347187.000,27306202.000,34008973.000,38583630.000
