,2015-12-31,2016-12-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,787000.000,3343000.000
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,1892000.000,
AmortizationOfDebtDiscountPremium,504000.000,646000.000
AmortizationOfIntangibleAssets,1236000.000,1235000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,2082378.000,1894363.000
CapitalLeasesIncomeStatementInterestExpense,2000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,17117000.000,-3370000.000
CommonStockDividendsPerShareDeclared,,0.000
ComprehensiveIncomeNetOfTax,-8526000.000,-11696000.000
CostOfRevenue,24775000.000,22618000.000
CurrentFederalTaxExpenseBenefit,0.000,0.000
CurrentForeignTaxExpenseBenefit,-38000.000,-19000.000
CurrentIncomeTaxExpenseBenefit,-35000.000,-17000.000
CurrentStateAndLocalTaxExpenseBenefit,3000.000,2000.000
DeferredFederalIncomeTaxExpenseBenefit,-26000.000,1000.000
DeferredIncomeTaxExpenseBenefit,-26000.000,1000.000
DeferredIncomeTaxesAndTaxCredits,-26000.000,1000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,0.000,0.000
DepreciationAndAmortization,1500000.000,1000000.000
DepreciationDepletionAndAmortization,1453000.000,987000.000
DerivativeGainLossOnDerivativeNet,-907000.000,
EarningsPerShareBasicAndDiluted,-2.790,-0.770
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,-338000.000,-71000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityIssues,863000.000,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityPeriodIncreaseDecrease,907000.000,
ForeignCurrencyTransactionGainLossBeforeTax,-100000.000,-100000.000
GeneralAndAdministrativeExpense,3978000.000,6693000.000
GoodwillImpairmentLoss,,0.000
GrossProfit,18484000.000,21350000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-9232000.000,-11843000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-8444000.000,-11628000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,788000.000,215000.000
IncomeTaxExpenseBenefit,-61000.000,-16000.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,3081000.000,3580000.000
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,-233000.000,-14000.000
