,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,,,7578628.000,10901150.000,12440199.000,7839574.000,11169896.000,13173284.000,11043931.000,9382143.000,11456243.000,,,,12000246.000,9152963.000,6320926.000,7745510.000
AccountsPayableCurrent,2255440.000,2315679.000,,,,,,,,,,,,,,,,0.000
AccountsPayableRelatedPartiesCurrent,,,,,,974684.000,1738387.000,190588.000,198421.000,293978.000,133517.000,80227.000,150473.000,173913.000,199167.000,83658.000,76879.000,94323.000
AccountsPayableRelatedPartiesCurrentAndNoncurrent,,,,,,,,,,,,,,,199000.000,84000.000,77000.000,94000.000
AccountsReceivableNetCurrent,,,63049.000,1604414.000,2453058.000,2645475.000,4226244.000,4620510.000,5012286.000,5880251.000,6907111.000,3964300.000,3404557.000,3642533.000,3683589.000,,2186658.000,2596995.000
AccountsReceivableRelatedParties,,,,,764000.000,318000.000,383000.000,2100000.000,2200000.000,933000.000,907000.000,1400000.000,1500000.000,1100000.000,769000.000,1000000.000,,
AccountsReceivableRelatedPartiesCurrent,27981.000,70322.000,204762.000,507703.000,768024.000,318362.000,2146839.000,2154380.000,2174028.000,983795.000,906701.000,1488170.000,1541678.000,1076236.000,768504.000,,1571338.000,1279840.000
AccruedLiabilitiesCurrent,3923155.000,4161653.000,,,,,,,,,,,,,,,,
AccumulatedAmortizationOfNoncurrentDeferredFinanceCosts,,,253705.000,307918.000,315557.000,423011.000,0.000,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,658972.000,706734.000,570552.000,762535.000,1034366.000,1648857.000,2398394.000,5336836.000,6113176.000,7037761.000,4721312.000,5525331.000,6256105.000,6955897.000,7908411.000,8698224.000,9504519.000,10244685.000
AdditionalPaidInCapital,93590143.000,93972787.000,94677525.000,98454282.000,99845482.000,110150838.000,116832776.000,117705132.000,118172731.000,118679099.000,118809722.000,119220985.000,121453693.000,122163799.000,122802350.000,125794197.000,127246921.000,127434807.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,55212.000,154240.000,380280.000,380280.000,380280.000,380280.000,380280.000,370820.000,370820.000,698788.000,,587306.000,497183.000
AssetRetirementObligation,,,,,27355.000,,922386.000,,,,1119248.000,-1130774.000,-1133152.000,-1162930.000,-1193565.000,-1225085.000,-1257513.000,-1326777.000
AssetRetirementObligationCurrent,,,,,,100100.000,100100.000,100100.000,100100.000,100100.000,,-100100.000,-100100.000,-100100.000,-100100.000,-100100.000,-100100.000,-100100.000
AssetRetirementObligationsNoncurrent,,,,27569.000,28210.000,431247.000,822286.000,846033.000,881257.000,906865.000,797786.000,857574.000,882294.000,907726.000,933891.000,960811.000,988506.000,1053189.000
Assets,23047905.000,22967518.000,23166080.000,36380873.000,42328987.000,36758936.000,52855226.000,50411962.000,47752367.000,47665415.000,48025800.000,45430467.000,38413383.000,33434833.000,34452857.000,30457409.000,36451142.000,36294082.000
AssetsCurrent,231627.000,219613.000,570991.000,4820893.000,3863901.000,4868451.000,8457532.000,8231089.000,9763113.000,8941888.000,10907674.000,13196566.000,10603293.000,8239969.000,7333425.000,5758460.000,8251107.000,6862789.000
