,2011-06-30,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31
AmortizationOfDebtDiscountPremium,1731.000,,6000.000,,,,49163.000,,,,22754.000,,,,83649.000,,,,4475.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,40218.000,,32500.000,,,,947.000,,,,-20916.000,,,,314.000,,,,,,
ConversionOfStockAmountConverted1,,,,,,,,,,,,,,,,,,,4475.000,,
CostsIncurredDevelopmentCosts,,,,,,,,,,,-33450.000,,,,,,,,,,
DebtConversionConvertedInstrumentSharesIssued1,,,8000000.000,,,,,,,,,,,,,,,,44750.000,,
DebtConversionOriginalDebtAmount1,,,15120.000,,,,,,,,,,,,,,,,,,
DebtorReorganizationItemsWriteOffOfDeferredFinancingCostsAndDebtDiscounts,,,,,,,-5000.000,,,,,,,,,,,,,,
DerivativeGainLossOnDerivativeNet,,,,,,,1199371.000,,,,,,,,,,,,,,
EarningsPerShareBasic,,,0.000,,,,-0.000,,,,-0.010,-0.040,-0.010,-16.930,-0.420,-0.060,-0.050,0.190,-0.010,-0.010,-0.010
EarningsPerShareBasicAndDiluted,0.000,0.000,,,,,,,,,,,,,,,,,,,
EarningsPerShareDiluted,,,-0.000,,,,-0.000,,,,-0.010,-0.040,-0.010,-16.930,-0.420,-0.060,-0.050,0.190,-0.010,-0.010,-0.010
GainLossOnSaleOfDerivatives,,,258017.000,101103.000,6726.000,-172691.000,-1199371.000,2657680.000,131937.000,125708.000,,,,,,,,,,,
GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,104054.000,211212.000,156740.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-115258.000,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayable,8906.000,,-23564.000,,,,4651.000,,,,-35197.000,,,,-28119.000,,,,-10695.000,,
IncreaseDecreaseInAccountsReceivable,25000.000,,,,,,,,,,-1800.000,,,,,,,,,,
IncreaseDecreaseInAccruedLiabilities,13317.000,,8510.000,,,,18961.000,,,,1827.000,,,,85790.000,,,,101808.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-17278.000,,-2414.000,,,,-2040.000,,,,-1815.000,,,,,,,,,,
InterestExpense,2411.000,7457.000,7211.000,48870.000,53408.000,43144.000,53046.000,65894.000,38094.000,30386.000,24581.000,30576.000,52162.000,100876.000,94440.000,34482.000,23375.000,540565.000,16283.000,11812.000,14630.000
