,2012-08-31,2013-08-31,2014-08-31
AccretionExpense,,,14104.000
AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,,59000.000,
AdjustmentsToAdditionalPaidInCapitalOther,9059.000,,
AmortizationOfDebtDiscountPremium,,59000.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,4436236.000
AssetRetirementObligationAccretionExpense,,,10848.000
AssetRetirementObligationLiabilitiesIncurred,,,53963.000
BusinessAcquisitionProFormaEarningsPerShareBasic,,,-0.050
BusinessAcquisitionsProFormaNetIncomeLoss,,,-1712728.000
BusinessAcquisitionsProFormaRevenue,,,150802.000
CashAcquiredFromAcquisition,,,6004.000
CashAndCashEquivalentsPeriodIncreaseDecrease,14484.000,-7863.000,4909.000
ConversionOfStockAmountIssued1,,,188185.000
CostOfOilAndGasProspects,,2380.000,
CurrentIncomeTaxExpenseBenefit,,,0.000
DebtConversionConvertedInstrumentAmount1,80000.000,59000.000,103687.000
DeferredIncomeTaxExpenseBenefit,,,0.000
DepreciationDepletionAndAmortization,,,41680.000
DirectOperatingCosts,,,62505.000
EarningsPerShareBasicAndDiluted,-0.010,-0.010,-0.050
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.350,0.350,
EquityIssuancePerShareAmount,0.010,0.050,
GainsLossesOnExtinguishmentOfDebt,,8755.000,
GainsLossesOnRestructuringOfDebt,,8755.000,
GeneralAndAdministrativeExpense,59227.000,79305.000,296926.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-64360.000,-129969.000,-1696236.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,7961.000,23931.000,809601.000
IncreaseDecreaseInAccountsPayableRelatedParties,,15000.000,
IncreaseDecreaseInAccountsReceivable,,1552.000,22507.000
IncreaseDecreaseInEmployeeRelatedLiabilities,,,480000.000
IncreaseDecreaseInInterestPayableNet,5133.000,,
IncreaseDecreaseInInventories,,,-5150.000
IncreaseDecreaseInNotesPayableRelatedParties,,13966.000,
IncreaseDecreaseInPrepaidExpense,,,3106.000
InterestExpense,5133.000,61489.000,42434.000
InterestPaid,,,42434.000
InvestmentIncomeInterest,,,7609.000
IssuanceOfStockAndWarrantsForServicesOrClaims,25750.000,,
LaborAndRelatedExpense,,,480000.000
NetCashProvidedByUsedInFinancingActivities,40000.000,35000.000,1915972.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,40000.000,35000.000,1915972.000
NetCashProvidedByUsedInInvestingActivities,,,-1608509.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-1608509.000
NetCashProvidedByUsedInOperatingActivities,-25516.000,-42863.000,-302554.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-25516.000,-42863.000,-302554.000
NetIncomeLoss,-64360.000,-129969.000,-1696236.000
NetIncomeLossAvailableToCommonStockholdersBasic,,,-1696236.000
NonoperatingIncomeExpense,-5133.000,-52216.000,-34825.000
OilAndGasRevenue,,3932.000,125587.000
OperatingExpenses,59227.000,81685.000,1786998.000
OperatingIncomeLoss,-59227.000,-77753.000,-1661411.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossBeforeReclassificationAndTax,,518.000,
OtherCostAndExpenseOperating,,,68760.000
OtherDepreciationAndAmortization,,,30832.000
PaymentsForProceedsFromLoansReceivable,,,1290727.000
ProceedsFromConvertibleDebt,,,930000.000
ProceedsFromIssuanceOfCommonStock,15000.000,35000.000,
ProceedsFromMinorityShareholders,,,55000.000
ProceedsFromNotesPayable,25000.000,,
ProceedsFromRelatedPartyDebt,,,221000.000
ProfessionalFees,,,837127.000
ProvisionForDoubtfulAccounts,58739.000,,
ResearchAndDevelopmentExpense,,0.000,
ShareBasedCompensation,,,68760.000
StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,,,9300000.000
StockIssuedDuringPeriodSharesIssuedForCash,,700000.000,
StockIssuedDuringPeriodSharesPurchaseOfAssets,,2500000.000,
StockIssuedDuringPeriodValueAcquisitions,,,1626.000
StockIssuedDuringPeriodValueIssuedForCash,15000.000,35000.000,
StockIssuedDuringPeriodValueIssuedForServices,25750.000,,
StockIssuedDuringPeriodValueNewIssues,,,980288.000
StockIssuedDuringPeriodValueOther,50000.000,59000.000,
StockIssuedDuringPeriodValuePurchaseOfAssets,,31500.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,5187077.000,10907958.000,31950963.000
