,2011-07-08,2012-01-20,2012-04-13,2012-07-06,2013-01-25,2013-04-19,2013-07-12,2014-01-24,2014-04-18,2014-07-11,2015-01-23,2015-04-17,2015-07-10,2016-01-22,2016-04-15,2016-07-08,2017-01-20,2017-04-14
CashAndCashEquivalentsPeriodIncreaseDecrease,,391000.000,,,-3500000.000,,,3138000.000,,,4735000.000,,,6800000.000,,,5512000.000,
CommonStockDividendsPerShareCashPaid,,,,,0.050,,,,,,0.000,0.000,0.000,,,,,
CostOfGoodsSold,18412000.000,21152000.000,17572000.000,17661000.000,18738000.000,18807000.000,19809000.000,22198000.000,22308000.000,20486000.000,25095000.000,16419000.000,15869000.000,22377000.000,18914000.000,17719000.000,25166000.000,21140000.000
Depreciation,,364000.000,,,476000.000,,,595000.000,,,722000.000,,,700000.000,,,687000.000,
EarningsPerShareBasicAndDiluted,-0.050,-0.030,0.110,0.090,0.190,0.010,0.000,0.030,-0.140,-0.260,0.050,0.240,0.200,0.210,0.160,0.200,0.270,0.150
EffectiveIncomeTaxRateContinuingOperations,,,,,0.091,,,0.053,,,,,,,0.396,0.212,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,0.340,,,0.340,,,0.340,,,,0.377,0.377,0.283,
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,,,-0.277,,,-0.394,,,-0.368,,,,,,,
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,,,,-0.074,,,-0.051,,,0.042,,,,,,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,,,,0.102,,,0.158,,,-0.014,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,,2000.000,,,9000.000,,,6000.000,,,29000.000,,,1000.000,,,4000.000,
GrossProfit,8199000.000,8563000.000,9741000.000,10201000.000,12033000.000,9777000.000,9485000.000,10268000.000,8935000.000,7429000.000,9617000.000,10277000.000,10620000.000,13779000.000,12231000.000,12173000.000,14915000.000,12957000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,1894000.000,122000.000,5000.000,247000.000,-1280000.000,-2383000.000,467000.000,2202000.000,1997000.000,3101000.000,2471000.000,2311000.000,3450000.000,2029000.000
IncomeTaxExpenseBenefit,-106000.000,,,,172000.000,11000.000,24000.000,13000.000,,,0.000,0.000,142000.000,1229000.000,979000.000,489000.000,976000.000,714000.000
IncomeTaxesPaid,,,,,,,,0.000,,,0.000,,,153000.000,,,1291000.000,
IncreaseDecreaseInAccountsPayable,,450000.000,,,-244000.000,,,-180000.000,,,-1016000.000,,,-1133000.000,,,-117000.000,
IncreaseDecreaseInAccountsReceivable,,-687000.000,,,-90000.000,,,-2796000.000,,,2040000.000,,,-1379000.000,,,33000.000,
IncreaseDecreaseInAccruedIncomeTaxesPayable,,,,,,,,,,,,,,1342000.000,,,,
IncreaseDecreaseInAccruedLiabilities,,-653000.000,,,-459000.000,,,-746000.000,,,-258000.000,,,-949000.000,,,877000.000,
IncreaseDecreaseInInventories,,-1148000.000,,,3353000.000,,,-2229000.000,,,-6917000.000,,,-3650000.000,,,-4913000.000,
IncreaseDecreaseInOtherNoncurrentAssets,,,,,265000.000,,,149000.000,,,66000.000,,,-322000.000,,,279000.000,
IncreaseDecreaseInOtherNoncurrentLiabilities,,,,,-112000.000,,,-583000.000,,,-237000.000,,,393000.000,,,-1092000.000,
IncreaseDecreaseInOtherOperatingAssets,,36000.000,,,,,,,,,,,,,,,,
IncreaseDecreaseInOtherOperatingLiabilities,,-213000.000,,,,,,,,,,,,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,665000.000,,,170000.000,,,485000.000,,,325000.000,,,698000.000,,,,
IncreaseDecreaseInPrepaidExpensesOther,,,,,,,,,,,,,,,,,588000.000,
NetCashProvidedByUsedInFinancingActivities,,-61000.000,,,-516000.000,,,-99000.000,,,-93000.000,,,-61000.000,,,-33000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-61000.000,,,-516000.000,,,-99000.000,,,-93000.000,,,-61000.000,,,-33000.000,
NetCashProvidedByUsedInInvestingActivities,,-261000.000,,,-683000.000,,,-490000.000,,,-63000.000,,,-577000.000,,,-1040000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-261000.000,,,-683000.000,,,-490000.000,,,-63000.000,,,-577000.000,,,-1040000.000,
NetCashProvidedByUsedInOperatingActivities,,713000.000,,,-2301000.000,,,3727000.000,,,4891000.000,,,7438000.000,,,6585000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,713000.000,,,-2301000.000,,,3727000.000,,,4891000.000,,,7438000.000,,,6585000.000,
NetIncomeLoss,-477000.000,-278000.000,1040000.000,861000.000,1722000.000,111000.000,-19000.000,234000.000,-1280000.000,-2383000.000,467000.000,2202000.000,1855000.000,1872000.000,1492000.000,1822000.000,2474000.000,1315000.000
NumberOfReportableSegments,,,,,2.000,,,2.000,,,2.000,,,,,,,
PaymentsForRepurchaseOfCommonStock,,61000.000,,,7000.000,,,46000.000,,,38000.000,,,25000.000,,,,
PaymentsOfDividends,,,,,458000.000,,,,,,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,,,,,,496000.000,,,92000.000,,,578000.000,,,1044000.000,
ProceedsFromSaleOfPropertyPlantAndEquipment,,2000.000,,,9000.000,,,6000.000,,,29000.000,,,1000.000,,,4000.000,
PromotionalAllowances,,,,,,,,,,,704000.000,,,,,,,
