,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2017-02-28
AdjustmentForAmortization,,,,,,6668.000
AmortizationOfDebtDiscountPremium,,,,,,6668.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-18452.000,,-369.000,,,-9848.000
DepreciationDepletionAndAmortization,,,,,,1489.000
EarningsPerShareBasicAndDiluted,-0.000,-0.000,0.000,0.000,0.000,-0.010
FairValueAdjustmentOfWarrants,,,,,,20000.000
GeneralAndAdministrativeExpense,15329.000,16368.000,15261.000,1400.000,41846.000,623683.000
IncreaseDecreaseInAccountsPayable,,11738.000,11392.000,-5276.000,9717.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,143217.000
IncreaseDecreaseInAccountsPayableRelatedParties,,,,,,-48483.000
IncreaseDecreaseInAccountsPayableTrade,-8706.000,,,,,
IncreaseDecreaseInPrepaidExpense,,,,-5000.000,5000.000,
IncreaseDecreaseInPrepaidRent,,,,,,1000.000
InterestExpenseRelatedParty,,,,,27129.000,
InterestIncomeExpenseNet,,,,,,-31013.000
LicenseCosts,,,,,,30000.000
NetCashProvidedByUsedInFinancingActivities,5583.000,,,,,492500.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,5583.000,,,,,492500.000
NetCashProvidedByUsedInInvestingActivities,,,,,,-9939.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,-9939.000
NetCashProvidedByUsedInOperatingActivities,-24035.000,,-369.000,,,-492409.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-24035.000,,-369.000,,,-492409.000
NetIncomeLoss,-15329.000,-9376.000,-15261.000,-1400.000,-41846.000,-686100.000
NoncashContributionExpense,,4630.000,,,,
OperatingCostsAndExpenses,,16368.000,15261.000,1400.000,41846.000,
OperatingExpenses,,,,,,655087.000
PaymentsToAcquireFurnitureAndFixtures,,,,,,1689.000
ProceedsFromLinesOfCredit,,,,,,200000.000
ProceedsFromNotesPayable,,,,,,292500.000
ProceedsFromRelatedPartyDebt,5583.000,,,,,
ResearchAndDevelopmentExpense,,,,,,31404.000
SalariesWagesAndOfficersCompensation,,,,,,175000.000
ShareBasedCompensation,,,,,,91800.000
StockIssuedDuringPeriodValueIssuedForServices,,,,,,91800.000
ValuationAllowanceDeferredTaxAssetChangeInAmount,,,,476.000,,
ValuationAllowancesAndReservesPeriodIncreaseDecrease,,3188.000,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,191400000.000,191400000.000,63800000.000,63800000.000,63800000.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,55789600.000
