,2011-12-31
AdvertisingExpense,401108.000
AmortizationOfDebtDiscountPremium,178151.000
CashAcquiredFromAcquisition,11539459.000
CashAndCashEquivalentsPeriodIncreaseDecrease,52787247.000
ComprehensiveIncomeNetOfTax,4088840.000
DepreciationDepletionAndAmortization,1266468.000
EarningsPerShareBasic,3.110
FeesAndCommissions,4590068.000
FeesAndCommissionsOther,1305086.000
GainLossOnDispositionOfAssets,-22073.000
GainLossOnSaleOfSecuritiesNet,536821.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,5520063.000
IncomeTaxExpenseBenefit,1389000.000
IncomeTaxesPaid,1830000.000
IncreaseDecreaseInAccruedInvestmentIncomeReceivable,34109.000
IncreaseDecreaseInDeposits,-4233342.000
IncreaseDecreaseInFederalFundsPurchasedAndSecuritiesSoldUnderAgreementsToRepurchaseNet,-1454234.000
IncreaseDecreaseInFederalFundsSold,3050000.000
IncreaseDecreaseInInterestPayableNet,-94148.000
IncreaseDecreaseInOtherOperatingCapitalNet,977193.000
InterestAndDividendIncomeOperating,20544396.000
InterestAndFeeIncomeLoansAndLeases,13683128.000
InterestExpense,3042993.000
InterestExpenseDeposits,3017027.000
InterestExpenseFederalFundsPurchasedAndSecuritiesSoldUnderAgreementsToRepurchase,25966.000
InterestIncomeExpenseAfterProvisionForLoanLoss,15046647.000
InterestIncomeExpenseNet,17501403.000
InterestIncomeFederalFundsSold,77216.000
InterestIncomeSecuritiesTaxExempt,1026922.000
InterestIncomeSecuritiesTaxable,5733234.000
InterestPaid,3137141.000
LaborAndRelatedExpense,7459239.000
NetCashProvidedByUsedInFinancingActivities,-7483532.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-7483532.000
NetCashProvidedByUsedInInvestingActivities,53860539.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,53860539.000
NetCashProvidedByUsedInOperatingActivities,6410240.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,6410240.000
NetIncomeLoss,4131063.000
NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1,2746099.000
NoncashOrPartNoncashAcquisitionValueOfAssetsAcquired1,40557201.000
NoninterestExpense,16756932.000
NoninterestIncome,7230348.000
NoninterestIncomeOther,798373.000
OccupancyNet,2903638.000
OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodNetOfTax,-1970638.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,1928415.000
OtherInterestAndDividendIncome,23896.000
OtherNoninterestExpense,4294407.000
PaymentsForProceedsFromLoansAndLeases,-8294295.000
PaymentsOfDividendsCommonStock,1795956.000
PaymentsToAcquireAvailableForSaleSecurities,216132217.000
PaymentsToAcquireHeldToMaturitySecurities,22528927.000
PaymentsToAcquirePropertyPlantAndEquipment,453920.000
ProceedsFromMaturitiesPrepaymentsAndCallsOfHeldToMaturitySecurities,42090000.000
ProceedsFromSaleAndMaturityOfAvailableForSaleSecurities,227599272.000
ProceedsFromSaleOfOtherProductiveAssets,402577.000
ProvisionForLoanAndLeaseLosses,2454756.000
