,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,-137588.000,,,,-72101.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,16688.000,,,,9569.000
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,,4122.000,,,,
BusinessDevelopment,47335.000,37058.000,41242.000,42805.000,37468.000,43691.000,54879.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,4779106.000,,,,-1178388.000
Communication,12073.000,9653.000,11687.000,17594.000,12781.000,16814.000,15728.000
ComprehensiveIncomeNetOfTax,,,-79994.000,215996.000,187373.000,14548.000,-125617.000
DepreciationAndAmortization,,,23989.000,,,,37354.000
EarningsPerShareBasicAndDiluted,-0.170,-0.020,-0.060,-0.020,0.050,0.060,0.000
FeesAndCommissionsDepositorAccounts,8362.000,13194.000,19272.000,6599.000,7695.000,10268.000,11245.000
FeesAndCommissionsOther,4521.000,5196.000,4817.000,6789.000,7340.000,5825.000,8209.000
GainLossOnSaleOfSecuritiesNet,129496.000,168089.000,7930.000,51377.000,103109.000,115020.000,175897.000
GainLossOnSalesOfLoansNet,2024.000,,19850.000,25666.000,56624.000,107283.000,49156.000
GeneralInsuranceExpense,6964.000,6911.000,6871.000,6871.000,7656.000,7250.000,7667.000
ImpairedFinancingReceivableAverageRecordedInvestment,,,,1632165.000,1233060.000,,1147842.000
ImpairedFinancingReceivableInterestIncomeAccrualMethod,,,,20353.000,61282.000,,20012.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-374104.000,-41183.000,-142101.000,-32949.000,117749.000,135262.000,10943.000
IncomeTaxExpenseBenefit,,,,,,,1693.000
IncreaseDecreaseInAccruedInterestReceivableNet,,,-2763.000,,,,11790.000
IncreaseDecreaseInInterestPayableNet,,,-3173.000,,,,1677.000
IncreaseDecreaseInLoansDeferredIncome,,,-3233.000,,,,-235.000
IncreaseDecreaseInOtherOperatingAssets,,,-6597.000,,,,857.000
IncreaseDecreaseInOtherOperatingLiabilities,,,-57640.000,,,,-55994.000
IncreaseDecreaseInTimeDeposits,,,1948553.000,,,,-1341985.000
InformationTechnologyAndDataProcessing,81761.000,86652.000,92417.000,90613.000,86612.000,93303.000,106753.000
