,2011-06-30,2011-09-30,2012-03-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
AmortizationOfIntangibleAssets,,,,9896.000,10013.000,9808.000,,27801.000
BasicEarningsPerShareProForma,,,,,,,,-0.080
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,,-1068893.000
BusinessAcquisitionsProFormaRevenue,,,,,,,,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-132052.000,327.000,,,,499059.000
ComprehensiveIncomeNetOfTax,,,-247775.000,-360020.000,-283970.000,-1053547.000,21233.000,-764659.000
CostOfGoodsSold,,,0.000,,,,,
CurrentIncomeTaxExpenseBenefit,,,-31868.000,,,,,0.000
DeferredIncomeTaxExpenseBenefit,,,-115502.000,,,,,-102127.000
DeferredIncomeTaxesAndTaxCredits,,,3244.000,,,,,
DepreciationAndAmortization,,,224044.000,262926.000,,,,630218.000
DilutedEarningsPerShareProForma,,,,,,,,-0.080
EarningsPerShareBasic,,,,,,,,-0.070
EarningsPerShareBasicAndDiluted,0.000,0.000,-0.030,-0.050,-0.050,-0.150,0.010,-0.070
EarningsPerShareDiluted,,,,,,,,-0.070
EffectOfExchangeRateOnCashAndCashEquivalents,,,-73.000,76.000,,,,-2383.000
EffectiveIncomeTaxRateContinuingOperations,,,,0.000,0.000,,,-0.109
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,-0.340,-0.340,-0.340,0.680,-0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,,0.250,0.250,0.250,-0.500,0.141
EffectiveIncomeTaxRateReconciliationDispositionOfBusiness,,,,0.090,0.090,0.090,-0.180,0.090
ForeignCurrencyTransactionGainLossUnrealized,,,18290.000,21924.000,117071.000,176780.000,-89420.000,70519.000
GeneralAndAdministrativeExpense,1015.000,9840.000,412493.000,381741.000,401014.000,1229989.000,-110473.000,935818.000
GrossProfit,,,0.000,,,,,
IncomeLossFromContinuingOperations,1015.000,9840.000,-412493.000,-381741.000,-401014.000,-1229989.000,110473.000,-935818.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,-297933.000,-381944.000,-401041.000,-1230327.000,110653.000,-937305.000
IncomeTaxExpenseBenefit,,,,,,,,-102127.000
IncomeTaxesPaid,,,0.000,0.000,,,,0.000
IncreaseDecreaseInAccruedTaxesPayable,,,,,,,,-49311.000
IncreaseDecreaseInIncomeTaxes,,,-35113.000,,,,,
IncreaseDecreaseInInventories,,,-2926.000,-161.000,,,,-213017.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,,191431.000,213792.000,,,,-303666.000
IncreaseDecreaseInOtherLoans,,,,0.000,,,,
IncreaseDecreaseInOtherReceivables,,,,0.000,,,,-110390.000
IncrementalCommonSharesAttributableToConversionOfDebtSecurities,,,,,,,,590000.000
InterestAndOtherIncome,,,115568.000,19.000,20.000,59.000,-18.000,358.000
InterestExpense,,,920.000,0.000,0.000,0.000,-48.000,
InterestPaid,,,0.000,0.000,,,,0.000
NetCashProvidedByUsedInContinuingOperations,,,-179084.000,94613.000,,,,-918550.000
NetCashProvidedByUsedInFinancingActivities,,,234645.000,703990.000,,,,4250897.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,234645.000,703990.000,,,,4250897.000
NetCashProvidedByUsedInInvestingActivities,,,189540.000,-798352.000,,,,-2830905.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,189540.000,-798352.000,,,,-2830905.000
NetIncomeLoss,-1015.000,-9840.000,-266065.000,-381944.000,-401041.000,-1230327.000,110653.000,-835178.000
OtherExpenses,,,,,,,,1632.000
OtherNonoperatingExpense,,,88.000,222.000,47.000,397.000,-150.000,213.000
OtherNonoperatingIncomeExpense,,,114560.000,-203.000,-27.000,-338.000,180.000,-1487.000
PaymentsForConstructionInProcess,,,-163883.000,798352.000,,,,1210094.000
PaymentsToAcquireBusinessesNetOfCashAcquired,,,,,,,,1504507.000
PaymentsToAcquirePropertyPlantAndEquipment,,,-25657.000,0.000,,,,164668.000
ProFormaWeightedAverageSharesOutstandingDiluted,,,,,,,,13810100.000
ProceedsFromConvertibleDebt,,,,,,,,1638002.000
ProceedsFromRelatedPartyDebt,,,234645.000,703990.000,,,,2612895.000
Revenues,,0.000,0.000,,,,,
SalesRevenueNet,,0.000,0.000,,,,,
StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,,,,,,,,1638002.000
WeightedAverageBasicSharesOutstandingProForma,,,,,,,,13220100.000
WeightedAverageNumberOfDilutedSharesOutstanding,5000000.000,,,,,,,12903433.000
WeightedAverageNumberOfSharesOutstandingBasic,5000000.000,,,8000100.000,8000100.000,8000100.000,-16000200.000,12313433.000
