,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,6660.000,,,,,,,,,,,,,,,,,,,
AccruedLiabilitiesCurrent,,16186.000,16836.000,17486.000,18136.000,19836.000,20486.000,21136.000,21786.000,23795.000,17936.000,20179.000,25341.000,35008.000,33584.000,31634.000,32134.000,37524.000,11851.000,11851.000
AccruedProfessionalFeesCurrent,,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,16509.000,10000.000,14593.000,20055.000,25772.000,25348.000,25348.000,25348.000,30174.000,10001.000,7751.000
AdditionalPaidInCapital,120892.000,132850.000,132850.000,132850.000,132850.000,132850.000,132850.000,132850.000,132850.000,132850.000,132850.000,132850.000,132850.000,132850.000,132850.000,132850.000,132850.000,132850.000,132850.000,132850.000
AdvanceRoyaltiesCurrent,,,,,,,,,,,,,,,,,,,,750.000
Assets,6700.000,6200.000,6200.000,6200.000,6200.000,6200.000,6200.000,6200.000,6200.000,29152.000,15037.000,8200.000,6200.000,6200.000,19918.000,15356.000,11049.000,8314.000,12960.000,6951.000
AssetsCurrent,500.000,0.000,,,,,,,,22952.000,8837.000,2000.000,0.000,,13718.000,9156.000,4849.000,2631.000,8052.000,
CashAndCashEquivalentsAtCarryingValue,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9327.000,2493.000,2000.000,0.000,,13718.000,9156.000,4849.000,2631.000,8052.000,2818.000
CashEquivalentsAtCarryingValue,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9327.000,2493.000,2000.000,0.000,,13718.000,9156.000,4849.000,2631.000,8052.000,2818.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000
CommonStockSharesIssued,77980000.000,77980000.000,77980000.000,77980000.000,77980000.000,77980000.000,77980000.000,77980000.000,77980000.000,114980000.000,114980000.000,114980000.000,114980000.000,114980000.000,114980000.000,114980000.000,114980000.000,114980000.000,114980000.000,114980000.000
CommonStockValue,77980.000,77980.000,77980.000,77980.000,77980.000,77980.000,77980.000,77980.000,77980.000,114980.000,114980.000,114980.000,114980.000,114980.000,114980.000,114980.000,114980.000,114980.000,114980.000,114980.000
ConvertibleNotesPayable,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000
DebtInstrumentFaceAmount,,,,,,,,,,,,,,20000.000,,,,,,
DebtInstrumentInterestRateStatedPercentage,,,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.120,,0.100,,,,,,
DeferredTaxAssetsCapitalLossCarryforwards,115725.000,124000.000,125053.000,126090.000,127127.000,128521.000,129557.000,130595.000,131631.000,153171.000,157168.000,163500.000,167110.000,171842.000,174770.000,,180003.000,183765.000,,
DeferredTaxAssetsNet,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,,0.000,,,
DeferredTaxAssetsValuationAllowance,-115725.000,124000.000,125053.000,126090.000,127127.000,128521.000,129557.000,130595.000,131631.000,153171.000,157168.000,163500.000,167110.000,171842.000,174770.000,,180003.000,183765.000,,
DepositLiabilitiesAccruedInterest,9290.000,11690.000,14090.000,16490.000,18890.000,21290.000,23690.000,26090.000,28490.000,31784.000,35284.000,38784.000,42284.000,45784.000,49509.000,53509.000,57509.000,61509.000,65653.000,70278.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,340368.000,,,,,,,,,,,,,,,,,,,
DueToRelatedPartiesCurrent,,,,,,,,,,,,,,750.000,750.000,750.000,750.000,750.000,750.000,
LiabilitiesAndStockholdersEquity,6700.000,6200.000,6200.000,6200.000,6200.000,6200.000,6200.000,6200.000,6200.000,29152.000,15037.000,8200.000,6200.000,6200.000,19918.000,15356.000,11049.000,8314.000,12960.000,6951.000
LiabilitiesCurrent,95950.000,107876.000,110926.000,113976.000,117026.000,121126.000,124176.000,127226.000,130276.000,179579.000,177220.000,188963.000,197625.000,211542.000,233843.000,235893.000,240393.000,249783.000,253254.000,257879.000
LongTermDebt,,80000.000,80000.000,80000.000,80000.000,80000.000,80000.000,80000.000,80000.000,124000.000,124000.000,130000.000,130000.000,130000.000,150000.000,150000.000,150000.000,150000.000,175000.000,175000.000
LongTermNotesPayable,,,,,,,,,,,,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000
NotesAndLoansPayable,,,,,,,,,,27500.000,27500.000,27500.000,27500.000,27500.000,27500.000,27500.000,27500.000,27500.000,27500.000,27500.000
NotesAndLoansPayableCurrent,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,6000.000,6000.000,6000.000,6000.000,6000.000,6000.000,6000.000,6000.000,6000.000
NotesPayable,80000.000,80000.000,80000.000,80000.000,80000.000,80000.000,80000.000,80000.000,80000.000,,124000.000,130000.000,130000.000,130000.000,130000.000,130000.000,130000.000,130000.000,130000.000,130000.000
NotesPayableCurrent,80000.000,,,,,,,,,16500.000,16500.000,16500.000,16500.000,16500.000,16500.000,16500.000,16500.000,16500.000,16500.000,16500.000
NotesPayableFairValueDisclosure,,,,,,,,,,,,,,,,,,,25000.000,25000.000
OperatingLossCarryforwardsValuationAllowance,,365000.000,367800.000,370850.000,373900.000,378000.000,381050.000,384100.000,387150.000,450503.000,462260.000,480389.000,491500.000,505500.000,505500.000,,,542000.000,,
OtherAccruedLiabilitiesCurrentAndNoncurrent,,1120.000,1120.000,1120.000,1120.000,1120.000,1120.000,1120.000,1120.000,1120.000,1120.000,1120.000,1120.000,1120.000,1120.000,1120.000,1120.000,,,
OtherNotesPayableCurrent,,,,,,,,,,,,,,,20000.000,20000.000,20000.000,,20000.000,20000.000
PostconfirmationDeferredFinancingCosts,,,,,,,,,,1125.000,94.000,,0.000,,0.000,,,,,
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
