,2011-09-30,2011-12-31,2012-03-31
AccountsPayableCurrent,36364.000,90516.000,77617.000
AccountsPayableRelatedParties,10695.000,,
AccountsPayableRelatedPartiesCurrent,,0.000,0.000
AccountsReceivableNetCurrent,28152.000,1560.000,1001.000
AccruedLiabilities,185079.000,,
AccruedLiabilitiesCurrent,,211644.000,276104.000
AdditionalPaidInCapitalCommonStock,2723653.000,3150289.000,7226596.000
Assets,273020.000,324757.000,342703.000
AssetsCurrent,206693.000,262110.000,278485.000
Cash,20.000,0.000,8188.000
CashAndCashEquivalentsAtCarryingValue,,,8188.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,109195172.000,113202992.000,140951822.000
CommonStockSharesOutstanding,111398663.000,113202992.000,140951822.000
CommonStockValue,11140.000,11320.000,14095.000
ContractsReceivable,,8570.000,2466.000
IntangibleAssetsNetExcludingGoodwill,5615.000,5615.000,5615.000
InventoryNet,178521.000,251980.000,261830.000
Liabilities,689311.000,647160.000,749112.000
LiabilitiesAndStockholdersEquity,273020.000,324757.000,342703.000
LiabilitiesCurrent,689311.000,647160.000,749112.000
NotesAndLoansPayableCurrent,345000.000,345000.000,345000.000
NotesPayableRelatedPartiesClassifiedCurrent,112173.000,0.000,50391.000
OtherAssetsNoncurrent,,,11000.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001
PreferredStockSharesAuthorized,50000000.000,50000000.000,50000000.000
PreferredStockSharesIssued,23124330.000,23124330.000,23124330.000
PreferredStockSharesOutstanding,23124330.000,23124330.000,23124330.000
PreferredStockValue,23124.000,23124.000,23124.000
PrepaidExpenseCurrent,,,5000.000
PropertyPlantAndEquipmentNet,60712.000,57032.000,47603.000
RetainedEarningsAccumulatedDeficit,-3174208.000,-3507136.000,-7670224.000
StockholdersEquity,-416291.000,-322403.000,-406409.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-416291.000,-322403.000,-406409.000
