,2011-10-31,2012-04-30,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31
AccretionExpense,,,,,,,,,212872.000,,,115397.000,,,104299.000
AccretionOfDiscount,283943.000,-22264.000,22264.000,550159.000,22264.000,46472.000,222159.000,,,,,,,,
AmortizationOfDebtDiscountPremium,280022.000,,0.000,,,,269000.000,,,,250000.000,,,,-268948.000
AmortizationOfIntangibleAssets,,,,,,,,,,,,1753.000,1753.000,,1753.000
AvailableForSaleDebtSecuritiesGrossUnrealizedGain,,,,,,,,,,,,-22275.000,,,
AvailableForSaleSecuritiesGrossUnrealizedLoss,,,,,,,,,,,,19294.000,,,
BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,,,,,,,,,,,-1078876.000,-2118922.000,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,,,,,-3734149.000,-1932683.000,-586054.000,-2873823.000,
BusinessAcquisitionsProFormaRevenue,,,,,,,,,,,609947.000,740985.000,614887.000,551406.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,1098.000,,0.000,,,,-38188.000,,,,,,,,
ComprehensiveIncomeNetOfTax,,,,,,,,,,,,-1932683.000,,,
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,,,,,,-18284.000,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,,-22275.000,,,
ConversionOfStockAmountConverted1,307542.000,,,,,,,,,,,,,,
CostOfGoodsAndServicesSold,,,,,,,,13422.000,2810.000,,,605736.000,,,
DebtConversionConvertedInstrumentAmount1,105300.000,,15910.000,,,,,,,,,,,,
DebtConversionOriginalDebtAmount1,18000.000,,-15910.000,,,,,,,,,,,,42408.000
Depreciation,,,,,,,,,,,,,11365.000,,0.000
DepreciationAndAmortization,,,,,,,,,,,,13500.000,,,
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,,,,,,,2153244.000,,,,,,,,
DerivativeLossOnDerivative,,,0.000,,,,280176.000,,,,235037.000,,,,-207665.000
DividendsPreferredStock,,,,,,,,,,,,-28107.000,,,
EarningsPerShareBasicAndDiluted,-0.001,-0.070,-0.010,0.010,-0.000,0.000,-0.000,-0.000,-0.000,-0.010,,-0.000,,,
FairValueAssumptionsExpectedDividendPayments,,,,,,,,,,,,,,,0.000
GainLossOnDerivativeInstrumentsNetPretax,,,1296727.000,-2790469.000,36887.000,,-2153244.000,466001.000,-7670678.000,1464414.000,,-476187.000,,,
GainLossOnSaleOfDebtInvestments,,,,0.000,,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,0.000,0.000,0.000,0.000,,,,246.000,0.000,,,,,,
GeneralAndAdministrativeExpense,257119.000,156031.000,8797.000,20333.000,138787.000,200085.000,325070.000,160950.000,164697.000,221271.000,,996864.000,,,
GrossProfit,,,,,,,,-8275.000,4424.000,,,135249.000,,,
ImpairmentOfIntangibleAssetsExcludingGoodwill,,,,0.000,,,,,,,,,,,
ImpairmentOfInvestments,0.000,0.000,,0.000,,,,,,,,,,,
IncomeLossAttributableToParent,,,,,,,,,,,,-1928692.000,,,
IncomeLossFromContinuingOperations,,,,,,,-2715883.000,-34716.000,,,,,,,
IncomeTaxesPaid,0.000,,0.000,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,37843.000,,5619.000,,,,10877.000,,,,,,,,
IncreaseDecreaseInAccountsPayableRelatedParties,68974.000,,3178.000,,,,21000.000,,,,,,,,
IncreaseDecreaseInFairValueOfUnhedgedDerivativeInstruments,219372.000,1544155.000,1296727.000,-2860191.000,,,,,,,,,,,
IncreaseDecreaseInPrepaidExpense,-1816.000,,0.000,,,,915.000,,,,,,,,
InterestExpense,3710.000,-2355.000,,-19309.000,-12355.000,,15410.000,22883.000,59645.000,25696.000,,63645.000,,,
InterestPaid,0.000,,0.000,,,,,,,,,,,,
IssuanceOfStockAndWarrantsForServicesOrClaims,38000.000,,,,,,,,,,,,,,
ManagementFeesBaseRevenue,,,,,,,,,,,,2000.000,,,
NetCashProvidedByUsedInFinancingActivities,59095.000,,0.000,,,,211000.000,,,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,59095.000,,0.000,,,,211000.000,,,,,,,,
NetCashProvidedByUsedInInvestingActivities,0.000,,0.000,,,,,,,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,0.000,,0.000,,,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,-57997.000,,0.000,,,,-249188.000,,,,,,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-57997.000,,0.000,,,,-249188.000,,,,,,,,
NetIncomeLoss,-764144.000,-1724805.000,-1327788.000,2202675.000,-194703.000,-1227587.000,-2715883.000,-34716.000,-8103468.000,-1631670.000,,-2118922.000,,,
NetIncomeLossAttributableToNoncontrollingInterest,,,,,,,,,,,,-162123.000,,,
NetIncomeLossAttributableToParentDiluted,,,,,,,,,,,,-1956799.000,,,
NoncashOrPartNoncashAcquisitionPayablesAssumed1,,,,,,,,,,,200000.000,,,,
NonoperatingIncomeExpense,507025.000,1568774.000,1296727.000,-2771160.000,49242.000,1886949.000,-2168654.000,443364.000,-7943195.000,-1990433.000,,-1115431.000,,,
OperatingExpenses,257119.000,156031.000,31061.000,568485.000,145461.000,264154.000,547229.000,469805.000,164697.000,-309743.000,,1138740.000,,,
OperatingIncomeLoss,,,,,,,,,,,,-1003491.000,,,
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,,,,,,,,,,-3991.000,,,
OtherCostAndExpenseOperating,0.000,0.000,0.000,0.000,,,,,,,,,,,
