,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31,2013-11-30,2014-08-31,2014-11-30,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28
AccountsPayableRelatedPartiesCurrent,27254.000,29532.000,,,,,,,,,,,,,,
AccountsReceivableNetCurrent,,,,,,,,,,,,,5540.000,4650.000,2045.000,4475.000
AccruedLiabilities,2625.000,4375.000,,,,,,,,,,,,,,
AccruedLiabilitiesCurrent,,,3500.000,2875.000,2875.000,5650.000,5350.000,3000.000,3500.000,5500.000,7250.000,6500.000,3500.000,5750.000,3620.000,1620.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,-37296.000,-39984.000,-42281.000,-47924.000,-55978.000,-57897.000,-62547.000,-66483.000,-68260.000,-70986.000,-50944.000,-46836.000,-42005.000,-34796.000
AdditionalPaidInCapital,800.000,800.000,,,,,,,,,,,,,,
AdditionalPaidInCapitalCommonStock,,,800.000,4037.000,7274.000,10760.000,10760.000,10760.000,10760.000,10760.000,10760.000,10760.000,10760.000,10760.000,10760.000,10760.000
Assets,135.000,379.000,236.000,343.000,75.000,938.000,44.000,26.000,40.000,37.000,10.000,83.000,5596.000,5402.000,5043.000,4513.000
AssetsCurrent,135.000,379.000,236.000,343.000,75.000,938.000,44.000,26.000,40.000,37.000,10.000,83.000,5596.000,5402.000,5043.000,4513.000
Cash,135.000,379.000,,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,,,236.000,343.000,75.000,939.000,44.000,26.000,40.000,37.000,10.000,83.000,56.000,752.000,2998.000,38.000
CommonStockParOrStatedValuePerShare,,0.000,,0.000,0.000,,,,,,,,,,,
CommonStockSharesAuthorized,,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000
CommonStockSharesIssued,,12000000.000,12000000.000,12130000.000,12260000.000,12400000.000,12400000.000,12400000.000,12400000.000,12400000.000,12400000.000,12400000.000,12400000.000,12400000.000,12400000.000,12400000.000
CommonStockValue,1200.000,1200.000,1200.000,1213.000,1226.000,1240.000,1240.000,1240.000,1240.000,1240.000,1240.000,1240.000,1240.000,1240.000,1240.000,1240.000
DeferredTaxAssetsGross,,,,,,,55979.000,,,22604.000,,,,15928.000,,
DeferredTaxAssetsNet,,,,,,,0.000,,,0.000,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,55979.000,,,66483.000,,,,46847.000,,
DeferredTaxAssetsValuationAllowance,,,,,,,-55979.000,,,-22604.000,,,,-15928.000,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-31744.000,-35527.000,,,,,,,,,,,,,,
Liabilities,,,35532.000,35078.000,33856.000,36863.000,44023.000,45923.000,50587.000,54520.000,56270.000,59070.000,44540.000,40248.000,35048.000,27309.000
LiabilitiesAndStockholdersEquity,135.000,379.000,236.000,343.000,75.000,938.000,44.000,26.000,40.000,37.000,10.000,83.000,5596.000,5402.000,5043.000,4513.000
LiabilitiesCurrent,29879.000,33907.000,35532.000,35078.000,33856.000,36863.000,44023.000,45923.000,50587.000,54520.000,56270.000,59070.000,44540.000,40248.000,35048.000,27309.000
OtherLiabilitiesCurrent,,,32032.000,32203.000,30981.000,31213.000,38673.000,42923.000,47087.000,49020.000,49020.000,52570.000,41040.000,34498.000,31428.000,25689.000
StockholdersEquity,-29744.000,-33527.000,,,,,,,,,,,,,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,-35296.000,-34734.000,-33781.000,-35924.000,-43979.000,-45897.000,-50547.000,-54483.000,-56260.000,-58986.000,-38944.000,-34846.000,-30006.000,-22796.000
WeightedAverageNumberOfSharesOutstandingBasicAndDiluted,,,12000000.000,,12000000.000,12400000.000,12400000.000,12400000.000,,,,,,,,
