,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,-498000.000,-774000.000,-2261000.000,-577000.000,-575000.000,-591000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,58000.000,137000.000,147000.000
AdvertisingExpense,,386000.000,457000.000,598000.000,,
AllocatedShareBasedCompensationExpense,,29000.000,36000.000,58000.000,137000.000,147000.000
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,,,381000.000,75000.000,46000.000,104000.000
AllowanceForLoanAndLeaseLossesProvisionForLossGross,,1408000.000,,,,
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,19000.000,,,,
AllowanceForLoanAndLeaseLossesWriteOffs,,-1616000.000,-575000.000,464000.000,80000.000,848000.000
AmortizationOfDebtDiscountPremium,,,,,1000.000,30000.000
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,1491000.000,1064000.000,,1597000.000,-90000.000,-685000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,,,-245000.000,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses,,,-1403000.000,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,,-1158000.000,,,
AvailableForSaleSecuritiesGrossRealizedGainLossNet,,,152000.000,128000.000,52000.000,257000.000
AvailableForSaleSecuritiesGrossRealizedGains,,131000.000,261000.000,163000.000,67000.000,262000.000
AvailableForSaleSecuritiesGrossRealizedLosses,,,109000.000,35000.000,15000.000,5000.000
AvailableForSaleSecuritiesGrossUnrealizedGains,,,496000.000,,,
AvailableForSaleSecuritiesGrossUnrealizedLoss,,,1403000.000,,,
BankOwnedLifeInsuranceIncome,,,,104000.000,163000.000,184000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,8050000.000,-2717000.000,9725000.000,-5742000.000,14950000.000,
CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,,,,,,-10516000.000
ComprehensiveIncomeNetOfTax,,4937000.000,710000.000,4469000.000,3495000.000,2067000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,57000.000,62000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,3410000.000,,,,3552000.000,2129000.000
ConversionOfStockAmountConverted1,,,,,400000.000,12893000.000
CurrentIncomeTaxExpenseBenefit,,853000.000,68000.000,731000.000,1514000.000,1496000.000
DeferredIncomeTaxExpenseBenefit,,-1000.000,1272000.000,856000.000,81000.000,-56000.000
DefinedContributionPlanEmployerDiscretionaryContributionAmount,,157000.000,180000.000,209000.000,209000.000,240000.000
DepreciationAmortizationAndAccretionNet,538000.000,508000.000,539000.000,657000.000,762000.000,754000.000
DepreciationDepletionAndAmortization,,,539000.000,657000.000,762000.000,754000.000
DividendsPreferredStock,,38000.000,,,,
DividendsPreferredStockCash,,-1335000.000,-846000.000,840000.000,840000.000,408000.000
DividendsPreferredStockPaidinkind,,1300000.000,,,,
EarningsPerShareBasic,,,0.530,0.780,0.820,0.450
EarningsPerShareBasicAndDiluted,0.410,1.220,,,,
EarningsPerShareDiluted,,,0.480,0.620,0.640,0.370
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,0.340,0.340,0.340,0.340
FederalDepositInsuranceCorporationPremiumExpense,539000.000,490000.000,514000.000,283000.000,320000.000,306000.000
FeesAndCommissionsDepositorAccounts,256000.000,283000.000,314000.000,452000.000,523000.000,669000.000
