,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30
AdjustmentForAmortization,3072000.000,3068000.000,3053000.000,3051000.000,3100000.000,3306000.000,3083000.000,3079000.000
AmortizationOfFinancingCosts,,,747000.000,,,,617000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-93354000.000,,,,3340000.000,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,-1133000.000,4814000.000,3821000.000,14296000.000,5288000.000,4218000.000,5012000.000
CostOfGoodsSold,533732000.000,569911000.000,591058000.000,515776000.000,424087000.000,388553000.000,433791000.000,478273000.000
CostsAndExpenses,653446000.000,690554000.000,726384000.000,648246000.000,555091000.000,520195000.000,570159000.000,614932000.000
DeferredIncomeTaxExpenseBenefit,,,-4000.000,,,,2907000.000,
DefinedBenefitPlanContributionsByEmployer,,,,,,,100000.000,
Depreciation,11769000.000,11856000.000,13166000.000,13688000.000,14655000.000,15037000.000,15796000.000,16578000.000
DepreciationDepletionAndAmortization,,,16219000.000,16739000.000,17755000.000,18343000.000,18879000.000,19657000.000
DirectOperatingCosts,89633000.000,90963000.000,101846000.000,100017000.000,96759000.000,97790000.000,101668000.000,100480000.000
EarningsPerShareBasic,0.130,0.170,0.010,0.250,0.250,0.150,0.210,0.210
EarningsPerShareDiluted,0.130,0.170,0.010,0.250,0.250,0.150,0.210,0.210
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,-390000.000,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,,,0.350,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,,,,,,0.346,
ExtinguishmentOfDebtGainLossNetOfTax,,,,,,,-1102000.000,
GainLossOnSaleOfPropertyPlantEquipment,,,165000.000,,,,-43000.000,
GainsLossesOnExtinguishmentOfDebt,,,-12300000.000,,,,-1102000.000,
IncomeLossAttributableToNoncontrollingInterest,-60000.000,-134000.000,-298000.000,-74000.000,231000.000,184000.000,-6000.000,87000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,37847000.000,35715000.000,,38272000.000,36085000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,9398000.000,10868000.000,173000.000,15185000.000,11971000.000,10139000.000,12318000.000,11066000.000
IncomeTaxExpenseBenefit,3697000.000,4497000.000,60000.000,5475000.000,1920000.000,3892000.000,4261000.000,2841000.000
IncreaseDecreaseInAccountsPayable,,,48905000.000,,,,410000.000,
IncreaseDecreaseInAccountsReceivable,,,47247000.000,,,,-308000.000,
IncreaseDecreaseInAccruedLiabilities,,,-14227000.000,,,,-7139000.000,
IncreaseDecreaseInInventories,,,14257000.000,,,,8436000.000,
IncreaseDecreaseInOtherNoncurrentAssets,,,348000.000,,,,-11000.000,
IncreaseDecreaseInOtherNoncurrentLiabilities,,,99000.000,,,,-1078000.000,
IncreaseDecreaseInOtherOperatingCapitalNet,,,-1735000.000,,,,1517000.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,-5604000.000,,,,-58000.000,
InterestIncomeExpenseNet,-7907000.000,-7792000.000,-8101000.000,-5923000.000,-5989000.000,-6112000.000,-5973000.000,-5362000.000
InventoryWriteDown,,,,,900000.000,,,
MinorityInterestIncreaseFromStockIssuance,,979000.000,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,-70265000.000,,,,11793000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-70265000.000,,,,11793000.000,
NetCashProvidedByUsedInInvestingActivities,,,-33111000.000,,,,-22867000.000,
