,2011-08-31,2011-11-30,2012-05-31,2013-08-31,2013-11-30,2014-11-30,2015-08-31,2015-11-30,2016-11-30
AmortizationOfIntangibleAssets,,,,,,-1000.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,9749.000,,,,,,
CostOfGoodsSold,11081.000,7091.000,8919.000,14123.000,12872.000,,,,
DepreciationDepletionAndAmortization,,,2304.000,,,,,,
DerivativeGainLossOnDerivativeNet,,,,,,,,,31165387.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicAndDilutedShare,,,,,,,,-0.000,
EarningsPerShareBasic,-0.280,,,,,,,,4.250
EarningsPerShareBasicAndDiluted,,0.000,-0.010,-0.010,-0.010,-0.010,-0.110,-0.100,
EarningsPerShareDiluted,,,,,,,,,0.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationPeriodIncreaseDecrease,,,,,,,,,-31165387.000
GeneralAndAdministrativeExpense,,,,,,,,153372.000,119014.000
GrossProfit,10038.000,8952.000,16684.000,9032.000,8044.000,2250.000,2250.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,-368374.000,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,,-228033.000,-256208.000,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,,0.000,0.000,-0.100,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,,,,-0.010,-0.110,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,27578.000,,,,,,
IncreaseDecreaseInAccountsReceivable,,,7980.000,,,,,,
IncreaseDecreaseInInterestPayableNet,,,2724.000,,,,,,
IncreaseDecreaseInInventories,,,2614.000,,,,,,
IncrementalCommonSharesAttributableToCallOptionsAndWarrants,,,,,,,,,539083.000
IncrementalCommonSharesAttributableToConversionOfDebtSecurities,,,,,,,,,439266647.000
InterestExpense,3810.000,3673.000,2724.000,21012.000,23724.000,104430.000,144059.000,217252.000,325799.000
NetCashProvidedByUsedInFinancingActivities,,,91951.000,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,91951.000,,,,,,
NetCashProvidedByUsedInOperatingActivities,,,-82202.000,,,,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-82202.000,,,,,,
NetIncomeLoss,-3866426.000,-76215.000,-104214.000,-222941.000,-236587.000,-228033.000,-256208.000,-368374.000,30726363.000
NoninterestIncome,,,,,,,,,30845377.000
OperatingExpenses,,,,,,125853.000,,,
OperatingIncomeLoss,-3862616.000,-72542.000,-101490.000,-201929.000,-212863.000,-123603.000,-112149.000,-151122.000,-119014.000
OtherCostAndExpenseOperating,,,,,,12000.000,,,
ProceedsFromIssuanceOfLongTermDebt,,,94151.000,,,,,,
RepaymentsOfRelatedPartyDebt,,,2200.000,,,,,,
Revenues,21119.000,16043.000,25603.000,23155.000,20916.000,2250.000,2250.000,2250.000,
SalesRevenueNet,21119.000,16043.000,25603.000,23155.000,20916.000,2250.000,2250.000,2250.000,
SellingGeneralAndAdministrativeExpense,3872654.000,81494.000,118174.000,210961.000,220907.000,113853.000,114399.000,,
WeightedAverageNumberOfDilutedSharesOutstanding,,,,,,,,,447034693.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,19093407.000,21002198.000,32284396.000,2311368.000,3872587.000,
WeightedAverageNumberOfSharesOutstandingBasic,13657609.000,,,,,,,,7228963.000
