,2011-09-30,2011-12-31,2014-06-30,2015-12-31
AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,,,212433.000,
AdvertisingExpense,,,2363.000,
AmortizationOfDebtDiscountPremium,,,216176.000,
BusinessCombinationAcquisitionRelatedCosts,,,40000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-46133.000,
CostOfGoodsAndServicesSold,,,,9183.000
CostOfGoodsSold,25503.000,11245.000,17283.000,
CostsAndExpenses,18560.000,69820.000,,
DebtConversionConvertedInstrumentSharesIssued1,,,5959191.000,
DebtConversionOriginalDebtAmount1,,,238368.000,
DebtInstrumentConvertibleBeneficialConversionFeature,,,212433.000,
Depreciation,,,1260.000,
EarningsPerShareBasicAndDiluted,0.000,-0.010,-0.010,-0.020
GeneralAndAdministrativeExpense,,,129685.000,157049.000
GrossProfit,5517.000,11245.000,17864.000,18857.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,41503.000,
IncreaseDecreaseInInterestPayableNet,,,6912.000,
IncreaseDecreaseInInventories,,,-798.000,
IncreaseDecreaseInPrepaidExpense,,,-491.000,
InterestExpense,,,223088.000,41566.000
InterestIncomeExpenseNet,-731.000,-425.000,,
NetCashProvidedByUsedInFinancingActivities,,,61636.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,61636.000,
NetCashProvidedByUsedInOperatingActivities,,,-107769.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-107769.000,
NetIncomeLoss,-13774.000,-59000.000,-374909.000,-179758.000
NonoperatingIncomeExpense,,,,-41566.000
OperatingExpenses,,,169685.000,157049.000
OperatingIncomeLoss,-13043.000,-58575.000,-151821.000,-138192.000
ProceedsFromOtherShortTermDebt,,,62980.000,
RepaymentsOfNotesPayable,,,140.000,
RepaymentsOfRelatedPartyDebt,,,1204.000,
Revenues,31020.000,22490.000,35147.000,28040.000
SalesRevenueNet,31020.000,22490.000,35147.000,28040.000
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,,,238368.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,25659257.000,10260906.000
