,2012-05-31,2013-05-31,2014-05-31,2015-05-31,2016-05-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-3145.000,5503.000,-3702.000,-164.000,-3922.000
ComprehensiveIncomeNetOfTax,-27646.000,,,,
DebtInstrumentInterestRateDuringPeriod,,0.080,0.080,,
DebtInstrumentPeriodicPayment,,63906.000,73133.000,,
DebtInstrumentPeriodicPaymentInterest,,,4133.000,,
DebtInstrumentPeriodicPaymentPrincipal,,,69000.000,,
EarningsPerShareBasicAndDiluted,-0.004,-0.004,-0.008,-0.005,-0.006
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.340,0.340,0.340,0.340,
GeneralAndAdministrativeExpense,26002.000,21685.000,54139.000,23468.000,30383.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-27646.000,-24736.000,-61691.000,-33377.000,-42241.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,-9400.000,,,,
IncomeTaxReconciliationNondeductibleExpense,9400.000,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,-1814.000
IncreaseDecreaseInAccruedLiabilities,2857.000,188.000,-4289.000,3304.000,
IncreaseDecreaseInDueToOfficersAndStockholders,,,,,8001.000
IncreaseDecreaseInInterestPayableNet,1644.000,3051.000,7552.000,9909.000,11858.000
IncreaseDecreaseInNotesPayableCurrent,20000.000,,,,
IncreaseDecreaseInPrepaidExpense,,,-274.000,,-274.000
InterestExpense,1644.000,3051.000,7552.000,9909.000,11858.000
NetCashProvidedByUsedInFinancingActivities,20000.000,27000.000,55000.000,20000.000,20000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,20000.000,27000.000,55000.000,20000.000,20000.000
NetCashProvidedByUsedInOperatingActivities,-23145.000,-21497.000,-58702.000,-20164.000,-23922.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-23145.000,-21497.000,-58702.000,-20164.000,-23922.000
NetIncomeLoss,,-24736.000,-61691.000,-33377.000,-42241.000
NonoperatingIncomeExpense,-26002.000,,,,
OperatingIncomeLoss,,,-54139.000,-23468.000,-30383.000
ProceedsFromNotesPayable,,27000.000,55000.000,20000.000,20000.000
SaleOfStockNumberOfSharesIssuedInTransaction,,0.000,0.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000
