,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AcquisitionCosts,,,,,11383000.000,1634000.000,72000.000,,587000.000,165000.000,36000.000,,3249000.000,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalMarkToMarket,,,,,,,,,,,,,,,,,,12400000.000,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,210000.000,,,,214000.000,211000.000,214000.000,214000.000,232000.000,80000.000,50000.000,69000.000,100000.000,,,,43600000.000,,,,24300000.000,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,,,,,,,,,,,,,,7900000.000,,,,,,
AllocatedShareBasedCompensationExpense,3704000.000,10372000.000,5624000.000,6553000.000,10481000.000,33445000.000,23453000.000,37669000.000,42684000.000,56685000.000,64964000.000,89028000.000,-123100000.000,-6000000.000,40700000.000,289100000.000,46100000.000,,,,,34500000.000,26500000.000
AmortizationOfDebtDiscountPremium,,,,,3003000.000,,,,,,,,,,,,,,,,,,
AmortizationOfFinancingCosts,,,,,,,,,,,,,,,,,2500000.000,2500000.000,2600000.000,2400000.000,2200000.000,2200000.000,2500000.000
AmortizationOfFinancingCostsAndDiscounts,616000.000,,,,8642000.000,,,,6512000.000,,,,2700000.000,,,,,,,,,,
AmortizationOfIntangibleAssets,,,,,11018000.000,,,,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,,,,,-48681000.000,-19451000.000,-8314000.000,-164236000.000,-27232000.000,-36314000.000,-43660000.000,-75947000.000,-110300000.000,3700000.000,-61000000.000,-14800000.000,,,-20500000.000,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,,,,,,,,,,,,,,,,19800000.000,16300000.000
BusinessAcquisitionsProFormaRevenue,,,,,236434000.000,250740000.000,251449000.000,279339000.000,267865000.000,273599000.000,279360000.000,337721000.000,320600000.000,323900000.000,357400000.000,418300000.000,,,493500000.000,,,506700000.000,635600000.000
BusinessCombinationAcquisitionRelatedCosts,,,,,,1634000.000,72000.000,,587000.000,165000.000,36000.000,3707000.000,-3200000.000,1300000.000,1500000.000,6300000.000,0.000,3300000.000,14200000.000,4000000.000,3000000.000,6200000.000,8400000.000
CapitalExpendituresIncurredButNotYetPaid,1096000.000,,,,11449000.000,,,,-14228000.000,,,,6000000.000,,,,11000000.000,,,,11400000.000,,
CapitalLeaseObligationsIncurred,,,,,,,,,3275000.000,,,,1600000.000,,,,5300000.000,,,,3300000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-4548000.000,,,,63037000.000,,,,4285000.000,,,,-130100000.000,,,,37100000.000,,,,22200000.000,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,1544000.000,,,,0.000,,,,,,,,,,,,,,
