,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,,,,,49200.000,,,,
AccountsPayableAndAccruedLiabilitiesFairValueDisclosure,12983.000,,,,,,,,,,,,,,,,
AccountsPayableCurrent,,4000.000,246545.000,553503.000,718552.000,727052.000,572809.000,476681.000,581723.000,719200.000,845591.000,819444.000,1028921.000,1125510.000,1152481.000,1232001.000,4023000.000
AccountsPayableRelatedPartiesCurrent,,,,,262294.000,262294.000,187294.000,35460.000,,,,,,,,,
AccountsPayableRelatedPartiesCurrentAndNoncurrent,,,,,187294.000,187294.000,187294.000,35460.000,0.000,,,,,,,,
AccountsReceivableNetCurrent,,,,,,,,,,,,,,,,,240000.000
AccruedLiabilitiesCurrent,,,706393.000,,,,,,,,,,9591.000,,,,
AccruedLiabilitiesCurrentAndNoncurrent,,,,,,,,,,,,,,14061.000,,,
AccruedRentCurrentAndNoncurrent,,,,,,,,,,,,,,,,,11000.000
AccruedSalariesCurrent,,,,,785395.000,799395.000,803467.000,157387.000,173227.000,189067.000,189067.000,217867.000,230827.000,243787.000,243787.000,243787.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,,,,,,,,,109000.000
AdditionalPaidInCapital,101804.000,99804.000,1881115.000,1881115.000,2567219.000,2567219.000,5787128.000,11624442.000,11624442.000,11624317.000,11624317.000,11631767.000,11631517.000,11631517.000,11628832.000,11628166.000,22905000.000
Assets,112015.000,48975.000,,,20741.000,7607.000,105220.000,6353.000,36871.000,26595.000,35549.000,12362.000,72103.000,14610.000,24737.000,,29137000.000
AssetsCurrent,111636.000,48621.000,74358.000,11503.000,20741.000,,,,,,,,,,,,935000.000
AssetsNoncurrent,,,,,,,,,,,,,,,,,27777000.000
BankOverdrafts,,,,,,,,,,,,,,3885.000,,20865.000,
BusinessCombinationContingentConsiderationLiability,,,,,,,,,,,,,,,,,967000.000
CapitalLeaseObligationsCurrent,,,,,,,,,,,,,,,,,117000.000
CapitalLeaseObligationsNoncurrent,,,,,,,,,,,,,,,,,148000.000
CapitalizedComputerSoftwareGross,,,,,,,,,,,,,,,,,68000.000
CashAndCashEquivalentsAtCarryingValue,73542.000,46510.000,34792.000,2336.000,,200.000,105220.000,6353.000,36871.000,26595.000,35549.000,12362.000,49938.000,,12811.000,,188000.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,10407500.000,9407500.000,11764706.000,11764706.000,12218040.000,12218040.000,12558574.000,14934033.000,14934033.000,15059033.000,15059033.000,15109033.000,15384032.000,15384032.000,18210252.000,18876919.000,6838084.000
CommonStockSharesOutstanding,10407500.000,9407500.000,,11764706.000,12218040.000,12218040.000,12558574.000,14934033.000,14934033.000,15059033.000,15059033.000,15109033.000,15384032.000,15384032.000,18210252.000,18876919.000,6686706.000
CommonStockValue,10408.000,9408.000,11765.000,11765.000,12218.000,12218.000,12559.000,14934.000,14934.000,15059.000,15059.000,15109.000,15384.000,15384.000,18211.000,18877.000,7000.000
ConvertibleDebtCurrent,,,,,,,,,,,,,,,,,3443000.000
ConvertibleLongTermNotesPayable,,,,,447881.000,494246.000,,,,,,,,,,,1003000.000
ConvertibleNotesPayable,,,,,2820000.000,2820000.000,2970876.000,1261227.000,1297039.000,1297390.000,1297704.000,1490359.000,,1480359.000,1455359.000,1454899.000,3383000.000
ConvertibleNotesPayableCurrent,,,2700000.000,2820000.000,0.000,,,,,558495.000,573495.000,,1490359.000,,,,
